Unnamed: 0,Name,Address,Phone,Email,Web,Basic Rate,Rooms,Contact,Services,Additional locations,Equipment,Clients,Studios
109,THE MUSIC BUILDING,"584 8th Ave.  New York, NY 10018",['646-205-3299'],,musicbuilding.com Basic Rate :Monthly  ,,,,"Monthly music rehearsal studios inNew York Citys most historic music facility.Alumni  include the likes of Madonna, Billy Idol and The  Strokes. ",,,,
110,MUSIC MAKERS NY,"260 W 36th Street  Basement  New York, NY 10011",['212-967-6124'],musicmakersnewyork@gmail.com ,musicmakersny.com ,please call for info,,,,,,,
111,PIRATE STUDOS,"156 6th Street  Brooklyn, NY 11215",['844-274-7283'],,"Pirate.com 110 Scott Avenue  Brooklyn, NY 11237  Box Factory  1519 Decatur St.  Ridgewood, Queens, NY 11385  ",,,,," United Kingdom, Germany, Ireland ",,,
112,RIVINGTON MUSIC REHEARSAL,"STUDIOS  188 Stanton St.  New York, NY 10002",['212-353-0585'],book@rivingtonmusic.com ,rivingtonmusic.com ,please call for info,,,,,,,
113,SMASH STUDIOS,"307 W. 36th St., 18th Fl.  New York, NY 10018",['212-244-9066'],studiomanager@smashny.com ,smashstudios.com ,please call for info,,,,,,,
114,BANDTASTIC STUDIOS,"Southend District  Charlotte, NC",['704-491-1213'],studios@bandtastic.com ,bandtasticstudios.com ,please call for info,,,,,,,
115,SOUNDSPACE @ RABBHITS MUSIC,"109 McDowell Street  Asheville, NC  28801",['828-552-3534'],info@soundspaceavl.com ,soundspaceavl.com,,,,,,,,
116,REHEARSAL CLEVELAND,"5500 Walworth Ave  Cleveland, OH",['216-600-0188'],,rehearsecleveland.com,,,,,,,,
117,ROCK & ROLL CITY STUDIOS,"5500 Walworth Ave.  Cleveland, OH 44102",['216-600-0188'],thestudio@rockcitystudios.com ,rockcitystudios.com ,please call for info,,Studio mgr. ,,,,,
118,79TH STREET SOUND   STAGE,"1001 N.W. 79th St.  Oklahoma City, OK 73114",['405-767-9799'],79thstreetsound@gmail.com ,okcsoundstage.com ,monthly rates,,,,,,,
119,THE DOWNTOWN MUSIC BOX,"535 N. Ann Arbor  Oklahoma City, OK 73127","['405-232-2099', '877-446-3330']",info@downtownmusicbox.com ,downtownmusicbox.com ,,,Tony Curzio,,,,,
120,BLUE BUTLER STUDIOS,"2400 SE Holgate Blvd  Portland, OR",['971-322-9071'],bluebutlerstudios@gmail.com ,bluebutlerstudios.com,,,,,,,,
121,BONGO FURY,"14181 SW Millikan Way  Beaverton, OR. 97005",['503-970-0799'],bongofurystudios@gmail.com ,bongofurystudios.com,,,,,,,,
122,PUDDLETOWN STUDIOS,"Portland, OR",['971-533-0119'],puddletownstudios@gmail.com ,puddletownstudios.com ,,,,"8 Locations, see website",,,,
123,S.I.R. PORTLAND,"1432 SE 34th Ave.  Portland, OR  97214",['503-282-6583'],orinfo@sir-usa.com ,sir-usa.com ,please call for info,,,,,,,
124,SUBURBIA STUDIOS,"632 S.E. Market St.  Portland, OR  97214",['503-736-9329'],,,call for hourly and monthly,,,,,,,
125,NESHAMINY STREET STUDIO,"707 Neshaminy Street  Langhorne, PA 19047",['215-378-8964'],seedrewdrum@gmail.com ,neshaminystreetstudio.com,,,,,,,,
126,RED PLANET RECORDING,"300 E. Madison Ave.  Clifton Heights, PA 19018",['484-461-3240'],info@redplanetrecording.com ,redplanetrecording.com ,,,,"Recording studio, rehearsal space and live sound company ",,,,
127,SURREAL SOUND STUDIOS,"2046 Castor Ave., 2nd Fl.  Philadelphia, PA 19134",['215-288-8863'],,surrealsoundstudios.com ,please call for info,,Joseph Lekkas ,,,,,
128,JAM STAGE,"25 Esten Ave.  Pawtucket, RI",['401-305-3776'],,jamstage.net ,,,,"$25.hr, fully equipped",,,,
129,THE SPACE CHARLESTON,"2123 Montford Ave.  Charleston, SC",,practicespacechs@gmail.com ,thespacecharleston.com,,,,,,,,
130,DIAMOND SOUND STUDIOS,"241 Venture Circle  Nashville, TN  615-244-BAND (2263)",,,diamondsoundstudios.com ,please call for info,,Josh Diamond ,,,,,
131,S.I.R. NASHVILLE,"1101 Cherry Ave.  Nashville, TN 37203","['615-255-4500', '615-255-4511']",tninfo@sir-usa.com ,sir-usa.com ,please call for info,,,,,,,
132,SOUNDCHECK NASHVILLE,"750 Cowan St.  Nashville, TN 37207",['615-726-1165'],gus@soundcheckhouston.com,soundchecknashville.com ,please call for info ,,,," 3714 Bluestein Drive, Ste 600  Austin, TX 78721  512-444-0023  Email :  info@soundcheckaustion.com  2108 Lou Ellen Lane  Houston, TX 77018  713-290-0335  ",,,
133,"TOY BOX STUDIO, THE","2407 Brasher Ave.  Nashville, TN 37206",['615-697-9545'],lij@thetoyboxstudio.com ,thetoyboxstudio.com ,please call for info,,,,,,,
134,FRANCISCOS STUDIOS,"8420 Westglen Dr  Houston, TX",['713-460-4537'],rzapatamts95@gmail.com ,franciscostudios.com/houston ,please call for info,,,,,,,
135,PRO REHEARSAL & RECORDING,"3150 Iron Ridge St.  Dallas, TX 75247",['214-634-3433'],rooms@prorehearsal.com ,prorehearsal.com ,please call for info,,,,,,,
136,RHYTHM ROOM REHEARSAL STUDIOS,"1410 Brittmoore Rd., Ste. A  Houston, TX 77043","['713-465-6122', '218-220-7248']",Rhythmroom@att.net ,rrrehearsalstudio.com ,please call for info,,,,,,,
137,S.I.R. DALLAS,"890 Regal Row  Dallas, TX 75247",['214-716-0611'],txinfo@sir-usa.com ,sir-usa.com ,please call for info,,,,,,,
138,SOUNDCHECK,"1901 E. 51st St.  Austin, TX 78723",['512-444-0023'],information@soundchecknashville.com ,SoundCheckNashville.com,please call for info ,,,," 2108 Lou Ellen Ln.  Houston, TX 77018  719-290-0335  ",,,
139,POSITIVELY 4TH STREET,"375 W. 400 S.  Salt Lake City, UT",['801-359-6108'],positive4thst@gmail.com ,practicespaceslc.com ,call for rates,,,,,,,
140,ROCKET SKATES RECORDING & REHEARSAL,"380 E 1700 S.  Salt Lake City, UT  94115",['385-275-5495'],info@rocketskatesrecording.com ,rocketskatesrecording.com,,,,,,,,
141,BURLINGTON MUSIC DOJO,"416 Pine Street  Burlington, VT. 05401  802-540--0321",,info@burlingtonmusicdojo.com ,burlingtonmusicdojo.com,,,,,,,,
142,CLOUD STUDIOS,"1101 E. Pike St.  Basement  Seattle, WA98122",['206-209-0977'],info@cloudstudiosseattle.com ,cloudstudiosseattle.com ,Please call for rates,,Doug Wilkerson ,,,,,
143,EVOLUTION STUDIOS,"1647 133rd PI. N.E.  Bellevue, WA 98005",['425-641-3626'],eden@bandrehearsal.com ,bandrehearsal.com ,please call for info,,Eden ,,,,,
144,ROYS PLACE REHEARSAL STUDIOS &,"RECITAL HALL  4926 196th St. S.W.  Lynnwood, WA 98036",['425-771-7020'],info@roysplacestudios.com ,roysplacestudios.com ,please call for info,,,,,,,
145,SEATTLE DRUM SCHOOL,"12729 Lake City Way NE  Seattle, WA 98125",['206-364-8815'],seattledrumgeorgetown@gmail.com 206-763-9700 ,seattledrumschool.com ,$35 per half hour and $65 per one hour lesson  ,,,," 1010 S. Bailey St.  Seattle, WA 98108  ",,,
146,SEATTLE REHEARSAL,"2424 1st Ave. S.  Seattle, WA 98134",['206-287-1615'],jodiopitz@yahoo.com ,seattlerehearsal.com ,please call for info,,Jodi ,,,,,
147,S.I.R. SEATTLE,"410 South 96th Street  Unit 5  Seattle, WA 98108",['206-782-6800'],wainfo@sir-usa.com ,sir-usa.com ,please call for info,,,,,,,
148,MADISON MUSIC FOUNDRY,"2818 Index Rd.  Fitchburg, WI 53713",['608-270-2660'],info@madisonmusicfoundry.com ,madisonmusicfoundry.com ,call for rates,,,,,,,
149,TBC STUDIOS,"10201 W. Appleton Ave.  Milwaukee, WI 53225",['414-536-7337'],info@TBCStudios.com ,tbcstudios.com,,,,,,,,
