Unnamed: 0,Name,Type,Address,Phone,Email,Fax,Web,Contact,Styles/Specialties,Services,Genres,Clients,Additional locations,How to Submit,Notes
126,MIND OF A GENIUS (MOAG),Indie Label,"P.O. Box 3613, M.P.O.  Vancouver, BC, Canada, V6B 3Y6  604-669-MINT",,info@mintrecs.com ,,"mintrecs.com, facebook.com/ mintrecords, mindofagenius.co.uk  ",,,,,"THEY, Gallant, ZHURECORDS Hot Panda, Immaculate Machine, Fanshaw, Kellarissa, John Guliak  *We are no longer accepting physical demo  submission. Use contact form on website ",,,
127,MILK RECORDS,Indie Label,"P.O. Box 35  Moreland LPO  Coburg 3058  Victoria, Australia",,millk@milkrecords.com.au ,,"milkrecords.com.au, facebook.com/milkrecordsmelbourne  ",,,,,Courtney Barnett,,,
128,MIXPAK RECORDS,Indie Label,"Brooklyn, NY",,info@mixpakrecords.com ,,"mixpakrecords.com Notable Artists : Popcaan, Palmistry, Murio ",,,,,,,,
129,MORPHIUS RECORDS,Indie Label,"100 E. 23rd St.  Baltimore, MD 21218",['410-662-0112'],info@morphius.com ,,morphius.com,,,,,,,,
130,MOTION CITY RECORDS,Indie Label,"P.O. Box 50624  Minneapolis, MN 55405",['310-434-1272'],us@motorcitysoundtrack.com ,,motioncity.com ,,alternative rock ,,,"Velvet, Voodoo, Brent Fraser, 10 Pound Troy, UFO Bro, Drag, Wendy Bucklew ",,,
131,"MOUNTAIN APPLE COMPANY, THE",Indie Label,"P.O. Box 22569  Honolulu, HI 96814",['808-597-1888'],,,mountainapplecompany.com ,,traditional and contemporary Hawaiian ,,,,,,
132,MOUNTAIN HOME RECORDS,Indie Label,"50 Fisk Drive  Arden, NC 28704",['828-684-3066'],info@mountainhomemusiccompany.com ,,"mountainhomemusiccompany.com,  facebook. com/mtnhomemusic  ",,bluegrass *No unsolicited material ,,,,,,
133,MRG RECORDINGS,Indie Label,,,submissions@mrgrecordings.com ,,"mrgrecordings.com, facebook.com/ mrgrecordings  ",A&R ,"rock, electronic, ambient, folk",,,,,,
134,MTS RECORDS,Indie Label,"227 Gill Road  Apollo, PA  15613",['412-445-5282'],michael@mtsmanagementgroup.com ,,mtsmanagementgroup.com ,,All Genres,,,,,,
135,"MY-ZEAL PRODUCTIONS, CO",Indie Label,"23207 Lahser Rd.  Southfield, MI 48033",['313-444-8583'],myzealproductions@gmail.com ,,MyZealProductions.com ,,"gospel, pop, rnb, singer- songwriters  ",,,,,,
136,NEW PANTS PUBLISHING INC. & OLD PANTS  PUBLISHING INC.  ,Indie Label,"119 N Wahsatch Avenue  Colorado Springs, Colorado 80903","['719-632-0227', '719-634-2274']",rac@crlr.net ,,"newpants.com, oldpants.com ",Robert A. ,"pop, rock, rap, R&B, country  ",,,"Stephanie Aramburo, Chad Steele, C. Lee Clarke, Tech T, James Becker, Kathy Watson, Lisa  Bigwood, George Montalbano, Silence, Sherwin  Greenwood, Joel Diehl, John Ellis and Phyllis Shaw.  *Unsolicited material through management or  lawyer only. Please contact before submitting ",,,
137,NEW WEST RECORDS,Indie Label,"2923 Berry Hill Dr.  Nashville, TN  37204",['615-385-4777'],,,newwestrecords.com ,,,,,see web *No unsolicited materials accepted ,,,
138,NINJA TUNE,Indie Label,"P.O. Box 4296  London, SE11 4WW",,demos@ninjatune.net,,ninjatune.net/home  ,,,,,"Bonobo, Actress, FaltyDL, The Bug *Only accepting demos in digital form ",,,
139,NITRO RECORDS,Indie Label,"7071 Warner Ave., Ste. F736  Huntington Beach, CA 92647",,info@nitrorecords.com ,,facebook.com/nitrorecords ,,punk/pop ,,,see web,,,
140,NOISEY BY VICE,Indie Label,"Brooklyn, New York 11249",,press@vice.com ,,vice.com/en_us/section/music,,,,,,,,
141,NONESUCH RECORDS,Indie Label,"1633 Broadway  New York, NT 10019",['212-707-2000'],info@nonesuch.com ,,"nonesuch.com, facebook.com/ NonesuchRecords  ",,,,,"Emmylou Harris, Joni Mitchell, Gipsy Kings, kd lang, Randy Newman, Wilco, Brian Wilson,  Stephen Sondheim, Kronos Quartet, Youssou  NDour, Buena Vista Social Club, Laurie Anderson ",,,
142,OGLIO RECORDS,Indie Label,"3540 W. Sahara Ave., #308  Las Vegas, NV 89102",['702-800-5500'],,,oglio.com ,"Carl Caprioglio, Mark Copeland ",,,,"George Lopez, the Sparks, Jackie the Jokeman Martling, reissues, novelty, soundtracks,  Beatallica ",,,
143,OH BOY RECORDS,Indie Label,"P.O. Box 150222  Nashville, TN 37215",['615-742-1250'],info@ohboy.com ,,ohboy.com *no unsolicited material accepted ,,,,,,,,
144,PAPER GARDEN RECORDS,Indie Label,"170 Tillary St., Apt. 608  Brooklyn, NY 11201",,info@papergardenrecords.com ,,papergardenrecords.com ,Bryan Vaughn ,,,,"Alcoholic Faith Mission, Darla Framer, Mighty Tiger, Pree  Accepting Demos ",,,
145,PARMA RECORDINGS,Indie Label,"44 Lafayette Rd.  PO Box 1567  North Hampton, NH 03862",['603-758-1718'],info@parmarecordings.com ,,parmarecordings.com,,,,,,,,
146,PAUL WINTER,Indie Label,"P.O. Box 72  Litchfield, CT 06759","['860-567 8796', '800-437-2281']",elizabeth@waldmaniapr.com ,,"paulwinter.com, facebook.com/paulwintermusic ",,,,,,,,
147,POSI-TONE,Indie Label,"P.O. Box 2848  Los Angeles, CA 90294",['310-871-2652'],info@posi-tone.com ,,posi-tone.com ,,jazz ,,,"Orrin Evans, Jim Rotondi, Ralph Bowen, Brian Charette, Jared Gold, David Gibson, Ehud  Asherie, Doug Webb ",,,
148,"PPL ENTERTAINMENT GROUP, INC",Indie Label,"PO Box 261488  Encino, CA 91426","['310-962-3873', '424-394-1496']",pplzmi@aol.com,,pplzmi.com  *No unsolicited material accepted  ,Maxx Diamond *No unsolicited material accepted. Must first write  with SASE for permission. ,,,,,,,
149,PRA RECORDS,Indie Label,,['212-860-3233'],pra@prarecords.com ,,prarecords.com ,Patrick Rains ,jazz ,,,"Jonatha Brooke, Randy Crawford, David Sanborn, Curtis Stigers  ",,,
150,PRAVDA RECORDS,Indie Label,"4245 N Knox Ste 7  Chicago, IL 60641",['773-763-7509'],kenn@pravdamusic.com ,,pravdamusic.com,,,,,,,,
151,PRIMARILY A CAPPELLA,Indie Label,"P.O. Box D  San Anselmo, CA 94979",['415-419-5509'],harmony@singers.com ,,singers.com ,,a cappella *Unsolicited material accepted ,,,,,,
152,QUARTO VALLEY RECORDS,Indie Label,"Woodland Hills, CA",,info@quartovalleyrecords.com ,,quartovalleyrecords.com ,,,,,"Paul Rodgers, Savoy Brown, Edgar Winter, The Immediate Family, Narada  Michael Walden, Richard T. Bear, Bonham-Bullick  Band, Denny Seiwell, Sean Chambers, Dominic  Quarto ",,,
153,R&S RECORDS,Indie Label,,,bandcamp@rsrecords.com ,,randsrecords.com ,,,,,"James Blake, Nicolas Jaar, Paul White",,,
154,RAMP RECORDS,Indie Label,"Santa Barbara, CA",,Info@ramprecords.com ,,ramprecords.com ,,Eclectic ,,,"Michael McDonald, Jeff Bridges *No unsolicited material ",,,
155,RAZOR AND TIE RECORDS (CONCORD),Indie Label,,,info@concord.com ,,concord.com/labels/razor-and-tie-records ,,,,,(See Website),,,
156,RED EYE MUSIC GROUP,Indie Label,"505 Eno St.  Hillsborough, NC 27278",['877-733-3931'],info@redeyeworldwide.com ,,redeyeusa.com ,,,,,,,,no unsolicited material
157,RED HOUSE RECORDS,Indie Label,"916 19th Avenue South  Nashville, TN 37212","['800-757-2277', '615-320-7672']",info@compassrecords.com ,,redhouserecords.com *Unsolicited material accepted ,,,,,,,,
158,RELAPSE RECORDS,Indie Label,"P.O. Box 2060  Upper Darby, PA 19082",['610-734-1000'],"mailorder@relapse.com, ",,"relapse.com, facebook.com/ RelapseRecords  ",,,,,"High on Fire, Jucifer, Origin, Brutal Truth",,,
159,REVELATION RECORDS,Indie Label,"P.O. Box 5232  Huntington Beach, CA 92615",['714-842-7584'],webmaster@revhq.com ,,revelationrecords.com ,,"hardcore, punk, emo, metal ",,,See website *Unsolicited material accepted ,,,
160,RHYMESAYERS ENTERTAINMENT,Indie Label,"2409 Hennepin Ave.  Minneapolis, MN 55405",['612-977-9870'],info@rhymesayers.com ,,rhymesayers.com,,,,,,,,
161,ROADRUNNER RECORDS,Indie Label,"Warner Music Group  1633 Broadway  New York,NY 10019",['212-275-2000'],,,elektramusicgroup.com/roadrunnerrecords ,,"rock *Unsolicited materials accepted, see web for details. ",,,,,,
162,ROUGH TRADE RECORDS,Indie Label,"30 Rockefeller Plaza  New York, NY 10112",['212-664-1110'],,,roughtrade.com ,,,,,"Princess Nokia, jennylee, Parquet Courts ",,,
163,SACRED BONES,Indie Label,"Brooklyn, New York",,info@sacredbonesrecords.com Web : sacredbonesrecords.com  ,,,,,,,"Amen Dunes, Zola Jesus, Jenny Hval ",,,
164,SECRETLY CANADIAN,Indie Label,"213 S. Rogers  Bloomfield, IN  47404",['812-335-1572'],info@secretlydistribution.com ,,"secretlycanadian.com Notable Artists : Whitney, ANOHNI,  serpentwithfeet, War On Drugs ",,,,,,,,
165,SHANGRI-LA PROJECTS,Indie Label,"P.O. Box 40106  Memphis, TN 38174",['901-359-3102'],sherman@shangrilaprojects.com ,,shangrilaprojects.com,,,,,,,,
166,SIX DEGREES RECORDS,Indie Label,"P.O. Box 411347  San Francisco, CA 94141",,licensing@sixdegreesrecords.com ,,sixdegreesrecords.com ,,,,,,,,
167,SONIC IMAGES ENTERTAINMENT GROUP,Indie Label,"12400 Ventura Blvd., #268  Studio City, CA 91604",['323-650-4000'],sonicimages@sonicimages.com ,,sonicimages.com,,,,,,,,
168,SOULECTION,Indie Label,Los Angeles,,,,soulection.com ,"Joe Kay, Head of A&R ",,,,"Goldlink, Sango, Ta-ku",,,
169,"SOUND KITCHEN STUDIOS, LLC",Indie Label,"112 Seaboard Ln.  Franklin, TN 37067",['615-370-5773'],iblonder@soundkitchen.com ,,soundkitchen.com ,Ira Blonder ,All Genres *Unsolicited material accepted ,,,,,,
170,SOUNDSCAPES MEDIA GROUP,Indie Label,"1534 N. Moorpark Road, #183  Los Angeles, CA 91360",['805-405-8078'],info@soundscapesmedia.com ,,soundscapesmedia.com ,,"Jazz, Acoustic, Vocal, Latin, Pop, Blues, Classic Rock, Classical - HD Recordings and  Distribution, Immersive formats  * Unsolicited Material Accepted ",,,,,,
171,SPARROW RECORDS,Indie Label,"(Capitol CMG Label Group)  101 Winners Cir.  Brentwood, TN 37027",['615-371-4300'],info@capitolcmg.com ,,capitolcmglabelgroup.com ,,Christian *No unsolicited materials ,,,,,,
172,SST RECORDS,Indie Label,"PO Box 1  Taylor, TX 76574",['512-387-5331'],orders@sstsuperstore.com ,,sstsuperstore.com ,,"rock, jazz, punk, progressive rock  *Unsolicited material accepted ",,,,,,
173,"STONES THROW RECORDS, LLC",Indie Label,"2658 Griffith Park Blvd, #504  Los Angeles, CA 90039",,losangeles@stonesthrow.com ,,stonesthrow.com ,,,,,"J Dilla, Dam-Funk, Madvillian",,,
174,SUB POP,Indie Label,"2013 4th Ave., 3rd Fl.  Seattle, WA 98121","['206-441-8441', '206-441-8245']",info@subpop.com ,,subpop.com ,,"rock, alt. rock *No unsolicited material ",,,,,,
175,SUMMIT RECORDS,Indie Label,"P.O. Box 13692  Tempe, AZ 85284-3692  1-",['480-491-6430'],sales@summitrecords.com ,,summitrecords.com ,,"jazz--big band, contemporary  ",,,,,,
176,SURFDOG RECORDS,Indie Label,"1126 S. Coast Hwy. 101  Encinitas, CA 92024","['760-944-8000', '760-944-7808']",demo@surfdog.com ,,surfdog.com ,Anita Strine ,,,,"Brian Setzer, Stray Cats, Richard Cheese, Gary Hoey, Rusty Anderson, Slightly Stoopid, Dan  Hicks, Butthole Surfers, Gibby Haynes, Dylan  Donkin, the Wylde Bunch  *Unsolicited material accepted, see website ",,,
177,SYMBIOTIC RECORDS,Indie Label,"P.O. Box 88456  Los Angeles, CA 90009",['424-245-0416'],,,symbioticnation.com ,,All ,"Record Label *Accepts unsolicited material email links only, no  phone calls ",,"Ignacio Val, Eric Knight ",,,
178,THIN MAN ENTERTAINMENT,Indie Label,"P.O. Box 322  Torrance, CA 90507",['310-320-8822'],submissions@thinmanentertainment.com ,,facebook.com/people/Thin-Man- Entertainment/  ,Jeremy Meza ,"alternative rock, darkwave, deathrock, gothic, industrial, jazz, junk, punk and  psychobilly ",,,,,,
179,THUMP RECORDS,Indie Label,"P.O. Box 9605  Brea, CA 92822",,customersupport@thumprecords.com ,,thumprecords.com ,"Bill Walker, CEO ","Latin rap, old skool, rap, R&B, Latin, oldies, disco  * New Artist submission guidelines: see website. ",,,,,,
180,TRUE PANTHER SOUNDS,Indie Label,"New York, New York",,sounds@truepanther.com ,,truepanther.com ,,,,,Tobias Jesso Jr. London OConnor,,,
181,URBAND & LAZAR,Indie Label,"Los Angeles, CA  London",['323-230-6592'],help@urbandlazar.com ,,urbandlazar.com ,,"indie, alt-rock, s-s *We do not accept unsolicited material ",,,,,,
182,UNIVERSALCMG WORLD ENT. 1954,Indie Label,"A Straiter Enterprise Company  Wells Fargo Center  355 South Grand Avenue  LA, California 90071",['323-334-0446'],info@unicmg.com ,,unicmg.com ,,All Genres *No unsolicited material accepted ,,,,,,
183,VAGRANT RECORDS,Indie Label,"5566 W. Washington Blvd.  Los Angeles, CA 90016",['323-302-0100'],info@vagrant.com ,,vagrant.com *We do not accept unsolicited demos ,,,,,,,,
184,WARP RECORDS,Indie Label,Sheffield London,,"usa@warprecords.com Notable Artists: Hudson Mohawke, Danny Brown,  Aphex Twin, Kelela  *not seeking unsolicited demos ",,warp.net ,,,,,,,,
185,WICKED COOL RECORDS,Indie Label,"434 6th Ave., Ste. 6R  New York, NY",['347-229-2960'],scott@wickedcoolrecords.com Web : facebook.com/WickedCoolRecords ,,,,,,,,,,
186,WINGSPAN RECORDS,Indie Label,"A Straiter Enterprise Company  Wells Fargo Center  355 South Grand Avenue  LA, California 90071",['323-334-0446'],,,WingspanRecords.com ,,"Artist development, solo artists, singer/songwriters, All Genres  *No unsolicited material accepted ",,,,,,
187,XL RECORDINGS,Indie Label,"(Beggars Group)  1 Codrington Mews  London, England W11 2EH  +44 (0) 20 8870 7511",,xl@xl-recordings.com,,xlrecordings.com ,,,,,,,,
188,YEAR0001,Indie Label,"Krukmakargatan 22, 118 51  Stockholm Sweden",,info@year001.com ,,"year0001.com, facebook.com/year0001 ",,,,,"Yung Lean, Bladee, Thaiboy Digital",,,
189,YEP ROC RECORDS,Indie Label,"449-A Trollingwood Rd.  Haw River, NC 27258",['877-733-3931'],fred@yeprocmusicgroup.com ,,yeproc.com,,,,,,,,
190,1 SEO EXPERTS,Marketer/Promoter,"Los Angeles, CA",['888-736-2413'],,,1seoexperts.com ,Michael Guy ,,Providing cutting edge media and marketing. ,,,,,
191,360 MEDIA,Marketer/Promoter,"1040 Boulevard SE, Suite C  Atlanta, GA 30312",['404-577-8686'],hello@360media.net ,,360media.net,,,,,,,,
192,919 MARKETING COMPANY,Marketer/Promoter,"104 Avent Ferry Rd.  Holly Springs, NC 27540",['919-557-7890'],letsworktogether@919marketing.com  ,,919marketing.com,,,,,,,,
193,ABC PROMOTIONAL MARKETING,Marketer/Promoter,"20531 Rhoda St.  Woodland Hills, CA 91367",['818-999-2226'],andrew@shopabcpromo.com ,,shopabcpromo.com,,,,,,,,
194,AFFORDABLE IMAGE,Marketer/Promoter,"515 E. Grant Street,  #216  Phoenix, AZ 85004",['800-639-1622'],sales@affordableimage.com ,,affordableimage.com,,,,,,,,
195,AIM MARKETING SOLUTIONS,Marketer/Promoter,"830 3  Jacksonville Beach, FL  32250",['904-881-0932'],info@aimmktgagency.com ,,aimmktgagency.com ,,sports and entertainment,,,,,,
196,AIRPLAY ACCESS,Marketer/Promoter,"5018 Franklin Pike  Nashville,TN 37220",['310-325-9997'],staff@airplayaccess.com ,,airplayaccess.com ,Paul Loggins ,all styles,,,,,,
197,ANDERSON MARKETING,Marketer/Promoter,"85 NE Loop 410, Suite 501  San Antonio, TX 78216",['210-223-6233'],info@andersonmarketing.com ,,andadv.com,,,,,,,,
198,ARIES OF NOHO PROMOTIONS,Marketer/Promoter,"P.O. Box 16741  North Hollywood, CA 91615","['747-256-8911', '818-220-3423']",Shelby@ariesofnoho.com ,,ariesofnoho.com ,MJ Shelby ,"Funk, Jazz, Old School, R&B, Soul, Urban, World Beat  Services : Consulting, Radio Airplay, Marketing,  On-Line Promotion, Band Management, Social  Networking, Video Promotion and Internet Publicity ",,,,,,
199,ARISTOMEDIA,Marketer/Promoter,"Nashville, TN 37202",['615-269-7071'],info@aristomedia.com ,,aristomedia.com,,,,,,,,
200,BEHIND THE CURTAINS MEDIA,Marketer/Promoter,"234 6th St. Ste #5  Brooklyn, NY 11215",['347-699-4429'],mike@behindthecurtainsmedia.com ,,behindthecurtainsmedia.com,Michael Abiuso ,,,,,,,
201,BLACK DOG PROMOTIONS,Marketer/Promoter,"9920 South Rural Road, Ste. 108  Phoenix, AZ 85284",['480-206-3435'],scott@blackdogpromotions.com ,,blackdogpromotions.com,,,,,,,,
202,CARDSCASHREWARDS.COM,Networking/Social/Gig,"Los Angeles, CA  1- Toll-Free in USA",['888-452.5959'],info@cardscashrewards.com ,,cardscashrewards.com ,,We develop gift cards into marketing solutions that enable music artists to  establish and sustain their careers independently.  Our award-winning approach to gift cards integrates  online PR; social networking; cutting-edge  ecommerce and more into any commercially-viable  artists marketing mix to accelerate sales and cash-  flow; grow and monetize social networks; establish  new distribution channels; and new strategic  partnerships and sponsorships. Our approach to  gift cards also conveys S.M.A.R.T.er ways for indie  music artists to crowdfund; digitally distribute music  globally; sell directly to consumers. ,,,,,,
203,CARPARK RECORDS,Networking/Social/Gig,"P.O. Box 42374  Washington, D.C. 20015",,info@carparkrecords.com ,,carparkrecords.com ,,,,,"Toro y Moi, Skylar Spence, Cloud Nothings ",,,
204,CORNERSTONE,Networking/Social/Gig,"71 W. 23rd St., 13th Fl.  New York, NY 10010",['212-741-7100'],"info@cornerstonepromotion.com, pr@cornerstonepromotion.com  ",,cornerstonepromotion.com ,Rob Stone and Jon Cohen,,,,,,,
205,CREATIVE BRAND CONSULTING,Networking/Social/Gig,"2219 S. 48th St., Ste. 1  Tempe, AZ 85282",['888-567-0522'],ron@creativebrandconsulting.com ,,creativebrandconsulting.com,,,,,,,,
206,CYBER PR,Networking/Social/Gig,"389 12th St.  Brooklyn, NY 11215",['212-239-8384'],contact@arielpublicity.com ,,cyberprmusic.com,,,,,,,,
207,DEATH TO SLOW MUSIC,Networking/Social/Gig,"Chicago, Il  (646) 470-8009",,teamdeath@eathtoslowmusic.com ,,deathtoslowmusic.com ,Henry Bainbridge ,"Indie, Punk, Rock, Folk, DIY, Underground ","Music PR for punks, geeks, weirdos and the rest of us.  Campaigns with soul. Killer bios. Punchy press  releases. Straight dope advice. ",,,,,
208,DEBORAH BROSSEAU COMMUNICATIONS,Networking/Social/Gig,"Los Angeles, CA",['323-314-4203'],db@deborahbrosseau.com ,,deborahbrosseau.com ,Deborah Brosseau,,,,,,,
209,DISTINCTIVE PROMO,Networking/Social/Gig,,['646-727-9645'],promo@distinctivepromo.com ,,distinctivepromo.com,,,,,,,,
210,DOMINANT CREATIVE,Networking/Social/Gig,"453 S. Spring St., Ste. 937  Los Angeles, CA 90013-2089",['213-232-1193'],info@dominantcreative.com ,,dominantcreative.com ,,,"Logo creation, press kit design, album cover art, promo materials (stickers, flyers, etc.)  audio post production, composition for TV/  films/games, songwriting arrangement, record  production, engineering, mixing, mastering,  prepping, albums for duplication/replication, vocal  coaching, vocal production, career consultation ",,,,,
211,FILTER,Networking/Social/Gig,"300 Lenora Street, Suite# 1279  Seattle, WA 98101",['800-336-0809'],info@filterdigital.com ,,filterdigital.com,,,,,,,,
212,FLANAGANS RADIO PROMOTIONS,Networking/Social/Gig,,['323-876-7027'],submt@FlanaganPromotions.com ,,flanaganpromotions.com ,"Jon Flanagan, Taylor W., Tom S. ","AAA, rock, AC, consult before pressing CD, building a bands buzz!. ",,,,,,
213,GAIL ROBERTS P.R. & INTERNET MARKETING,Networking/Social/Gig,"10061 Riverside Dr., Ste. 1400  Burbank, CA 91602",['310-734-8193'],gailrobertspr@gmail.com ,,linkedin.com/in/gailrobertspr ,Gail Roberts ,"longstanding music PR firm with marketing and online promotion, internet publicity,  social networking. Firm also handles marketing  and media for painters, authors, corporations and  ecological projects. ",,,,,,
214,GIANT STEP,Networking/Social/Gig,"281 N. 7th St., #2  Brooklyn, NY 11211",['212-219-3567'],inquiries@giantstep.net ,,giantstep.net,,,,,,,,
215,"GIRLIE ACTION MEDIA & MARKETING, INC.",Networking/Social/Gig,"243 W. 30th St., 12th Fl.  New York, NY 10001",['212-989-2222'],info@girlieaction.com ,,"girlieaction.com, facebook.com/girlieaction howard ",,,,,,,,
216,GONZALEZ MARKETING,Networking/Social/Gig,"2804 W. Northern Lights  Anchorage, AK 99517",['907-562-8640'],gm@gonzalezmarketing.com ,,gonzalezmarketing.com ,Steve Gonzalez,,,,,,,
217,GRIFFIN 360,Networking/Social/Gig,260 5  Midtown NY 10001,,julia@griffin360.com ,,griffin360.com ,,,"Public Relations, Advertising Print, Digital and Social  Media Planning, Social Media Management, Event  Management, Corporate Identity and Branding,  Website Design, Video Production  Contact: Julia Sciacca Account Coordinator ",,,,,
218,HANDS ON PR & MARKETING,Networking/Social/Gig,,,handsonpr@aol.com ,,expertiseinmedia.com ,Craig Melone ,all styles/indie labels,,,,,,
219,"HOWARD ROSEN PROMOTION, INC.",Networking/Social/Gig,"1129 Maricopa Hwy. Ste. #238  Ojai, CA 93023",['805-382-2200'],howie@howiewood.com ,,howiewood.com ,Howard Rosen ,"CHR/Top 40, AC, Hot AC, AAA, Alternative Specialty, Mainstream Rock, Modern  AC, Country & College for artists of all label sizes  including Independent.  Social Media, Video Production ",,,,,,
220,INDIEPOWER PROMOTION & MARKETING,Networking/Social/Gig,"5062 Lankershim Blvd., #174  N. Hollywood, CA 91601",['818-505-1836'],info@indiepower.com ,,facebook.com/INDIEPOWERonline ,Jay Warsinske CEO (40+ year veteran) ,"All styles, worldwide, maximum PR, promotion, marketing and major distribution  services by top pros ",,,,,,
221,IFANZ.COM,Networking/Social/Gig,"(McCartney Multimedia, Inc.)  322 Culver Blvd., Ste. 124  Playa Del Rey, CA 90293",,info@ifanz.com ,,ifanz.com,,,,,,,,
222,IMAGINE PR,Networking/Social/Gig,262 West 38th Street  Suite 703  New York City,['212-922-1961'],info@imagine-team.com ,,imagine-team.com,,,,,,,,
223,J&H PROMOTIONS,Networking/Social/Gig,"P.O. Box 295  Indian Rocks, FL 33785",['760-812-1214'],jhpro@att.net ,,jandhpromotions.com ,"Mary Christopher, President ","Award-winning promotions, brand management, ad agency, radio promotions,  press/PR, representing all genres, from indie to  major label.  ",,,"ABC Radio Networks, Dreamworks Records, Harrahs Casino, MCA Records, Jones and Thomas  Advertising Agency, Naxos Music, Stringtown  Records, Town of Los Altos Hills, Tennessee Trial  Lawyers Association, Polk County Utilities, 3rd  Battalion 3rd Marines, Main Street Bank and Trust  and Virgin Records. ",,,
224,JJ ENTERTAINMENT,Networking/Social/Gig,,['530-412-3354'],Joddith@aol.com ,,jjentertainment.com ,Jodi Jackson ,All,,,,,,
225,KAREN MORSTAD & ASSOCIATES,Networking/Social/Gig,"79 E. Putnam Ave.  Greenwich, CT 06830",['646-209-8055'],kmorstad@karenmorstad.com ,,karenmorstad.com,,,,,,,,
226,KBH ENTERTAINMENT GROUP,Networking/Social/Gig,"Van Nuys, CA 91405",['818-786-5994'],support@kbhentertainment.com ,,kbhentertainment.com ,Brent Harvey ,"consulting, artist management, event production, music licensing and placement,  publicity, talent buying & booking ",,,,,,
227,LABEL LOGIC,Networking/Social/Gig,Artist and Label Services,,"jay@label-logic.net, jeff@label-logic.net ",,,"Jay Gilbert and Jeff Moskow 566 Mindenvale Court  Simi Valley, CA 93065  (310) 405-4155 (text), 818-431-0728  ",All genres,,,,,,
228,LAKES COMMUNICATION SERVICES,Networking/Social/Gig,"Los Angeles, CA 90045",['323-251-2358'],lakescommunications@gmail.com ,,,Jeffery Lakes ,"R&B, HipHop, Smooth Jazz, Urban Contemporary  ","artist management, marketing,  business development ",,"Mark Drummond, Lakes The Voice ",,,
229,LANE TERRALEVER,Networking/Social/Gig,"645 E Missouri Ave., Ste 400  Phoenix, AZ 85012",['602-258-5263'],info@laneterralever.com  ,,laneterralever.com,,,,,,,,
230,LARRY WEIR,Networking/Social/Gig,"National Record Promotion  137 N. Larchmont Blvd., S-#500  Los Angeles, CA 90004",['323-658-7449'],lweir@larryweir.com ,,larryweir.com ,,Need radio airplay? Multi-format radio promotion ,,,,,,
231,LOGGINS PROMOTION,Networking/Social/Gig,"2530 Atlantic Ave., Ste. C  Long Beach, CA 90806",['310-325-2800'],staff@logginspromotion.com ,,logginspromotion.com ,Paul Loggins ,all styles,,,,,,
232,LOTOS NILE MARKETING,Networking/Social/Gig,"P.O. Box 90245  Nashville, TN 37209",['615-298-1144'],info@lotosnile.com ,,lotosnile.com,,,,,,,,
233,LUCKIE & COMPANY,Networking/Social/Gig,"1143 1  Birmingham, AL 35223  833-4-LUCKIE",,press@luckie.com ,,luckie.com   ,,,,,,"   3160 Main St. Ste 200  Duluth, GA 30096 ",,
234,"LUCK MEDIA & MARKETING, INC.",Networking/Social/Gig,"8581 Santa Monica Blvd., #426  West Hollywood, CA 90069",['818-232-4175'],info@luckmedia.com ,,luckmedia.com ,Steve Levesque,,,,,,,
235,"MAKE GOOD MARKETING &  MANAGEMENT, INC.  ",Networking/Social/Gig,"Paul Orescan  13636 Ventura Blvd., #185  Sherman Oaks CA 91423  (818) 749-7014",,paulorescan@me.com Web : makegoodmarketing.com ,,,,,,,,,,
236,MIA MIND MUSIC,Networking/Social/Gig,"254 6th St., Ste. #2  Hoboken, NJ 07030",['800-843-8575'],info@miamindmusic.com ,,miamindmusic.com,,,,,,,,
237,MIKE MATISA,Networking/Social/Gig,,,mikematisa@gmail.com  ,,mikematisa.com,Mike Matisa ,," Independent Agent  Radio Promotions, Artist Development. Independent agent and scout for a diversified portfolio of radio promotion and artist  development professionals. Specializing in: Pop, Top  40, Adult Contemporary, Urban, Hot AC, Country,  Triple A, Alternative, Active & Modern Rock, and  Smooth Jazz radio formats. ",,,,,
238,MILES HIGH PRODUCTIONS,Networking/Social/Gig,"P.O. Box 93157  Hollywood, CA 90093",['323-806-0400'],info@mileshighproductions.com ,,mileshighproductions.com  ,,"Social Marketing and digital press company catering to both indie and  established artists. We specialize in rock, pop,  dance, jazz, blues, country/roots, soul/urban and  new age. Established in 2002. ",,,,,,
239,MIXED MEDIA,Networking/Social/Gig,"Cranston, RI",['401-942-8025'],ginny@mixedmediapromo.com ,,"mixedmediapromo.com, facebook.com/  MixedMediaPromotion ",,,,,,,,
240,MOTION CITY RECORDS,Networking/Social/Gig,"1424 4th St., #604  Santa Monica, CA 90401",['310-434-1272'],,,motioncity.com ,,alternative rock ,,,"Velvet, Voodoo, Brent Fraser, 10 Pound Troy, UFO Bro, Drag, Wendy Bucklew ",,,
241,MTS MANAGEMENT GROUP,Networking/Social/Gig,"227 Gill Road  Apollo, PA  15613",['412-445-5282'],michael@mtsmanagementgroup.com ,,mtsmanagementgroup.com ,Michael Stover ,all genres ,"Consulting, Radio Airplay, Marketing, On- Line Promotion, Band  Management, Social Networking, Video Promotion,  iTunes and Spotify  promotion, and Internet Publicity ",,,,,
