,Name,Type,Web,Services,Fee,Email,Phone,Features,Fees,Summary,Prizes,Categories,Contact
140,FANPASSLIVE,Tour Dates Calendar,fanpasslive.com ,"A platform and true artist partner that allows artists and their fans (both old and new)  to interact in authentic ways, right from their  smartphone or other connected devices ",,,,,,,,,
141,LYTE,Tour Dates Calendar,lyte.com/events ,"Lyte is a platform that enables event organizers, venues and artists to enhance their  ticketing, ensure shows are full and keep fans  happy.  Lyte provides a safe, official reservation  system and allows fans to return their tickets to  the official point of purchase for a fair price. ",,,,,,,,,
142,MANDOLIN,Tour Dates Calendar,Mandolin.com ,"Keeps fans up to date with artists, and tours, merch, etc. ",,,,,,,,,
143,SONGKICK,Tour Dates Calendar,songkick.com ,Provides concert discovery services and ticket sales for live music events. ,,,,,,,,,
144,DREAMSTAGE,Live Streaming,dreamstage.live ,A streaming platform where musicians of all genres perform and interact  with fans worldwide. ,,support@dreamstage.live ,,,,,,,
145,PERISCOPE,Live Streaming,pscp.tv ,Offers live broadcasts with a twist the ability to replay them at any time. Every  video comes to life with a league of integrated  social,,,,"while watching streams, youll  also see people join, leave hearts, comment in  real time, and more. ",,,,,
146,STAGEIT,Live Streaming,stageit.com ,"Artists perform live, online shows from their laptop that are never recorded or  archived. Fans are encouraged to ask the  artist questions, request songs, and even chat  with other fans during the show. Virtual tip jar  available on every show. ",,,,,,,,,
147,TWITCH,Live Streaming,twitch.tv ,"Site primarily focuses on video game live streaming, including broadcasts of eSports  competitions, in addition to music broadcasts,  creative content, and more recently, in real  life streams. Content on the site can be viewed  either live or via video on demand. ",,,,,,,,,
148,YOUKNOW,Live Streaming,younow.com ,"Discover talented broadcasters, watch live streams and video chat live with people from  around the world. ",,,,,,,,,
149,9 CAFEPRESS,T-Shirts & More: Merch & Manufacturing,cafepress.com ,"Create and sell your personalized designs on t-shirts, bags, mugs,  posters and many more unique gifts. ",,,877-809-1659  ,,,,,,
150,AKA,T-Shirts & More: Merch & Manufacturing,galleryakacom ,"AKA is an independently owned & operated retail boutique and custom printing  company based in San Diego, California. ",,,,,,,,,
151,BANDS ON A BUDGET,T-Shirts & More: Merch & Manufacturing,BandsonaBudget.com ,"Prints custom merchandise for all types of businesses and brands, with a  large majority of its customers being up-and-  coming musicians. With products varying  from shirts to stickers, banners to tour posters,  BandsonaBudget.com can help you cover all of  your bases in one shot, eliminating the need to  deal with different companies. ",,,866-471-3868  ,,,,,,
152,BIG CARTEL,T-Shirts & More: Merch & Manufacturing,bigcartel.com ,"Build a unique online store, sell your work, and run a creative business. Perfect for  clothing designers, bands, jewelry makers,  crafters, and other artists. ",,,,,,,,,
153,CUSTOM INK,T-Shirts & More: Merch & Manufacturing,customink.com,,,,800-293-4232  ,,,,,,
154,FIVERR,T-Shirts & More: Merch & Manufacturing,fiverr.com ,"Online marketplace for freelance services including digital marketing, graphic  design, music, audio and more. ",,,,,,,,,
155,KILLERMERCH.COM,T-Shirts & More: Merch & Manufacturing,killermerch.com ,"Full-service branding agency, global merchandising, product development ",,,,,,,,,
156,MERCHCAT,T-Shirts & More: Merch & Manufacturing,merchcat.com ,"Merch sales, inventory management, track payments and get real-time reports. ",,info@merchcat.com ,,,,,,,
157,MERCH.LY,T-Shirts & More: Merch & Manufacturing,merch.ly ,"Custom t-shirts, hoodies, bags and more, customized with your band logo or design. ",,,866-522-4012  ,,,,,,
158,PRINTFUL,T-Shirts & More: Merch & Manufacturing,printful.com ,"On-Demand order fulfillment and warehousing service. Products include: clothing,  accessories, and home & living items for online  businesses. Its free to set up, with no monthly  fees or minimum order. ",,support@printful.com ,818-351-7181  ,,,,,,
159,REDBUBBLE,T-Shirts & More: Merch & Manufacturing,redbubble.com Services:  Online marketplace to print on-demand  products based on user submitted artwork. ,,,,,,,,,,
160,RUSHORDERTEES,T-Shirts & More: Merch & Manufacturing,,,,,2727 Commerce Way ,,,,,,
161,"Philadelphia, PA 19154",T-Shirts & More: Merch & Manufacturing,rushordertees.com ,"Screen printing, embroidery, delivery",,sales@rushordertees.com ,,,,,,,
162,SONGLORIOUS,T-Shirts & More: Merch & Manufacturing,,"Employs a stable of hundreds of musicians who create customized songs for  anniversaries, birthdays, and yes marriage  proposals. Customers simply fill in details for  their song, choose a genre song length and  in four days-time a certified musician will  send back a customized song ready to share.   ",Cost for song starts at $90.,,,,,,,,
163,SHOPIFY,T-Shirts & More: Merch & Manufacturing,shopify.com ,"Shopify is a commerce platform that allows anyone to easily sell products. Shopify  offers a professional online storefront, a payment  solution to accept credit cards, and the Shopify  POS application to power retail sales.  ","Basic Shopify - $29/mo., Shopify - $79 /mo., Advanced Shopify - $299/mo. ",,,,,,,,
164,SQUARE,T-Shirts & More: Merch & Manufacturing,squareup.com/us/en ,"Financial services, merchant services aggregator, and mobile payment company  ",Charges 2.75% per swipe.,,,,,,,,
165,STICKER MULE,T-Shirts & More: Merch & Manufacturing,stickermule.com ,"Custom stickers, labels, magnets & more. Get free proofs, free shipping, 4-day  turnaround & 24/7 customer support ",,,,,,,,,
166,TEEPUBLIC,T-Shirts & More: Merch & Manufacturing,teepublic.com ,Largest marketplace for independent creators to sell their work on high-quality merch ,,help@teepublic.com ,,,,,,,
167,VISTAPRINT,T-Shirts & More: Merch & Manufacturing,vistaprint.com ,"Design and order custom printed marketing materials, signage, t-shirts, hats, pens ",,,866-614-8002  ,,,,,,
168,ZAZZLE,T-Shirts & More: Merch & Manufacturing,zazzle.com ,"Allows designers and customers to create their own products with independent  manufacturers, as well as use images from  participating companies. ",,,,,,,,,
169,AIMI,Music Distribution & Film Licensing,aimi.fm/about ,"World-class artists have collaborated with the platform to present original  compositions and Experiences,  oftentimes they  provide an albums length of material. Aimis  unique AI proactively chooses the right pieces  of audio to play at the right moments, constantly  rearranging and repurposing segments, to  generate brand new presentations of these  artists material. ",,,,,,,,,
170,AMUSE,Music Distribution & Film Licensing,amuse.io ,"Strategic planning, marketing,  financing, branding and PR, 50/50 profit. ",,support@amuse.io ,,,,,,,
171,AWAL,Music Distribution & Film Licensing,awal.com ,"Global distribution, marketing and release management, A&R, funding, playlist  promotion, radio & PR, YouTube monetization, and  music data and insights through the AWAL App. ",,info@awal.com ,,,,,,,
172,BEATBREAD,Music Distribution & Film Licensing,beatbread.com,,,,,,,,,,
173,BEATCHAIN,Music Distribution & Film Licensing,beatchain.com ,"distribution, insights, marketing","Free sign-up, $14.99/mo., $19.00/mo. ",enquiries@beatchain.com ,,,,,,,
174,DISTROKID,Music Distribution & Film Licensing,distrokid.com ,"Distribute cover songs legally, get paid when other people use your music on YouTube,  unlimited backups, instant Spotify verified  checkmark, manage your Apple Music page, get  your credits & lyrics into stores, Spotify pre-save. ",,support@distrokid.com ,,,,,,,
175,DITTO MUSIC,Music Distribution & Film Licensing,dittomusic.com ,"Distribution service offers unlimited releases to all major online stores on an annual  subscription basis. Non-exclusive deals with  artists keeping 100% of their royalty earnings.  Record label services including PR, social media  and playlist pitching to independent artists. ",,,,,,,,,
176,FWAYGO,Music Distribution & Film Licensing,fwaygo.com ,"Built by music artists and powered by fans, the platform provides a first-of-its-kind  music discovery experience for consumers as  well as a disruptive business model enabling  undiscovered artists to increase both their  exposure and their earnings by avoiding the  exploitative music ownership, royalty and  streaming revenue policies of traditional labels  and streaming services. ",,,,,,,,,
177,LANDR,Music Distribution & Film Licensing,landr.com ,"AL mastering, collaboration workflows,  artist-friendly distribution, promotion tools, free  samples, stats.  ",$24.99/mo/$207yr/$149.99yr (billed upfront),contact@landr.com ,,,,,,,
178,OCTIIVE,Music Distribution & Film Licensing,octiive.com ,"Distribution, marketing, mastering, licensing opportunities. ",,support@mondotunes.com ,,,,,,,
179,ONERPM,Music Distribution & Film Licensing,onerpm.com ,"Music distribution, marketing, business intelligence, rights mgmt. & publishing, etc. ",,support@onerpm.com ,,,,,,,
180,QOBUZ,Music Distribution & Film Licensing,qobuz.com ,"Offers high-quality sound and unlimited listening, anytime, everywhere ",,,,,,,,,
181,REPOSTEXCHANGE,Music Distribution & Film Licensing,repostexchange.com ,"Offers SoundCloud monetization, content protection, and upgraded profile features  to musicians and podcasters on the platform. ",,,,,,,,,
182,REVELATOR,Music Distribution & Film Licensing,revelator.com ,"State of the art full-stack copyright management platform for independent artists,  labels, and distributors to distribute to music  digital platforms, manage revenue reporting and  royalty settlement to all rights holders ",,,,,,,,,
183,REVERBNATION,Music Distribution & Film Licensing,,,,support@reverbnation.com,,,,,,,
184,RIGHTSHOLDER.IO,Music Distribution & Film Licensing,rightsholder.io ,A simple music rights search engine designed with music licensing & synchronization  professionals in mind. ,,,,,,,,,
185,SONGTRADR,Music Distribution & Film Licensing,songtradr.com ,"Free sign-up, online music licensing, free submission to music licensing opportunities,  unlimited music storage, non-exclusive licensing. ",,support@songtradr.com ,424-744-8190  ,,,,,,
186,SPINNUP,Music Distribution & Film Licensing,spinnup.com ,"Keep 100% royalties, streaming statistics and sales reports. ",,,,,,,,,support.spinnup.com 
187,SYMPHONIC DISTRIBUTION,Music Distribution & Film Licensing,symphonic.com ,"Video distribution, publishing administration, neighboring rights, marketing,  video marketing, sync licensing, web and  graphic design, YouTube website monetization  and SoundCloud monetization. ",,,813-907-3128  ,,,,,,
188,SYNC SONGWRITER,Music Distribution & Film Licensing,syncsongwriter.com ,Selectively licenses music with licensing agent. The goal of the site is to teach  you how to get your songs into TV & film. ,,,,,,,,,
189,THE ORCHARD,Music Distribution & Film Licensing,theorchard.com ,"distribution, marketing, data analytics, performance rights, accounting ",,communications@theorchard.com ,,,,,,,
190,TUNECORE,Music Distribution & Film Licensing,tunecore.com ,"Vinyl pressing and distribution, physical copies of your music, guaranteed plays  on services like Deezer and 8track, engagement  stats, custom artist website using designs  tailored for musicians ",,,,,,,,,
191,UNITEDMASTERS,Music Distribution & Film Licensing,unitedmasters.com ,"Distribution, marketing, analytics ","$100 monthly payment made through paypal, UnitedMasters keeps 50% of royalties. ",info@unitedmasters.com ,,,,,,,
192,DROPP TV,Monetized Video Posting,dropp.tv ,"Dropp Tv unleashes the power of the creator through an innovative blend of art,  technology and e-commerce creating a new  mode of digital interaction. ",,support@dropp.tv ,,,,,,,
193,SONGFLUENCER,Monetized Video Posting,songfluencer.com ,"Strategically pairs songs, artist, and brands with key tastemaker influencers on  music-forward social media platforms. ",,info@songfluencer.com ,,,,,,,
