Unnamed: 0,Name,Address,Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location,Notes
120,HELLS HALF ACRE,"Frazier Park, CA",,steve@stevekravac.com,stevekravac.com,$50/hr.,Digital,Steve,"Live tracking, mixing, and mastering withR.I.A.A. Gold Accredited producer/engineer/mixer Steve Kravac. ","Less Than Jake, MxPx, Blink-182, 7-Seconds,Pepper, Epitaph, SideOne/Dummy, Capitol, Atlantic, A&M, Tooth & Nail  ",,
121,HENSON RECORDING STUDIO,"1416 N. La Brea Ave.  Hollywood, CA 90028",['323-856-6690'],faryal@hensonrecording.com,hensonrecording.com,call for info ,"SSL SL 6072E/G, 4072G+, 6056/G, 9090J,Augsperger, 8 Neve ",Faryal Russell,,,,
122,HIT SINGLE RECORDING SERVICES,"1935 C. Friendship Dr.  El Cajon, CA 92020",['619-258-1080'],,hitsinglerecording.com,please call for info ,digital and analog,Randy Fuelle,,,,
123,HUMAN ELEMENT,"(Post Studios)  453 S. Spring St. Los Angeles, CA 90013",['213-232-1193'],info@humanelement.tv,humanelement.tv,Call or email for information ,,,,,,
124,IGLOO MUSIC STUDIOS,"228 West Palm Ave.  Burbank, CA 91502",['818-558-7733'],studio@igloomusic.com,igloomusic.com,call or email for info,,Gustavo,,,"931 W. Olive Ave Burbank, CA 91506  ",
125,INFINITESPIN RECORDS,"Sherman Oaks, CA",['818-384-1451'],info@infinitespinrecords.com,infinitespinrecords.com,"$85/hour (3 hour minimum), lock outsavailable (contact for pricing)  ","Pro Tools 12HDX, 40 channel 1972 API, 16channel Neve, 24 track Studer A827, array of outboard gear, upright piano, Hammond B3 & Leslie, Fender Rhodes, assortment of vintage amps and guitars, lounge, kitchen, private gated parking ",Matt Linesch,,,,
126,JRLDRUMS,,['818-903-3690'],johnlewis@jrldrums.com,jrldrums.com,call for rates,digital,John Lewis,Internet Drum Sessions  ,,"Phoenix, AZ 480-374-3786  ",
127,JUST FOR THE RECORD,"8763 Lankershim Blvd.  Sun Valley, CA 91352",['747-292-1151'],mackenzie@justfortherecord.com,justfortherecord.com/studio,call or email for info ,,"Mackenzie Coats, Studio Manager",,,,
128,KONSCIOUS STUDIOS,"1655 9th St.  Santa Monica, CA 90404",['424-382-9155'],booking@konsciousstudios.com,konsciousstudios.com,call or email for info ,,Dan or Ric,,,,
129,LAGUNA SOUND STUDIO,"381 Forrest Ave., Ste. D  Laguna Beach, CA 92651",['949-395-9400'],info@lagunasoundstudio.com,lagunasoundstudio.com,,"Logic Pro X, Pro Tools 11 ","Gary Hicks, Studio Manager",,,,
130,LAFX RECORDING SERVICES,"P.O. Box 827  North Hollywood, CA 91603",['818-769-5239'],lafx1@aol.com,lafx.com,please call for info ,"digital and analog, 24 tracks",Dan or Anne Vicari,,,,
131,LARRABEE SOUND STUDIOS,"4162 Lankershim Blvd.  North Hollywood, CA 91602","['818-753-0717', '818-753-8046']",info@larrabeestudios.com,larrabeestudios.com,call for info ,digital and analog,"Amy Burr, Studio Manager",,,,
132,LITTLE BIG ROOM STUDIOS,"2912 W. Burbank Blvd.  Burbank, CA 91505",['818-846-2991'],brad@littlebigroom.com,littlebigroom.com ,,,,,,,
133,MAD MUSE STUDIOS,"1015 E. 14th Street  Los Angeles, CA90021",['323-685-2054'],,,,Solid State Logic 8064G ,"Zulma Tercero, Studio ManagerWeb : madmusestudios.com ",,,,
134,MAMBO SOUND AND RECORDING,"2200 W. Esther St.   Long Beach, CA 90813",['562-432-9676'],steve@mambosound.net,mambosoundandrecording.com,call for info ,"digital and analog, 48 tracks",Steve McNeil,,,,
135,MARC DESISTO PRODUCTIONS,"Sherman Oaks, CA",['818-259-4235'],marcdesistoaudio@gmail.com,marcdesistoaudio.com,please call for info ,Pro Tools HD,Marc DeSisto,,,,
136,MARC GRAUE VOICEOVER RECORDING STUDIOS,"3421 W. Burbank Blvd.   Burbank, CA 91505",['818-953-8991'],info@marcgrauestudios.com,marcgrauestudios.com,please call for info ,digital and analog,,,,,
137,MARTINSOUND RECORDING STUDIOS,"1151 W. Valley Blvd.  Alhambra, CA 91803",['626-281-3555'],dblessinger@martinsound.com,martinsound.com,please call for info ,"digital and analog, 32 tracks",Dan Blessinger,,,,
138,MAR VISTA RECORDING STUDIO,"Mar Vista, CA",['310-467-0889'],remmusic@verizon.net,jerrymanfredi.com,Please call for information ,,Jerry,,,,
139,MASTER GROOVE STUDIOS / RADD SOUND,"Northridge, CA  Nashville, TN","['818-830-3822', '615-562-5329']",davejavu@att.net,mastergroovestudios.com,please call for rates ,"digital, unlimited tracks",David Morse,,,,
140,"MAXIMUS MEDIA, INC.","2727 N. Grove Industrial Dr., Ste. 111  Fresno, CA 93727",['559-255-1688'],ray@maximusmedia.net,tothemax.com,please call for info ,digital and analog,,,,,
141,MEGA SOUND STUDIOS,"2789 E. Main Street  Ventura, CA  Web : megasoundstudios.com",['805-667-8100'],,,,,,,,,
142,MELROSE MUSIC STUDIOS,"(Formosa Film Lot)   1041 North Formosa Avenue West Hollywood, CA 90046","['818-216-5409', '323-333-8946']",Melroserecordingstudios@gmail.com,facebook.com/melrosemusicstudios,"recording: Studio A $60/hr., Studio B $45/hr. Special prices for day rates.   ",analog and digital processing,David Williams,,,,
143,MIX CITY MUSIC,"19410 Kilfinan St.   Porter Ranch, CA 91326",['818-464-5844'],Matt@MixCityMusic.com,MixCityMusic.com ,,,,,,,FB & IG:  @MixCityMusicLA
145,MIX RECORDING STUDIO,"539 S. Rampart Blvd.  Los Angeles, CA 90057",['323-218-7475'],info@mixrecordingstudio.com ,mixrecordingstudio.com,"Fixed rate for session with an engineer $54/hr, without engineer $42/hr, and different engineers available for 30/35hr  ",,,,,,
146,"MIX ROOM, THE","2940 W. Burbank Blvd.  Burbank, CA 91505",['818-846-8900'],info@themixroom.com,themixroom.com,please call for info ,"digital and analog, 128 tracks",,,,,
147,M L E STUDIOS,"P.O. Box 1014  Hollywood, CA 91356",['866-246-8846'],mail@majorlabelmusic.com,majorlabelmusic.com,$45/hr. or flat rate per song/project ,"digital/analog, Pro Tools HD2 Accel",Col. Darryl Harrelson,,,,
148,MOUNTAIN DOG MUSICWORKS,"485 Ventura Ave., Ste. E3  Oak View, CA 93022",['805-901-1984'],,mountaindogmusic.com,please call for info ,digital,Tim Frantz,,,,
149,NIGHTBIRD RECORDING STUDIOS,"At Sunset Marquis Hotel  1200 Alta Loma Road West Hollywood, CA 90069",['310-657-8405'],manager@nightbirdstudios.com,nightbirdstudios.com,call for prices ,Pro Tools HDX / Logic Pro,Angelo Caputo,,,,
150,NOYZRMUSIC,"Kellie Curtis  2110 Cross Street La Canada, CA 91011",['323 481-8188'],contact@noyzrmusic.com ,,,,,,,,
151,NRG RECORDING SERVICES,"11128 Weddington St.  North Hollywood, CA 91601",['818-760-7841'],ayex@nrgrecording.com,nrgrecording.com,Call for details ,digital and analog,,,,,
152,"OC RECORDING COMPANY, THE","3100 W. Warner Ave Suite 7   Santa Ana, CA 92704",['323-244-9794'],info@ocrecording.com,ocrecording.com,"Please call, email or visit site ","Analog/DigitalPro Tools, SSL, Neve,Neumann, Avalon, Manley, API ",Asaf Fulks (Producer/Engineer),"Recording, Mixing, Mastering,Music Production, Photo/Video, Graphics Remote Services via Source Connect/Skype ",,,
153,PACIFICA STUDIOS,"2620 La Cienega Ave.  Los Angeles, CA 90034",['310-559-9777'],,,please call                                                                                                                                                                                                                                                                   ,Pro Tools,Glenn,,,,
154,PALM SPRINGS RECORDING,"333 N. Palm Canyon Drive  Palm Springs, CA   92262",['323-333-8946'],palmspringsrecordingstudios@gmail.com ,palmspringsrecordingstudios.com,,,Leanne McNeil,,,,
155,PARAMOUNT RECORDING STUDIOS,"6245 Santa Monica Blvd.  Los Angeles, CA 90038",['323-465-4000'],info@paramountrecording.com,paramountrecording.com,call for rates ,"digital and analog, 96+ tracks",,,,,
156,PARSONICS STUDIO,"1500 Farren Road   Santa Barbara, CA 93117",['805.272.0159'],studio@parsonics.com,Parsonics.com,Call or email for rates,Neve 32 channel analog console/Pro Tools/Apogee 48 channel ,Noah Bruskin,,,,Owned and operated by Grammy award-winner Alan Parsons  
157,PATTERN RECORDING STUDIO,"47235 W. Jefferson Blvd    Los Angeles, CA 90016",['323-389-7759'],PatternRecordingStudio@Gmail.com,PatternRecordingStudio.com,Please call or email,"ProTools, Logic, Ableton, Analog Tape ",Cole Bingham (Studio Manager),"Music Production Packages, Recording,Mixing & Mastering, Production, Remote Recording, and Rehearsal Studio. Accepts unsolicited materials. See website for more information.  ","The War Toys, Loser Company, TrinidadJames, Dream Panther, The Tens, Record Year, Chris Green, Litty Kitter, Chef Mendeff. ",,
158,PAWN SHOP STUDIO,"14819 Oxnard St.  Van Nuys, CA 91405",['818-798-3400'],Pawnshopstudio@gmail.com,pawnshopstudio.com,call (or list your rates here) ,"API mic pres, Lynx Aurora Converters",,,,,
159,PENGUIN RECORDING,"P.O. Box 91332   Pasadena, CA 90041","['323-259-8612', '323-259-8613']",john@penguinrecording.com,penguinrecording.com,,"digital and analog, 48 tracks ",John Strother,,,,
160,PERFECT SOUND STUDIOS,"Los Angeles, CA","['323-459-8708', '323-318-0515']",info@perfectsoundstudios.com,perfectsoundstudios.com ,,,,,,,
161,THE PIE STUDIOS,"Pasadena, CA",['669-228-4818'],info@thepiestudios.com,thepiestudios.com ,,,,,,,
162,PLASTIC DOG RECORDING,"3815 Grand View Blvd.   Los Angeles, CA 90066",['310-795-1526'],colin@plasticdogrecording.com,plasticdogrecording.com ,,,,,,,
163,PEN STATION STUDIOS,"1809 Olympic Blvd.  Santa Monica, CA 90404",['424-238-8800'],info@penstation.la,penstation.la,,"ProTools, UAD, Waves, Fab Filter, SoundToys, Eventide ",Kat Neis  Studio Manager,,,,"Located at the site of former legendarystudios Flyte Tyme and Windmark Recording, Pen Station Studios is a full-service recording facility located within walking distance of UMGs Santa Monica headquarters. The studio features 3 tracking rooms plus2production suitesand a newly outfitted ATMOS roomequipped with Neve and SSL consoles along with a great selection of outboard gear, microphones, and monitors.  "
164,PLATINUM STUDIO,"815 Moraga Drive, Suite 207  :os Angeles, CA 90049",['310-807-8100'],info@platinumstudios.com,facebook.com/PlatinumStudios,please call for info ,,,,,,
165,PRIME RIB PRODUCTIONS,"Los Angeles, CA",['213-447-9658'],phil@primeribproductins.com,primeribproductions.com ,,,,,,,
166,PRIVATE ISLAND TRAX,"1882 S. Cochran Ave.    Los Angeles, CA 90019",['323-856-8729'],info@privateislandaudio.net,privateislandtrax.com,please call for info ,"digital, Pro Tools",,,,,
167,"PRODUCTION COMPANY RECORDING,",,,,,,,,,,,
168,"MASTERING & REHEARSAL STUDIO, THE","673 Valley Dr.  Hermosa Beach, CA 90254",['310-379-6477'],rockzionrecords@rockzion.com,rockzion.com/productionco.html,$60 per hour Digital Recording / $75 anhour Analog Mastering  ,"2-inch Ampex 16 track and Trident MixingConsole, Pro Tools and Analog Mastering ",,,,,
169,PYRAM-AXIS PRODUCTIONS,"Redondo Beach, CA 90278",['310-869-8650'],music@pyramaxis.com,pyramaxis.com,Project Rates - Call for details. ,"ProTools HD, Logic Pro",Jim D.,"Production, Mixing, Mastering, GlobalDistribution, Remote Online ",,,
170,"RAINMAN STUDIOS, INC.","Van Nuys, CA",['818 468 5701'],PlatinumMixes@gmail.com,MultiPlatinums.com,please call for info ,"Cubase 9 wide selection of top vintagemicrophones, keyboards, and drum machines ",David Rain Banta,,"Bone Thugs-N-Harmony, Snoop Dogg, TracieSpencer, The Roots, Pharcyde, Do or Die, Fox Sports, Warner Brothers Television, Capitol Records, TVOne, NASCAR, Sony Music, Epic Records ",,
171,READY MIX MUSIC,"5633 Lankershim Blvd.  North Hollywood, CA 91601",['818-388-2196'],studio@readymixmusic.com,readymixmusic.com,Call for info ,"Pro Tools & analog tape, vintage keys & gear.",Paul or Sarah,,,,
172,RECORD PLANT,"1032 N. Sycamore Ave.  Hollywood, CA 90038",['323-993-9300'],booking@recordplant.com,recordplant.com,please call for info ,digital and analog,Jeff Barnes,,,,
173,RESONATE MUSIC & SOUND,"449 S. San Fernando Blvd.  Burbank, CA 91502",['818-567-2700'],connect@resonate.la,resonate.la,call for info ,Digital and Analog,,,,,
174,REVOLUTION 9 RECORDING STUDIOS,"1041 N. Orange Dr.   Hollywood, CA 90038",['323-405-7389'],booking@rev9recording.com,rev9recording.com,Call for rates ,Pro Tools 9 and Cubase 7.5,Daniel Balistocky,,,,
175,"ROBERT IRVING PRODUCTIONS, INC.","Woodland Hills, CA 91367",['818-384-7464'],rirving@pacbell.net,robertirving.com,Flexible,"Digital Performer or Logic, Pro Tools",Robert,,,"Anacortes, WA  ","3 great live rooms, Yamaha DC-7 Grand Piano,vintage mic collection "
176,"ROOM RECORDING STUDIOS, THE","4550 Melrose Ave Los Angeles, CA 90029",['310-895-8553'],booking@theroomstudios.us,theroomstudios.us,Call for quotes,,Mauricio Garza,"8 different studios, 4 Locations Fullrecording, Mixing and Mastering Services, Studios and Engineers available 24/7.  ",,,
177,RPD STUDIOS,"1842 Burleson Ave.  Thousand Oaks, CA 91360",['805-496-2585'],rpdstudios@roadrunner.com,rpdsound.com,$50/hr. ,"digital, 192 tracks",Randy,,,,
178,TOTAL ACCESS,"612 Meyer Lane. #12  Redondo Beach, CA 90278",['424-271-5070'],steveornest@gmail.com,tarecording.com ,,,,,,,
179,SANTA BARBARA SOUND DESIGN,"33 W. Haley St.   Santa Barbara, CA 93101",['805-965-3404'],dom@tekmstr.com,santabarbarasound.com,please call for info ,"digital and analog, 192 tracks",Dom Camardella,,,,
180,THE SANCE ROOM,"Sherman Oaks, CA",['818-915-1196'],brett@seanceroom.com,seanceroom.com ,,,,,,,
181,SEAHORSE SOUND STUDIOS,"1336 S. Grand Ave.  Los Angeles, CA 90015",['909-210-2317'],seahorsesoundstudios@yahoo.com,seahorsesoundstudios.com,call for rates ,"analog and digital, 24 tracks",Samur,,,,
182,SIGNATURE SOUND,"5040 Ruffner St.  San Diego, CA 92111",['858-268-0134'],info@signaturesound.com,signaturesound.com,call for info ,,,,,,
183,SILENT ZOO STUDIOS,"736 Salem St.  Glendale, CA 91203",['818-484-5222'],contact@silentzoostudios.com,silentzoostudios.com,Call for details ,"Pro Tools Ultimate, Logic Pro, Ableton Live",Holden or Patrick,,,,
184,SKIP SAYLOR,"P.O. Box 280010  Northridge, CA 91328-0010","['818-300-0400', '818-881-7092']",skipsaylor@gmail.com,skipsaylor.comtheskyboxstudio.com,call for info4 & 8 Hour Day Rates AvailableMusic Connection Promo: 4hr w/Engineer $250* *First Time Customers Only  ,"digital and analog, HDXSSL 4100G+, Pro Tools HDX, Yamaha grand piano,Hammond B3, TAD, Lexicon 480L,PCM70, PCM42 (4), AMS 1580 (2), AMS RMX-16 (2), Yamaha, Pultec EQP1A (2), Neve, MicPre/EQs, API (15), EMT, Apogee, GML, Avalon, Distressors (4), Aphex, Manley, Roland, TC Electronics 2290, Fireworx, M3000, Eventide H3000, Eclipse, Instant Flanger, Urei LA2A, 1176LN, LA3A, DBX, PanScan, Ampex ATR, BASE and more. ",Skip Saylor,Studio is located in a secluded privateenvironment with living accommodations for bands/ artists on property. ,"Beyonc, Rae Sremmurd, Malik Yusef, TamarBraxton, Donny Osmond, Safaree, Master P., Travis Kr8ts, Young Thug, Flo Rida, Julian Lennon, Glasses Malone w/ Kendrick Lamar, Kevin Flournoy, Celina Graves, Eric Bellinger, Gucci Mane, YFN Lucci, Barachi feat. O.T. Genasis, Leaf McLean, Icona Pop, Pras (The Fugees), VMA awards, Art Dixie, Derek Dixie, Mindi Abair, Booker T. Jones, Vintage Trouble, Casey Veggies, John Jones, Alan Frew (Glass Tiger), Snoop Dogg, The Game, B.o.B, Michael Jackson, Faith Evans, Mary J. Blige, Pink, Goo Goo Dolls, Gary Taylor, Kevin Teasley, Malcolm-Jamal Warner, Gregg Alexander, Keira Knightley, Jonathan Butler, Mali Music, Foo Fighters, Guns N Roses, Santana, k.d. lang, Tupac, Ice Cube, Eminem, R. Kelly, Avril Lavigne, Bobby Brown, Bootstraps, Israel Houghton, Jonny Lang, Egyptian Lover, Rodney O & Joe Cooley, Too Short, E-40, W.C., Krazie Bone, Tyga, KRS-ONE, K. Michelle, Trey Smoov, Brian May, Boyz II Men, The Whispers, Death Cab For Cutie, Everclear, Jenni Rivera, Juan Rivera, Ana Barbara, Anja Nissen, Drea Dominique, Mila J, Common Kings, Parenthood, Private Practice, Iron Man 2, FIFA World Cup, Space Jam soundtrack. ",,"Facility features a large high ceilingtracking room and excellent mix room built/owned by a 30+year veteran of the recording industry. SKYBOX STUDIO, The 1818 Oak St. #68 Los Angeles,CA 90015 213-926-5241 Email :theskyboxstudio@gmail.com "
185,SONIC FUEL STUDIOS,150 Sierra St.  El Segundo CA 90245,['310-499-9274'],team@sonicfuelstudios.com,sonicfuelstudios.com,call for information,"Pro Tools, Euphonix board",Kyrina Bluerose,"Sonic Fuel Studios is a state-of-the-art,eco-friendly tracking and mixing facility specializing in film, television, and interactive media music.  ",,,
186,SONIKWIRE STUDIOS,"Irvine, CA",['949-851-9340'],alex@sonikwire.com,sonikwire.com,call for info ,"digital, 48 tracks",Alex Bush,,,,
187,SONORA RECORDERS,"Palmdale, CA",['213-841-0712'],richardbarronmusic@gmail.com,sonorarecorders.com,call for information,"mixing, mastering & production  ",Richard,,,,
188,SOTTO VOCE STUDIO,"North Hollywood, CA 91606",['818-694-3052'],,sottovocestudio.com,"Hourly starting at $75, and per-project. ","digital, unlimited tracks, albums/film/TV",,,,,
189,SOUND CITY STUDIOS,"15456 Cabrito Road  Van Nuys, CA 91406",['818-304-0573'],,soundcity.la ,,,,,,,
190,SOUND FACTORY,"6357 Selma Ave  Los Angeles, CA 90028",['323-467-6001'],info@soundfactoryhollywood.com,soundfactoryhollywood.com ,,,,,,,
191,SOUND-TECH STUDIO,"24300 Country Rd.  Moreno Valley, CA 92557",['951-243-6666'],soundtechstudio@yahoo.com,facebook.com/soundtechmusic,please call for info ,,Allan Johnson,,,,
192,STAGG STREET STUDIO,"15147 Stagg St.  Van Nuys, CA 91405-1001  cell / text",['818 371-1562'],studio@staggstreetstudio.com,staggstreetstudio.com,please call for info ,Pro Tools 2018,,,,,
193,STEPPINGOUT PERFORMING ARTS,,,,,,,,,,,
194,& RECORDING STUDIO,"14545 Valley View Ave., Ste R  Santa Fe Springs, CA 90670",['562-929-1050'],info@steppingoutstudio.com,steppingoutstudio.com,please call for info ,digital,Steve Smith,,,,
195,STEAKHOUSE STUDIO,,['818-485-2620'],kelle@linearmanagement.com,steakhousestudio.com,please call for info ,,Kelle Musgrave Glanzbergh,,,,
196,STUDIO 770,"770 S. Brea Blvd., #218   Brea, CA 92821",['714-672-1234'],info@studio770.com,studio770.com,,"Pro Tools HD, Logic ProStudio is now a tri-studio complex offering Studios A, B and C  ",Shantih Haast,,,,
197,STUDIO CITY SOUND,"4412 Whitsett Ave.  Studio City, CA 91604","['818-505-9368', '818-761-4744']",booking@studiocitysound.com,studiocitysound.com,$100-150/hr. ,digital (256 tracks) analog (24 track 2-inch),Tom Weir,,,,
198,STUDIO MALIBU,"22509 Carbon Mesa Rd.   Malibu, CA 90265 , Intl. Calls: +1-","['310-571-5389', '310-497-8011']",info@studiomalibu.com,studiomalibu.com,,Pro Tools UltimateBasic Rate : call for rates  ,,,,,
199,STUDIO WEST OF SAN DIEGO,"11021 Via Frontera, Ste. A  San Diego, CA 92127",['858-592-9497'],,studiowest.com,call for rates ,"SSL, Neve, ICON, Pro Tools HD6, SurroundSound, ISDN, Phone-Patch, ADR ",,,,,
200,SUNSET SOUND,"6650 Sunset Blvd.  Hollywood, CA 90028",['323-469-1186'],traffic@sunsetsound.com,sunsetsound.com,call for rates ,24 track analog & Pro Tools,Phil MacConnell,,,,
201,TALENTED PRODUCTIONS,"2010 S. Crescent Heights Blvd.  Los Angeles, CA 90034",['818-284-3943'],mike@parlett.com ,talentedproductions.com/ ,,,,,,,
202,THETA SOUND STUDIO,"1309 W Riverside Dr.  Burbank, CA 91506  (call for appt.)",['818-955-5888'],studio@thetasound.com,thetasound.com,call for rates ,,Randall Michael Tobin,,,,
203,TIMEART STUDIO,"Studio City, CA",['818-980-2840'],info@timeart.us,TimeArt.us,,"Digital. ProTools 2021.3, Logic 10.6.1, JohnHardy Stereo Mic Pre, Pro Mics.  ",,,,,
204,TOMCAT ON THE PROWL PRODUCTIONS,"Canoga Park, CA",['818-943-6059'],studio@tomcatontheprowl.com,tomcatontheprowl.com,Please email for info ,"Pro Tools HDX 32 Channel Avid i/o, Lots ofpristine Preamps, EQs and Compressors ranging from A-Designs Through Neve ",Thomas Hornig,"Productions, Mixing, Recording, Restoration ",,,
205,TOMSONICS RECORDING STUDIO,"Monterey Park , CA","['626-633-2736', '323-721-0511']",tommanasian@gmail.com,,,"1 inch 16 trk analog recording, Tascam16 22 x 22 Recording room, 22x15 control room, dbx cornpressors, gates orbanParasound, eq, reverb, dbx mastering processor, Yamaha spx 90 2 trkMastering tape deck. ",,Full band live recording. A comfortableplace to create good music.Experienced in all Styles of music  ,,,
206,TOTAL ACCESS RECORDING STUDIOS,"612 Meyer Ln., Ste. 18   Redondo Beach, CA 90278-5261",['310-376-0404'],,tarecording.com,Custom project rates - call for info. ,"digital and analog, unlimited tracks",Wyn Davis - Adam Arnold,,,,
207,TRACK ENTERTAINMENT STUDIOS,"13848 Ventura Blvd., Ste. 4D  Sherman Oaks, CA 91423",['818-259-7244'],trackentertainmentstudios@yahoo.com,facebook.com/trackentertainmentstudios,please call for info ,"4 Pro Tools suites, music production andrecording, post production, mixing and mastering, 7.1 surround sound, songwriting, composing, arranging, film scoring, commercials, live drums etc. ","Alexander Track, producer/engineer,Grammy Winner ",,,,
208,TRACK RECORD STUDIOS,"5102 Vineland Ave.  North Hollywood, CA 91601",['323-465-4000'],info@paramountrecording.com,paramountrecording.com/track-record-south/,call for info ,"digital and analog, 120 tracks",,,,,
209,TRACK STAR STUDIOS,"P.O. Box 561  La Mesa, CA 91944",['619-697-7827'],info@trackstarstudios.com,trackstarstudios.com,Call for rates ,,Josquin des Pres,,,,
210,TREE HAUS RECORDING,"Woodland Hills, CA",['818-497-0664'],TreeHausWH@gmail.com,"facebook.com/treehausrecording,mfheartbeats.com/treehausrecording  ",,,,,,,
211,TRINITY SOUND COMPANY,"751 S. Weir Canyon Rd., Suite 157-535  Anaheim Hills, CA 92808",['714-881-5211'],info@trinitysoundcompany.com,trinitysoundcompany.com/our-work/recording,Please call for info ,,,,,,
212,TRU-ONE RECORDS AND REHEARSALS,"Buena Park, CA",['562-773-5877'],truonerecords@aol.com,truonerecords.com,Currently Not Open To The Public ,Presonus,Robert Trujillo,,,,
213,ULTRIUM STUDIOS,"12028 Vose St,   North Hollywood, CA 91605 (909) 327-1084",,ultrium@ultriumstudios.com,ultriumstudios.com ,,,,,,,
214,UNCLE STUDIOS,"6028 Kester Ave.  Van Nuys, CA",['818-989-5614'],uncleesca27@gmail.com,unclestudios.com,$50/hr ,"digital, 24 at a time 126 playback",,,,,
215,UNION RECORDING STUDIO,"7051 Santa Monica Blvd,  Los Angeles, CA 90038",['323-615-3575'],info@unionrecstudios.com,unionrecstudios.com,$23/hr/$87/$199 ,,,,,,
216,VALENTINE RECORDING STUDIO,"5330 Laurel Canyon Blvd,  North Hollywood, CA 91607",['818-308-6609'],valentinerecording@gmail.com,valentinerecordingstudios.com ,,,,,,,
217,VENETO WEST,"PO Box 6363  Pine Mountain Club, CA 93222","['310-591-4440', '310-200-9010']","rcm@venetowest.com,Liz@lizredwing.com ",venetowest.com,call for info ,digital and analog,"Liz Redwing, Ronan Chris Murphy",,,,
218,"VILLAGE (RECORDER), THE","1616 Butler Ave.   Los Angeles, CA 90048",['310-478-8227'],info@villagestudios.com,villagestudios.com,Call or email for information.,"Digital and AnalogPro Tools HDX in all rooms. Studio A - VintageNeve 8048 Console, Studio B and D - Neve 88R Consoles, Studio F - Avid S6 Control Surface and ATMOS speaker array and Studio Z - Neve Genesys Black Console.  Compressors include 1176s, LA-2As, Neve and SSL Stereo Compressors as well as Fairchild 670. Vintage mics including ELAM 251, C-800, U47s, U67s, C12 and C24 as well as a large selection of standard mics as well. ",,"Recording, Mixing (Stereo & 5.1), ATMOS,Analog Archival/Tape Transfers, Technical Repair Services, ISDN/Source Connect Remote Sessions, Live to Air/Web Sessions, Live Showcases/ Performances. ","Fleetwood Mac, Rolling Stones, Heart,Coldplay, U2, Kesha, Snoop Dogg, Pink Floyd, Usher, Lady Gaga, Cage The Elephant, The 1975, John Mayer, Taylor Swift, Harry Styles, Elton John, Miguel, P!nk, Sara Bareilles, Shawn Mendes, Lil Wayne, Steve Lacy. Media: NPR, KCRW, KCSN, On Second Thought with Trevor Noah, Getting Curious with Jonathan Van Ness. Films: A Star is Born, Crazy Heart, Toy Story, Cars, Oh Brother Where Art Thou?, The Bodyguard, Mulan (live action), Encanto. ",,The Village has produced landmarksongs and soundtracks of every generation for the last five decades.  
219,VIRLOUISE,"1631 N Placentia Ave  Ste K Anaheim, CA",['714-322-3600'],,,,,,,,,
220,WALL OF SOUND STUDIOS,"225 Carswell Ave  Holly Hill, FL",['949-285-1774'],booking@wallofsoundstudios.com,wallofsoundstudios.com,Call for details,"State-of-the-art, fully-equipped hourly facility:rehearsal, recording, equipment rental: Tama, Shure, Mackie, Marshall, Ampeg, JBL and more. ",,,,"2092 S. Highland Ave. Las Vegas, NV  ",
221,WESTLAKE RECORDING STUDIOS,"Studios A & B  8447 Beverly Blvd. Los Angeles, CA 90048",['323-851-9800'],bookings@westlakestudios.com,westlakestudios.com,Please call or email for rates. ,,"Eric Rennaker, Sydney Jones or SteveBurdick ",,,,
222,WESTLAKE RECORDING STUDIOS,"Studios C, D, E and The Barn  Production Rooms 1 & 2 7265 Santa Monica Blvd. West Hollywood, CA 90046",['323-851-9800'],bookings@westlakestudios.com,westlakestudios.com,Please call or email for rates. ,,"Eric Rennaker, Sydney Jones or SteveBurdick ",,,,
223,"WOMB RECORDING STUDIO, THE","Lake Balboa, CA 91406",['818-414-6369'],haddaddrum@yahoo.com,davehaddad.com,please call for info ,"digital and Analog, more than 64 tracks",Dave,,,,
224,WOODSHED RECORDING,,,welcometowoodshed@gmail.com,woodshedrecording.com,contact us by email ,Hybrid ocean view resort/residentialrecording ,Richard Gibbs,,"U2, Barbra Streisand, Coldplay, Chance theRapper, Lady Gaga, Shawn Mendes ",,
225,WOODSOUND STUDIOS,"120 Front St.  Covina, CA 91723",['626-956-7455'],tom@woodsoundstudios.com,woodsoundstudios.com  ,,,,,,,
226,1116 STUDIOS LLC,"Colorado Springs, CO 80905",['323-989-1176'],MisterG@1116Studios.com,1116Studios.com,$45/hr. for tracking; $200/track for mixing;$60/track for mastering  ,"Digital, Pro Tools Hd (24 in/32out), Video sync","John Mister G, Office Manager",,,,
227,THE BLASTING ROOM,"1760 Laporte Ave. Ste. 2  Fort Collins, CO 80521 (970) 416-9292",,info@blastingroomstudios.com,blastingroomstudios.com,"Starting at $40/hr, $450/day, Mastering$150/track  ",Analog/Digital Pro Tools 2021 HDX,"Bill Stevenson, Jason Livermore, AndrewBerlin, Chris Beeble, Jonathan Luginbill ",,,,
228,CCM RECORDING STUDIOS,"4214 E. Colfax Ave.  Denver, CO 80220",['720-941-6088'],info@ccmstudios.com,ccmstudios.com,please call for info ,digital,Darren Skanson,,,,
229,COLORADO SOUND STUDIOS,"3100 W. 71st Ave  Westminster, CO 80030",['303-430-8811'],colosnd@coloradosound.com,coloradosound.com,,"Pro Tools 12 HDXAlso Remote Recording, Mastering Services, Media Labs Education, and Music Video Production  ","Jess Lambert, Studio Office Manager",,,,
