venue_name,user,user_location,date,review,star_rating
Bottom of the Hill,Halsey B.,"Seattle, WA","Mar 18, 2014","Love this place, super intimate and they get some pretty impressive acts here, also great up and coming bands or indie legends. The sound is super loud, I always wear earplugs, other than that, shows are on average $12, there isn't really a bad place to stand since it's so small, drinks are cheap. I use to come here when I was under 21, I still think they offer shows for all ages, I've never experienced a bad crowd as far as I can remember, again I think this is due to it being a smaller venue - feels almost like an awesome house party..... trekking it out to Potrero though is a trek! There aren't cabs readily available and the muni doesn't run very frequently by the time you're out but if you work your app magic this isn't a big problem.",4
Bottom of the Hill,Rachel L.,"San Francisco, CA","Mar 18, 2014","I have to be honest,I don't like it. There is literally not a chair to sit on, god forbid you want to order food and the crowd looks like a bus broke down outside and people just wandered in to get a drink until their bus was fixed. This crowd just stands there like cattle, no matter how many times I've been there it's the same. I'm done.",2
Bottom of the Hill,Gina A.,"Pittsburg, CA","Feb 18, 2014",I've seen a few bands here and have always had a great time.  Great place to meet up with friends and grab a few drinks. They serve a few appetizers. Also wear comfortable shoes. There aren't many seats and on a crowded night you'll either be dancing or standing.,4
Bottom of the Hill,Ken A.,"San Jose, CA","Feb 17, 2014",chill spot. good shows. cheap shows. 16+ for some reason but what ever. good and bad shows here. good range of different music genre/scenes. outdoor smoking area is chronic. good selections of beer. cheap local brewed beers. been multiple times. good experience all times. sketch area but love the cuttyness of it. gets hot and sweaty and shit. shut up and vibe.,5
Bottom of the Hill,Denise J.,"Seattle, WA","Feb 15, 2014",This is one of my favorite venues in SF. Each show I've gone to here has always been a blast and very affordable,5
Bottom of the Hill,Patrice D.,"Sacramento, CA","Jan 26, 2014","I have always wanted to check out Bottom of the Hill, but I had never been motivated to make the trek out to San Francisco, until recently. I have loved the band Eisley since high school, and one of the band members, Sherri DuPree Bemis, has a new project with her husband, Max Bemis, who is the lead singer of Say Anything (also a band I listened to in high school), a band called Perma. When I found out, I got tickets right away! Perfect excuse to check this venue out.I love the size of this venue. It's perfect. It's on the small/medium side, which is intimate enough. I really enjoyed my visit, and I can't wait for other bands I like to come play here.",4
Bottom of the Hill,Jon L.,"San Francisco, CA","Jan 22, 2014","Great venue, great music, cool staff and owner.I've been to Bottom Of The Hill many, many times for shows and it's always been fun.  The music selection is always eclectic and almost everyone who is anyone has played there at some time.  I saw Mastodon there before they got big. This is a top venue to check out bands on their way up or lesser-known touring acts from around the world.",5
Bottom of the Hill,Broc-ree B.,"Potrero Hill, San Francisco, CA","Jan 22, 2014","dope place, great sound great venue",5
Bottom of the Hill,Vicki L.,"Oakland, CA","Jan 12, 2014",18+ night is a great opportunity to check out new bands for people of all ages. Door and bar service could be friendlier.,3
Bottom of the Hill,Duckee D.,"San Francisco, CA","Jan 2, 2014","Garbage.I will never patronize this dump again.Went on a Friday night to see a friend's band.  Great show.As 1am neared (not 2am, as they list their hours onYelp! AND their website shows), an announcement was made that they were closing.  My two friends went to the restroom, and N and I waited for them where we had all been standing.  When they started ushering people out, I was going to find them to tell them we needed to get going, and one of the waitresses (older, scraggly blonde, hat) condescendingly said, ""oh, you need to move this way, sweetie ... "" pushing me to the exit.  I told her I was looking for two friends I had been waiting for, to which she responded, ""oh, okay, well ... I guarantee they'll get out, so you need to go this way,"" and proceeded to try to push us out the door.  RUDE. One friend came out of the restroom (I also had her wristlet which she inadvertently left on the counter - probably because she thought we'd be there waiting for her), and she wanted to wait for our last friend in the restroom (her GF).  Same scraggly haired lady emerged from the kitchen and tried to tell her, ""Yeah, you need to move THIS way, Sweetie,"" to which my friend replied, ""Well, my girlfriend's in the bathroom and I'm going to wait until she gets out!""  Scraggles, shocked, says, ""WELL, I guess you just made a statement!"" and went off somewhere else.After a cover charge and *hours* of drinks, these people act like complete idiotic jerks to their patrons.  I will NEVER come here again and will also be sure to tell everyone I know not to patronize this place.  Don't believe the hype - the people that run this place really shouldn't be rewarded for their abhorrent ""customer service"".",1
Bottom of the Hill,Anastacia S.,"Lodi, CA","Dec 31, 2013","Sweet location with ample parking availability. The show was awesome. Drinks were strong, yet affordable. I would love to go back. Only thing is there is only one bathroom for women...culturally insensitive ;)",4
Bottom of the Hill,Desiree S.,"Daly City, CA","Sep 20, 2013","I went to watch Body Language with a few friends. Loved this venue, very intimate setting. found parking right away. They serve food - always a plus in my book, and the back patio was set up nicely to kick back if it gets too crowded and stuffy inside. Drinks are average priced: I paid about $6.50 for a whiskey+coke and $5.50 for a Blue Moon. Overall, I liked the location since its not around too many bars so it doesn't get overly crowded, and they always have cool acts playing every night. 4 stars.",4
Bottom of the Hill,Kim L.,"San Leandro, CA","Jul 23, 2013","I have been to Bottom of the Hill two times and every time I had a good experience. The first time was to watch a local band Wander and the second was to watch Joyce Manor. The staff are really sociable and courteous.During the Joyce Manor show when it go too crazy, one of the guys were pulling off crowd surfers and even though people gave him crap, he nonchalantly flipped them off and continued his business. The environment is perfect for the shows they put on and I enjoy coming to this venue.",5
Bottom of the Hill,Effie G.,"San Francisco, CA","May 27, 2013","Small local intimate venue in Potrero. Easier parking than other venues although it is quite tricky to get here (definitely need to drive). Saw a few of my favorite bands here: ""Say Hi"", ""David Bazan"" + NoisePop shows. Love the outdoor patio in the back, to take occasional breaks when it's too crowded inside.",5
Bottom of the Hill,Roderick S.,"Tuxedo Park, NY","May 17, 2013",Killer venue. Nice bar and competent bartenders. Nice sections to chill and relax before and after the show. A FIREPLACE just in case you wanna heat things up on your date...corny I know :) As a musician who has played many different venues I must say they have some stellar sound here. The sound tech is also very good at what he does. Throughout the bands sets you could hear the slight adjustments being made which made for an excellent audio/visual experience. Kudos to you Bottom of the Hill! I will be back.**FREE PARKING**Date: 5-15-13Appleseed CastHospital ShipsThe Dandelion Wars,5
Bottom of the Hill,Stephen Y.,"Denver, CO","May 17, 2013","Six words for Bottom of the Hill: Eclectic, welcoming and intimate rock-n-roll venue.",4
Bottom of the Hill,Jenn Y.,"Albany, CA","May 16, 2013","So I'm not much a music fan and other patrons probably hate me because I fall asleep during the show if my partner has dragged me there on a weeknight. But this place is great because for one low entry price of $10-20, you get to chill at a pretty cool bar, listen to some good (I think?) music, and be part of a VERY enthusiastic crowd.Logistics: Parking is easy and beer is plentiful. The crowd is young and cool and way hip, so you get to feel younger by proxy. There are like 5 chairs total in the whole place, but if you are geriatrically inclined like me, you could easily grab one because all the cool young urbanite indie lovers are standing to watch the show. It's kind of a culture shock for me to see a room full of people strictly on their feet, standing still or slightly bobbing their heads to the music.",5
Bottom of the Hill,Randy P.,"Bay Point, CA","May 13, 2013",nice venue and great people... just not great prices on drinks..,3
Bottom of the Hill,isabella c.,"Castro Valley, CA","Apr 28, 2013",I have been coming here since the age of 13 and I am 20. I love this place. its so tiny and you can get so close to the stage without getting there hours early. I have great memories from this venue and enjoy any show here.,5
Bottom of the Hill,Jess C.,"Port Costa, CA","Apr 9, 2013","Fun place to see local music, hang out with friends, and meet cool people!",4
Bottom of the Hill,Candy H.,"Mooresville, NC","Mar 20, 2013",Nice venue.  Saw some NoisePop artists here this year.  Handled the crowd well.,4
Bottom of the Hill,Danny A.,"San Leandro, CA","Mar 16, 2013","What an amazing venue!!! The size and intimacy of a bar with the big names of any concert hall or theater.  I just saw Third Eye Blind there and could not have been more than 6 feet from Stephen Jenkins.  The tickets were also very cheap, though they go fast.  Nicely located in Potrero where street parking isn't a problem.  They also serve drinks in glass, which is definitely rare in a music venue.  I sort of wanted a PBR tallboy can for the occasion, but a pint works well, too.",5
Bottom of the Hill,B. N.,"Oakland, CA","Mar 12, 2013","I came to see Milagres and 1,2,3, here and it was awesome. The bands rocked, but the sound was a little off due to the setup of the building, I think. One thing that did irk me was the door girl. She had major attitude for no apparent reason and treated us as if we weren't hipster enough to be there. Overall, this place has awesome bands and I would definitely come back...maybe bringing a little attitude with me.",4
Bottom of the Hill,Matthew G.,"Saint Helena, CA","Feb 24, 2013","One of my two favorite music venues in SF (the other being Cafe du Nord); I always dig the smallish/medium-sized spaces where you are close enough to feel intimate with the band and music (and music-lovers) but still enough space not to feel like a sardine.That's what this place is like. They have some extra ""breathing room"" in the back with plenty of seating to eat, drink, or have a chat -- you can still hear the music, but can't see the stage from there.  They also have a little outside patio -- popular with the smokers, so I don't use it much, but it's nice that it's there.My favorite things about this place are the kitschy 60's B-movie/beatnik vibe (hard to describe... sort of a Lost in Space meets Kerouac meets Beetlejuice kind of decor), the offering of local and indie/underground bands (sometimes very popular in their own right, though -- Black Moth Super Rainbow and School of Seven Bells, for example), and the low prices (tix about $8-15 usually -- no crazy Ticketmaster style ""service fees"" for advanced purchase, just a couple bucks extra), with reasonable drinks but cash-only bar. I like perusing their calendar and in any given month I can always find a new up-and-coming or under-the-radar band I dig. (The most recent ones being United Ghosts and Foxtail Somersault)Oh yeah, and I drive into the city regardless of where I go, so easy-breezy parking right outside the front door is a major bonus in my book.",5
Bottom of the Hill,Erika L.,"Kings Beach, CA","Jan 23, 2013","Great place with great music!  We came for Owl Paws and stayed to enjoy the other 4 bands.  All sorts of people of all ages having a really good time. Best of all, if you want to take a little break, there's a cosy room with a fireplace on the way to a really nice patio with seating.",5
Bottom of the Hill,Tiffany D.,"San Francisco, CA","Jan 21, 2013","Everything you can ask for in a music venue!  They have a mini souvenirs' section, a bar, an area to hold small talks (and to hear yourself better) and a spacious outdoors' patio (ideally to smoke)!  Awesome surround system and great, catchy live music!  Grab some drinks, enjoy the music and you're good to go!  Head to the front, where the stage is at only if you want to dance or bob your head and body with the music!The vocalists there can surely reach a range of high notes, guitarists can strum those strings and drummers surely hit those beats!I'm surprised that they let under 21 year olds enter this place considering that they serve drinks at the bar!  I had a fun Friday night and would have not thought about this place at all if it wasn't for my friend bringing me to check out his friend's band!Again, again - to the Bottom of the Hill!",5
Bottom of the Hill,Kristina D.,"Concord, CA","Jan 16, 2013","Seen many great bands here love the location and the staff is great, good alcohal and just fun times here",5
Bottom of the Hill,Nadia H.,"Boulder, CO","Dec 19, 2012","Cute venue! I love the interior, which is decorated very stylish and cozy. I came for the Alt-J concert, and the sound was excellent. The levels were perfect, and it was apparent that the band could hear themselves, so the performance was much better than when we saw them just a few months back at a different venue. Very intimate place to enjoy live music, and the drinks weren't too pricey ($5 for an anchor steam).Very happy.",5
Bottom of the Hill,Jessica H.,"San Francisco, CA","Dec 15, 2012","This is so not my scene and totally out of the ordinary for me. For one, my music library consists of top 40 and everything that is played on the radio. Secondly, live shows and concerts. Haven't really ever been to one, ever. So when my friend asked if I wanted to go see Alt-J and tickets were only 2.10 ($1.05 + 1.05 service fee) I totally jumped at the opportunity and so glad I did.The place is small and intimate and theres definitely a line to get in. And since alt-J was pretty popular, definitely had more people than expected. But basically heres the run down.1.) Alt-J and Wildcat! Wildcat! were both good and really enjoyed it.2.) The place was not extremely huge and they definitely dont pack it in beyond capacity. Much appreciated.3.) Got a great view of the band and could hear everything.4.) Apparently theres food, but only got beer. Given the crowd of the night, kinda crazy to try and get food.Definitely 5 stars in my book and thinking about checking out some random bands. Well, maybe with the friend who brought me. But I would definitely go again!",5
Bottom of the Hill,Lobat O.,"Belmont, CA","Dec 9, 2012",Great place to see small bands.  Enjoyed our time last night cuz Bray's band is AWESOME!!  Good drinks and attentive bartenders.  Just wish they hadn't cranked up the A/C cuz we were freezing and it was so much more comfortable before they turned it on.  Will be sure to say something if it happens again...,4
Bottom of the Hill,Jackie H.,"Denver, CO","Nov 30, 2012","4 stars for the venue, -1 star for the bartenders.Bottom of the Hill is a pretty cool place to check out small bands; I came to see Joe Brooks, Joseph Vincent, and Mike Mains and the Branches.  Great music and it sounded great at the venue.  I like the feel of the bar and how it's decorated, but I'm not too fond of the bartender I had.  Perhaps she was having a tough day or something, but she wasn't very friendly and kinda just shoved the drink at me.  I still made sure to tip her, but her attitude didn't really change the next time I came back to get more drinks.  Weird.One thing I love about this place is they have food.  It makes things super convenient--you don't have to go elsewhere to find yourself a drinking snack.  Make sure you have cash though!  This place doesn't accept credit cards, and the ATM has a surcharge of $2.35 or something to withdrawal money.Lastly, I'm not sure if it's the neighborhood or the people I met were just unlucky, but a poor family came out after the show to find that their SUV had been broken into.  On a general note, make sure to not leave any bags visible in your car or someone might want to steal it, thinking that there's something valuable in it.",3
Bottom of the Hill,Amy C.,"San Francisco, CA","Nov 14, 2012","Great place for small indie band shows! Crowd size is manageable to maneuver around and still easy to talk to friends during the show. Seating is limited to just the bar area. Beer prices aren't bad. 6 bucks is the most expensive beer they have, which is reasonable. I do however, wish there was snacks of some sort. Other then that, a great place for a small show!",5
Bottom of the Hill,Daniel S.,"San Francisco, CA","Nov 1, 2012","Went there on Halloween last night and it was so much fun, ""Trainreck Riders"" were there and they ROCKED!!! They did some stuff from their new album and as a bonus to end the night they did their rendition of ""The Monster Mash.""The bar was really good too, the drinks are good and the snacks they have are actually food that is edible which is very rare in a bar, the ""Bottom of the Hill Nachos"" I highly recommend, it is made with fresh cheese and is spiced so you can taste the black beans and the other ingredients that are sprinkled over it and it is EDIBLE!!!! The only drawback is that it is kinda out there away from everything but if you want a really nice night at a bar that actually does rock hard and has a nice eclectic space go check it out!",5
Bottom of the Hill,Jennifer L.,"San Diego, CA","Oct 19, 2012",Loved this place!We went on 4th and sawMurder by DeathLia RoseHa Ha TonkaWhat an awesome show! By the time MBD came on the place was packed.  Everyone sang along with the band and there was a crazy vibration that carried through the crowd.  This is definitely an awesome venue to see a good band!  There is an outdoor patio to chill on.  They have food which I did not try but heard was pretty good for bar food.  And the drinks seemed pretty cheap!,4
Bottom of the Hill,Russell C.,"San Francisco, CA","Aug 29, 2012","Saw Desaparecidos play there last night ; the sound was NM, the bar service was VG and the venue is VG ++ !",5
Bottom of the Hill,Jon T.,"San Francisco, CA","Aug 14, 2012","Bottom of the hill is definitely one of the best venues in SF. It's a great size with lots of up and coming bands coming through. Drinks are pretty cheap and there's even some food you can get. Only downside is it can be a bit of a trek, depending on where you're coming from. I must  remind myself to take a Zipcar here, because the 22 will always be at the next block when the show gets out.",4
Bottom of the Hill,Alex G.,"Belmont, CA","Aug 14, 2012","My experience at Bottom of the Hill has single-handedly launched my search for an apartment in Potrero Hill. I want this to be my ""around the corner, no-big-deal, Friday night"" bar. I love the grungy, industrial vibe outside, the EASY parking, and the casualness of the whole area. Inside, they have good beer for cheap-ish prices, an easy-going bar tender, GREAT acoustics, and pretty cool under-the-radar bands. We saw Cold Eskimo (who KILLED IT - http://www.youtube.com/watch?v=6kqFB_ssjBk). It was packed, but enough room to still step back, get yourself another beer, chat with the bands . . . Overall, I would say the whole place has a very friendly vibe, and I would really recommend you check out a show there.",5
Bottom of the Hill,k h.,"San Francisco, CA","Jul 27, 2012","I love this venue because even if it gets super packed and you stand in the back, the view is still really good. Great sound. Small but clean bathrooms.  Kind of a sketchy area.",5
Bottom of the Hill,Ryan B.,"Oakland, CA","Jul 11, 2012","Great venue, but kind of in the middle of nowhere's land. Nice, intimate viewing floor with and lounge and patio in the back. Plus they have good beer for relatively competitive prices for SF.Would like to come back to see another.",4
Bottom of the Hill,Alex S.,"Brooklyn, NY","Jun 25, 2012","Though located next to nothing, this retro styled venue is a find, and a great one at that.The exterior looks like someone's house and the inside looks like the members of the B-52's exploded all over the walls. I'm not a fan of the cash bar (despite the readily available ATM adjacent to the bar) but the sound there was GREAT. A well organized space with a really cool back patio as well.The food wasn't half bad either. I ate the thai noodle curry stir fry whatever with chicken and it wasn't bad. It seemed like that dish anywhere else would exclude the noodles in the curry but whatever - it tasted fine.Clearly this isn't a place you'd just wander in (unless you were either in the area or on an expansive, walkabout-esque bender) so you're going to go here because the band you want to see is playing here - BUT if there's ever a moment where you're not sure it's worth the trek, definitely check this place out. Of the many cool venues in San Fran, this is one of the best.",4
Bottom of the Hill,Stephanie F.,"San Rafael, CA","Jun 18, 2012","So happy to have found this place.  Good setup with a bar and stage up front and in the back, a fire and outdoor area with a window to the stage.  Also love that shows seem to be reasonably priced all the time at Bottom of the Hill.",5
Bottom of the Hill,Lisa N.,"Pacifica, CA","Jun 10, 2012","""The Bottom of the Hill is ""the place"" to book a gig if you are a rising star.   You walk in and immediately feel that the place is ""not corporate"" -keeping it real.  It has a funky, fun, underground feel to it.  Wacky art and other interesting items adorn the walls...""  Read more about this venue and two other recommended cool live music venues in San Francisco at Quest for Zest at http://questforzest.org/three-cool-worthy-live-music-venues-to-experience-in-san-francisco-cafe-du-nord-the-elbo-room-bottom-of-the-hill/.  Happy Music Venue Exploring!!",5
Bottom of the Hill,Margaret I.,"San Francisco, CA","Jun 3, 2012","I experienced Bottom of the Hill for the first time just recently where I got to see (shameless plug) Anaura http://www.anaura.com/It was a pretty awesome venue.  It's small but not too small.  (For reference I feel like the Make Out Room is too small for a concert.)  Acoustics were good, drinks were reasonable and the bar tender was super nice.  While it's not really in my neighborhood I didn't mind going out of my way.",4
Bottom of the Hill,Melinda F.,"Winnetka, Los Angeles, CA","May 30, 2012","Cool little dive bar that I found while visiting the city. I actaully went to see a badn called ""Coast Jumpers"". I liked the place, the neighborhood was a little sketchy considering a building alram was going off as I was waiting for the bus for this place :/ but drinks are a great price and I would come back when ever I come back to the city again.",4
Bottom of the Hill,Sophie C.,"Oakland, CA","May 25, 2012","I'll be honest, only been here once. It was to see God Is An Astronaut. Enough said.It was completely packed, I had to stay near the back because I was zoning pretty hard. Otherwise, nice enough guys who work here. Full bar, clean enough restrooms. Area in the back where you can eat and chillout. In a random spot in the city, but that's the charm. Decent sound system. I'm excited to see more shows here. Good for all sorts of shows, but preferably those of the rock and metal influence. Nice to see they throw a lot of shows for local music.",4
Bottom of the Hill,Karsyn M.,"San Francisco Bay Area, CA","May 22, 2012","LOVE LOVE LOVE Bottom of the Hill!  It's my favorite little place to see bands in SF!  I've been here dozens of times, seen some great bands!  It's such an intimate venue and the decor is really cool.  Drinks are reasonably priced, tickets to get in are always a steal!  They even have some really great well known bands play like Reggie And The Full Effect and Alkaline Trio!  I haven't ever eaten here but everything else is amazing!",5
Bottom of the Hill,Frances R.,"San Jose, CA","Apr 30, 2012","This is absolutely one of the BEST venues in the city, hands down. Definitely love how I can enjoy a drink or two while watching a few great bands playing five feet away from me. Go there, now!",5
Bottom of the Hill,Michael L.,"Taipei, Taiwan","Apr 30, 2012","Bottom of the Hill? More like ""Bottom of the Barrel when it comes to San Francisco Concert Venues"". The place is small (smaller than Slim's/bigger indoor area than Thee Parkside but a way shittier set-up), looks like a crack shack, shitty bathrooms, and the drinks are meh. Yes, I sound like a negative Nancy. Deal with it, noob. I just think this place is overrated.",3
Bottom of the Hill,Steven R.,"Chicago, IL","Apr 26, 2012","Man I love Bottom of the Hill.This is likely the most excellent eardrum busting music venue in the city.  The spaces are small but seeing the band a few feet from you is priceless.  In some ways this place makes me laugh because it seems like that dump from an 80's movie where some band plays only to have the scene end in mayhem with it getting trashed.  The bathrooms are pretty nasty but easy to get to.  There's a neat smoking patio if that is your thing and a back ""chill"" area though mostly this is where bands hock merch.  The bar offers nothing fancy in terms of beer but thankfully keeps it decent at $4-5 a pint.Probably the only bad part is that this is a relative ""dead zone"" when it comes to cabs and unless you bail early, you'll be fighting your fellow music watchers for a precious ride home.  It's ok, just tell your self the Mission really isn't that far, start walking and reward yourself with a stiff drink when you get there.",4
Bottom of the Hill,sam S.,"San Francisco, CA","Apr 19, 2012","there's many reasons why Bottom of the Hill is consistently voted best venue in the city. love the patio and kitchen. Just great spot to catch a show, I try to make it out here as often as I can.",5
Bottom of the Hill,Gabrielle L.,"San Francisco, CA","Apr 15, 2012","BotH is a really unique venue.  It's in the middle of a dark quiet area of Portrero Hill, and until you see the bright neon sign you might think you turned down the wrong block.  There is usually easy parking in this neighborhood, which is an added bonus.  The place itself is usually pretty cold and dark, but they have a nice back lounge area with a fireplace and a bench.  There's also a back patio which is great because it has a high window from the back of the stage.  You can hear the muffled sound and usually see the drummer a little bit.  The bathrooms could use some work, but it's not surprising compared to the place.  They also serve food here which is great because there's nothing around.  I've never ordered from there, but the menu sounds pretty good for bar food.  They showcase a lot of local talent (and some un-talent), which always makes for a good time.  At the last concert I went to, the sound guys seemed to be having a hard time getting the band's monitors right, and the mic even shocked one of the singers.  It came across that we probably weren't getting the ideal sound setup, and I wondered if that's par for the hill.I will always enjoy coming to this place every so often for a fun night out!",4
Bottom of the Hill,Karen D.,"San Francisco, CA","Apr 9, 2012","Came here on Friday night with co-workers to watch another co-worker's band play as part of a lineup. Hated having to get off the 22 and walk two blocks in the dark in an otherwise deserted part of Potrero Hill (And calling up the bro for a ride back home), but had a pretty wild and fun time all-around!If there's one good thing about this venue being surrounded by not much else, it's the fact that the incredible loudness it produces can't bother neighboring residents and businesses. The acoustics are amazing! The interior of the place is gorgeous and roomy, including a very swanky-looking stage. Our little group jumped around, headbanged, and made that dance floor our bitch. There's a good amount of bar stool seating and some booths and couches in the back to eat, drink, and converse and if you just want to listen to the music away from the main area - also a fireplace to warm up on those cool nights! The smoking area right next door to the booths provides even more liveliness, as if there wouldn't be enough magic going on inside.The staff is very friendly, and the bartenders make their drinks pretty strong. Or maybe that's just my lightweight talking! But they were definitely helpful in loosening me up for the evening. ;)Great crowd, great venue, great music! Gotta find an excuse to come back here for another rockin' time!",5
Bottom of the Hill,Jonathan F.,"San Jose, CA","Apr 8, 2012",This is the best place to play and watch music in San Francisco.,5
Bottom of the Hill,Dave B.,"Omaha, NE","Apr 7, 2012","Saw Bob Mould there recently.  Apparently, this is the only club in the SF area that I managed to forget.  I don't know how, either, as it's a cool joint!Opening with a bar to the right and a stage or DJ to the left (Mould was DJing at the time, which was equally cool), you have an open floor facing a stage on the left, and a hallway on the right leading back to an outdoor smoking area.  Nothing huge.  Great acoustics though.  If you're able to stand for a show, this is a good place to stand!",4
Bottom of the Hill,Gee M.,"Santa Rosa, CA","Mar 10, 2012","Visited this place to see Frank Turner. Good scene of music coming through here. The outside patio that sits outside is chill to get a breath of fresh air, er cigarette smoke. Place was fun, and the bar down the street is equally as good.",5
Bottom of the Hill,Blake B.,"San Francisco, CA","Mar 4, 2012","It's been years since I've been back to Bottom of the Hill but I used to come here all the time and I love this place.  It's such a small intimate venue but gets some great acts to perform here.  It's gritty than most other places in SF but in a good way.The beers are cheaper here, the sound a little more raw all while giving you a feeling like you're at home.",4
Bottom of the Hill,Dan P.,"San Francisco, CA","Feb 28, 2012","So far, one of my favorite music venues in the city.  Dark, intimate.  Nice patio area out back to chill out and smoke and stuff.  I like how it's a bit off the beaten path (easier parking).  Decently priced drinks here.  I haven't tried the food but the options look solid.  I don't like how they let 18 year olds in this place but that's not enough for me to dock it stars.  It's mostly indie bands that roll through and that's fine by me!",5
Bottom of the Hill,Amy W.,"Monterey, CA","Feb 17, 2012",I love Bottom Of The Hill! I have only attended a couple shows here but the atmosphere is one of a kind! The venue is located about a block away from a Whole Foods Market so you can get grub before the show or eat at the restaurant inside of the venue. It holds about 100 or so people and is a very intimate space.,5
Bottom of the Hill,Jennifer T.,"Oakland, CA","Feb 16, 2012","Came for the superbowl and was unprepared for the fact that I'd have to bring my own seat.  We didn't stay long, though the chili cookoff was interesting.  Drinks were a tad steep, but it was superbowl, a +, they did have jello shots, sooooo.I'll update my review if I every go to a show here.",2
Bottom of the Hill,Betim D.,"Palo Alto, CA","Feb 4, 2012","There are many things  I like about this place. If you like indie rock music, experimental or sometimes even electronic, or any non-mainstream music in general, this is the place for you. The ambience is chill, and the lighting is nice. There's a  cool patio outside if you want to  relax or have a conversation. You have to remember that the ambience is kind of random -- the bands who play really attract a specific kind of audience, but you will be surprised in a good way.Typically there's a cover of $8 - 15, but it also depends on the artists who are performing.  It doesn't get too busy, but again this all depends on the show.  Parking is usually not an issue.I highly recommend this place if you want to get a real taste of urban music scene, but of course it's very diverse as well.",5
Bottom of the Hill,Bridget B.,"San Francisco, CA","Dec 20, 2011","Really cool, intimate venue with awesome shows. It is definitely worth the trip out to portero for those not nearby.",4
Bottom of the Hill,P D.,"St Helena, CA","Dec 8, 2011","One word: hipsters. San Francisco if full of them so this should be expected but this place doesn't really have anything else to make up for it. Kind of small, not really in a good location. Boring.",2
Bottom of the Hill,Janice F.,"San Francisco, CA","Nov 2, 2011","Always loved this establishment.  This place was meant for the punk rock scene, but it'll rock to indie alternative too every now and then.  Enter this dark room, pay to the left, then grab a drink to the right.  Drinks are affordable, and main floor is pretty big.  This place, I always need to wear ear plugs.  Make sure to pay the bartender a buck to get some.  Lounging is in the back and the very back is the smoking area.  They have this stairway outside that goes up to the rooftop for additional partying, however, its exclusive so I have yet to venture up there.  Make sure to say hi to the local Bottom of the Hill kitty in the smoking area, and pray that he/she doesn't get lung cancer.  Street parking is readily available, and its away from the downtown madness, so its low key and ideal.  All in all, a great venue to check out up and coming artist, local bands and just to have a rocking time.  No doubt!",5
Bottom of the Hill,Loli L.,"San Francisco, CA","Sep 26, 2011","Cozy little spot that makes for great band-enjoying. Though I didn't see the point in getting a hand stamp in addition to the paper bracelet, the logic torment it caused was eased by the strongness of the drinks. Holy cow, did I get my money's worth! I had to stop enjoying my drinks after the second round and was grateful that they replenished the complimentary water as often as they did. The bathroom left much to be desired but it's not like I really go out of my way to watch bands in places with pristine bathrooms. The stall doors closed (sort of), there was plenty of TP, and the toilets flushed- so it was adequate. Overall, there is not really a bad view in the house so even if you're not into strong drinks or bathrooms, it makes for a nice spot to enjoy live music.",4
Bottom of the Hill,Anna L.,"Oakland, CA","Aug 29, 2011","Bottom of the Hill is probably my favorite venue EVER. It feels like home. Tons of the bands I'm friends with have played, as well as bands I don't personally know, and it's always a great show. things I love in particular:- the back patio. I had a photoshoot there. It's adorable and has a ton of different backgrounds. - the giant speakers on the floor in front of the stage. I like to sit on them :)- I don't need to deal with getting a photo pass.- the funky decor, especially all the random lamps. sure the bathrooms are tiny, but they're cute!overall, lots of good times here, so I guess I'm biased in favor of Bottom of the Hill.",5
Bottom of the Hill,Darrin D.,"CA, CA","Aug 29, 2011","Went to The Bottom of The Hill last night just for a night cap and stayed till closing time!!! The people that work there are SUPER FRIENDLY, the atmosphere there is very comfortable. The Live band Rocked The House! Just a all around Great place to be.Oh yea the men's room was small, but it was clean!No doubt i will be coming back again and again.",5
Bottom of the Hill,Holden P.,"San Francisco, CA","Aug 27, 2011","The only thing that stinks about this venue is that you're nearly dependent on friends with cars or a a cab to get there. The 19 goes by, but only about once a decade.That said...WOW I LOVE Bottom of the Hill.They showcase bands like a master curator shows the Met. It's a tiny space, but so many wonderful local and non-local, big and not-so-big bands have played there, some bands are terrible and some are mind-blowing wowness. I like places with history.It's cozy and yes, the patio smoking section is so much nicer than the street. You can have conversations! You can make friends! Then, when you go back in, you can shut up and enjoy the music! Awesome, right?Also, the green room is like a club house so I'm happy when the Hub's band plays here.I have not enjoyed the food, but the bartenders are sweethearts, all.",4
Bottom of the Hill,Brian S.,"North Wales, PA","Aug 10, 2011","A great independent music venue.Good sound and ample space to move around (unless you're in the men's room).If you go, spend some time looking at the walls and see what great acts have played there over the years.",5
Bottom of the Hill,Stephanie H.,"San Francisco, CA","Aug 3, 2011","As a San Francisco native, I'm little embarrassed I had never heard of this venue until my friend just took me to a show here. What an awesome place! It was surprisingly quick and easy to get to by bus, though it's all the way across town from me (so chances are I'll definitely be coming back soon!). The place is small, though bigger than other venues I've been to in the city. It has a nice little back area with booths too where you can't hear the band as well, but it's quieter and you can sit if you want to (but who goes to shows to sit?). The beer was decently priced, friendly bartenders/bouncers. All in all, a great night out with friends. I'll be back, for sure.",5
Bottom of the Hill,Karena Q.,"San Francisco, CA","Jul 30, 2011","Came here on Thursday to check out a friend's band and LOVED the back patio. Quiet, a fair amount of seating and super laid back vibe. We hung out there for awhile and when we finally went back inside, the place was packed (not shoulder to shoulder packed, but more so than when we arrived)! We still had plenty of room to hang out by the bar (which is cash only) and enjoy the show.",4
