,Name,Address/Phone,Email,Web,Contact,Clients,Credits,Services,Format,Basic Rates,Specialization,Additional location,Masterclass,Note
141,CEDAR HOUSE SOUND & MASTERING," P.O. Box 333  North Sutton, NH 03260  603-927-6363  ",cedarhousesound@gmail.com ,cedarhousesound.com,,,,,,,,,,
142,"JACOBS WELL MASTERING, LLC"," 79 East Wilder Rd.  West Lebanon, NH 03784  619-754-5050  ",contact@jacobswellmastering.com ,jacobswellmastering.com,,,,,,,,,,
143,ED LITTMAN MASTERING," 35 Harring Ct.  North Haledon, NJ 07508  201-824-7860  ",littmuze@edlittmanmastering.com ,edlittmanmastering.com ,Ed Littman ,,,,,available on website,,,,
144,"HERB POWERS, JR."," PM Mastering, Inc.  Old Bridge, NJ 08857  917-886-7444  ",pmmastering@mac.com ,pmmastering.com ,Angie Powers ,,,,,,,,redbullmusicacademy.com/ lectures/herb-powers ,
145,KNACK MASTERING," Ringwood, NJ  973-556-5749  ",kimrosen@knackmastering.com ,knackmastering.com ,Kim Rosen ,,,"specializes in analog audio master- ing for digital & vinyl formats, audio restoration  and vinyl and tape transfers ",,,,,,
146,STORY BOOK SOUND," Maplewood, NJ  ",info@storybooksound.com ,storybooksound.com ,"Scott Anthony, Rebecca Turner",,,,,,,,,
147,HIGH FIDELITY MASTERING," 8100 Wyoming Blvd. N.E., Ste. 315  Albuquerque, NM 87123  505-459-6242  ",andy@highfidelitymastering.com ,highfidelitymastering.com ,Andy Rogulich ,,,,,please call for info,,,,
148,BANG ZOOM MASTERING," P.O. Box 145  Orangeburg, NY 10962  845-445-4460  ",steve@bangzoomonline.com ,masteringzone.net ,Steve Vavagiakis ,,,Analog and Digital Audio Mastering,,,,,,
149,BATTERY STUDIOS," (Sony Music Entertainment)  321 W 44th St., Suite 1001  New York, NY 10036  212 833-7373  ",donna.kloepfer@batterystudios.com ,batterystudios.com,,,,,,,,,,
150,ELECTRIC KINGDOM STUDIOS," Hartsdale, NY 10530  800-933-1305  ",info@electrickingdom.com ,electrickingdom.com,,,,,,,,,,
151,ENGINE ROOM AUDIO," 42 Broadway, 22nd Fl.  New York, NY 10004  212-625-3467  ",info@engineroomaudio.com ,engineroomaudio.com ,,,,,,please call for info,,,,
152,JOE LAMBERT MASTERING," 3 Marsala Ct  Cortland Manor, NY. 10567  914-737-2795  ",dianazinni@JLMSound.com ,joelambertmastering.com,,,,,,,,,,
153,KEVORKIAN MASTERING, Greenpoint NY  917-406-9147  ,,kevorkianmastering.com ,"Fred Kevorkian, fkfk@aol.com; Larry Lachmann, larry@kevorkianmastering.com ",,,,,,,,,
154,"LODGE, THE"," 740 Broadway, Ste. 605  New York, NY 10003  212-353-3895  ",info@thelodge.com ,"thelodge.com, facebook.com/lodge- mastering  ",,,,,,please call for info,,,,
155,MASTERDISK STUDIOS," 8 John Walsh Blvd., Ste 411  Peekskill, NY  10566  212-541-5022  ",scott@masterdisk.com ,masterdisk.com ,Scott Hull ,,,,,"premium services, Indie mastering ",,,,
156,MUSIC HOUSE MASTERING," 543  Middle Country Rd.  Coram, NY 11727  631-804-0201  ",info@musichousemastering.com ,musichousemastering.com ,"Michael Dominici, owner ",,,,,cal for rates,,,,
157,RIGHT TOUCH MASTERING," New York, NY  800-933-1305 ext 1  ",info@righttouchmastering.com ,righttouchmastering.com ,,,,,,Call for Info,,,,
158,SKYELAB MUSIC PRODUCTIONS," 37 W 37th St., 12th Floor  New York, NY 10018  212-789-8942  ",info@skyelab.com ,skyelabmusic.com ,,,,,,please call for info,,,,
159,STERLING SOUND," 33 Hilliard Avenue  Edgewater, NJ 07020  212-604-9433  ",mark.glaser@sterling-sound.com ,sterling-sound.com ,,,,,,please see web ,," 805 Meridian Street  Nashville, TN. 37207 ",,
160,THE MASTERING PALACE," 307 W. 121st St.  New York, NY 10027  212-665-2200  ",mleedy@themasteringpalace.com ,themasteringpalace.com,,,,,,,,,,
161,THRESHOLD MUSIC, 212-244-1871  ,thresholdstudiosnyc@gmail.com ,thresholdmusic.com ,,,,,,please call for info,,,,
162,TIMELESS MASTERING," 361 Stagg St., Suite 401  Brooklyn, NY 11206  ",info@timelessmastering.com ,timelessmastering.com,,,,,,,,,,
163,TRUTONE MASTERING LABS INC.," 228 E. Route 59, #306  Nanuet, NY 10954  845-680-6490  ",sales@trutonemastering.com ,trutonemastering.com ,,,,,,please call for info,,,,
164,XTREAM AUDIO," Amherst, NY  888-878-3292  ",anthony@xtreamaudio.com ,xtreamaudio.com ,Anthony Casuccio ,,,,,call for customized quote,,,,
165,BLUEFIELD MASTERING," Raleigh, NC 27606  919-859-0102  ",info@bluefieldmastering.com ,bluefieldmastering.com ,Jef Carroll ,,,,,please call or Email,,,,
166,KITCHEN MASTERING," 109 Brewer Ln., Ste. A  Carrboro, NC 27510  919-929-4494  ",info@kitchenmastering.com ,kitchenmastering.com ,Brent ,,,,,hourly and track rates available,,,,
167,STUDIO B MASTERING," 821 Louise Ave.  Charlotte, NC 28204  704-372-9661  ",acoustikmusik@gmail.com ,acoustikmusik.com ,Jimmy Pearson ,,,,,please call for info,,,,
168,CAULIFLOWER AUDIO," 1305 W 80th St., Suite104B  Cleveland, OH. 44102  440-539-5457  ",info@caulifloweraudio.com ,caulifloweraudio.com,,,,,,,,,,
169,THE DREAMCATCHERS RECORDING STUDIO," 7384 E Main St. Suite B  Reynoldsburg, OH  614-434-6012  ",info@thedreamcatchers.studio ,thedreamcatchers.studio,,,,,,,,,,
170,STARSOUND STUDIOS," 10200 Royalton Rd. Ste 3  North Royalton, OH. 44133  216-374-8458  ",starsoundstudioscleveland@gmail.com ,starsoundstudios.com,,,,,,,,,,
171,KL MASTERING," 25 S. Oklahoma Ave  Oklahoma City, OK 73104  405-410-2706  ",KevinLivelyMastering@gmail.com ,kevinlivelymastering.com,,,,,,,,,,
172,STUDIO 42," 42 E. 15th St.  Site 42  Edmond, OK 73013  405-205-9133  ",,studio42okc.com,,,,,,,,,,
173,VEUX STUDIOS," 6729 Well Oak Cir  Oklahoma City, OK 73127  323-486-3193  ",booking@veuxstudios.com ,veuxstudios.com,,,,,,,,,,
174,CRAZY DAISY PRODUCTIONS," 8540 S.W. Monticello St.  Beaverton, OR 97008  541-517-1458  ",info@crazymastering.com ,crazymastering.com,,,,,,,,,,
175,FOSTER MASTERING," 4711 S.E. 26th Ave.  Portland, OR 97202  503-222-9444  ",ryan@fostermastering.com ,fostermastering.com ,,,,,,please call for info,,,,
176,FUTURE DISC LLC," 15851 N.W. Willis Rd.  McMinnville, OR 97128  213-361-0603  ",steve@futurediscsystems.com ,futurediscsystems.com ,Steve Hall or Laura Hall ,,,,,please call for rates or more info,,,,
177,LIQUID MASTERING," 1393 W 40th Ave,  Eugene, OR 97405  541.286.5434  Email : liquid@liquidmastering.com  ",,liquidmastering.com ,Thaddeus Moore ,,,,,"$10/min of processed audio, Stem Mastering, and Mixing available. Contact for  budget details. Any Style or Genre, Film Audio,  Podcasts, Forensic Recovery. 24 years experi-  ence in audio. ",,,,
178,SPECIALIZED MASTERING," 15438 S.W. 81st. Ave.  Portland, OR 97224  503-866-8383  ",dana@specializedmastering.com ,specializedmastering.com ,,,,,,please call for info,,,,
179,"IMMERSIVE MUSIC MEDIA GROUP, LLC"," 1630 Manheim Pike, Suite 3A  Lancaster, PA 17601  717-621-2441  ",info@immersivemmg.com ,immersivemmg.com ,,,,,"Digital, Dolby Atmos ",please call for info,,,,
180,"MASTERING HOUSE INC., THE"," Elverson, PA  484-802-2624  ",,masteringhouse.com,,,,,,please call for info ,,,,
181,SI STUDIOS," 945 S. Main St.  Old Forge, PA 18518  570-457-0147  ",,sistudios.com ,,,,,,please call for info,,,,
182,TREELADY STUDIOS," 1256 Franklin Ave.  Pittsburgh, PA 15210  412-816-0300  ",info@treelady.com ,treelady.com ,,,,,,please see web,,,,
183,STATIC PRODUCTIONS," North Kingstown, RI 02852  401-267-8236  ",record@staticproductions.com ,staticproductions.com ,,,,,,please call or see web,,,,
184,SIT N SPIN STUDIOS," 10 Michael Dr.  Greenville, SC 29611  864-586-0557  ",sitnspinstudios@gmail.com ,sitnspinstudios.com ,Matt Morgan,,,,,,,,,
185,STRAWBERRY SKYS RECORDING STUDIOS," 1706 Platt Springs Rd.  West Columbia, SC 29169  803-794-9300  ",info@strawberryskys.com ,strawberryskys.com ,,,,,,call for rates,,,,
186,VLADO MELLER MASTERING," c/o Truphonic Studios  816B  Saint Andrews Blvd.  Charleston, SC 29407  917-902-9909  ","peterwest@VladoMastering.com, Vlado@VladoMastering.com,  PaulWest@Vladomastering.com  ",vladomastering.com ,"Peter Cho, Paul West, Vlado Meller",,,,,,,,,
187,BLACK MATTER MASTERING," 601 Lemont Dr.  Nashville, TN 37216  615-424-6509  ",dan@blackmattermastering.com ,blackmattermastering.com ,Dan Emery ,,,"Mastering, lacquers, vinyl etching ",,Check Website for Rates,,,,
188,DAVE TOUGH PRODUCTIONS," Nashville, TN  615-554-6693  ",dave@davetough.com ,davetough.com ,Dave ,,,,,$75/hr - specializing in internet mastering ,,,,
189,DIAMONDISC AUDIO," 8161 Highway 100, Suite 262  Nashville, TN 37221  615-662-6870  ",info@diamondiscaudio.com ,diamondiscaudio.com ,Doug Diamond ,,,,,Mastering Package D - $30/song,,,,
190,EUPHONIC MASTERS," Arlington, TN  901-266-6075  ",info@euphonicmasters.com ,euphonicmasters.com ,,,,,,please call for info,,,,
191,FOXWOOD MASTERING," 108 Foxwood Ln.  Franklin, TN 37069  615-297-3929  ",info@foxwoodmastering.com ,foxwoodmastering.com ,,,,,,please call for info,,,,
192,"GEORGETOWN MASTERS AUDIO, LLC"," 33 Music Sq. W., Ste. 108b  Nashville, TN 37203 USA  615-254-3233 Fax 615-254-3237  ",info@georgetownmasters.com ,georgetownmasters.com ,,,,,,please call or see web,,,,
193,INDEPENDENT MASTERING," 1312 16th Ave. S.  Nashville,TN 37212  615-425-0739  ",eric@independentmastering.com ,independentmastering.com,,,,,,,,,,
194,MASTERFONICS," 28 Music Sq. West, E  Nashville, TN 37203  615-720-2761  ",tommy@masterfonics.com ,masterfonics.com ,Tommy Dorsey ,,,,,please call for info,,,,
195,MAYFIELD MASTERING," 2825 Erica Pl.  Nashville, TN 37204  615-383-3708  ",,mayfieldmastering.com ,,,,,,please call for info,,,,
196,THE PLACE... FOR MASTERING," 5543 Edmondson Pike #100  Nashville, TN 37211  615-614-6362  ",,theplaceformastering.com ,,"Eric Clapton, John Mayer, Edwin Mc- Cain, Jef Buckley, James Brown. Indie artists  worldwide are welcome. ",,,,Email your project info to Alex for a free quote.  ,,,,
197,STERLING SOUND," 805 Meridian Street  Nashville, TN 37207  212-604-9433  ",mark.glaser@sterling-sound.com ,sterling-sound.com ,,,,,,please see web,,,,
198,TOMMYS TRACKS MASTERING," Nashville, TN 37221  615-522-4344  ",mastering@tommystracks.com ,tommystracks.com/mastering ,"Tommy Wiggins Basic Rate : Indie-friendly - Singles from $125/  EPs from $400/Full Lengths from $750.  Gear : Big Ears, 30 years mastering experience,  B&W 801 Matrix III monitors, Bryston 4B ampli-  fier, Dangerous mastering console, Dangerous  Monitor, Dangerous MQ metering, Dangerous  Convert-2 D/A, Prism AD-124, Prism/Maselec  MEA-2 eq, Dangerous BAX eq, (2) API 560  eq, (2) Daking FET ii compressors, Waves L2  Hardware limiter, Manley tube mixer, iZotope  restoration bundle.  ","Robben Ford, The Rembrandts, Lilly Hiatt, Robin Hitchcock, The Raconteurs  Brendan Benson and his Readymade Label, DJ  Phatty Banks, Buick 6 ft. Lucinda Williams, Eric  Burdon & the Greenhornes, Hilary Williams. ",,,,,,,,
199,WOLF MASTERING," 1024 16th Ave. S.  Nashville, TN 37212  615-351-1688  ",wolfmastering@gmail.com ,,Erik Wolf ,,,,,$85/hr. plus masters,,,,
200,YES MASTER STUDIOS," 478 Craig-head St., #105  Nashville, TN 37204  615-383-1964  ",yesmaster@comcast.net ,yesmasterstudios.com,,,,,,,,,,
201,AMBIENT DIGITAL," Houston, TX  888-808-DISC  ",mastering@ambientdigital.com ,ambientdigital.com ,Bob Boyd ,,,,,please call for an estimate,,,,
202,DES MASTERING," 1409 S. Lamar St., Ste. 100  Dallas, TX 75215  214-428-8777  ",george@desmastering.com ,desmastering.com ,,,,,,see website,,,,
203,FORT WORTH SOUND," 306 S. Main St.  Ft. Worth, TX 76104  817-922-5444  ",,fortworthsound.com ,Bart Rose ,,,,,please call for info,,,,
204,JO MUSIK," Sunnyvale, TX 75182  972-226-1265  ",info@jomusik.com ,jomusik.com ,,,,,,please call for info,,,,
205,MASTERPIECE MASTERING," P.O. Box 2909  South Padre Island, TX 78597-2909  956-233-5326, (Austin) 512-289-3428  ","Billy Stull, billy@legendaryaudio.com ","masterpiecemastering.com, legendary- audio.com  ",,,,,,call for rates,,,,
206,NEXUS RECORDING STUDIOS," San Antonio, TX  210-639-5266  ",jason@nexusrecordingstudios.com ,nexusrecordingstudios.com ,Jason Hatch ,,,,,please call for info,,,,
207,OTR MASTERING, 650-595-8475  ,info@otrstudios.com ,otrstudios.com/mastering ,,,,,,Please call for info,,,,
208,SONAR HOUSE STUDIOS," Austin, TX  512-270-8208  ",,sonarhousestudios.com,,,,,,,,,,
209,"TERRA NOVA DIGITAL AUDIO, INC."," 9600 Escarpment Blvd.   #745-234  Austin, TX 78749  512-891-8010  ",terranova.mastering@gmail.com ,terranovamastering.com ,,,,,,please call for info,,,,
210,"VAULT RECORDING STUDIOS, THE"," 9135 Katy Fwy., Ste. 1  Houston, TX 77024  713 851-0265  ",info@vaultrecording.com ,vaultrecording.com ,David Williams ,,,,,please call for info,,,,
211,WEXTRAX MASTERING LABS," McKinney, TX  214-544-1554, 214-585-1692  ",rob@wextrax.com ,wextrax.com ,Rob Wechsler ,,,,,please call for info,,,,
212,WIRE ROAD STUDIOS," 901 W. 20th St.  Houston, TX 77008  713-636-9772  ",contact@wireroadstudios.com ,wireroadstudios.com ,Bill Wade ,,,,,By request per project,,,,
213,DAVID EVANOFF SOUND DESIGNS," 6794 Pine Knot Drive  Salt Lake City, UT  801-815-3202  ",dave@davidevanof.com ,davidevanof.com ,,,,,,please call for info,,,,
214,LANE GIBSON," 413 Carpenter Rd.  Charlotte, VT 05445  802-425-3508  ",,lanegibson.com,,,,,,,,,,
215,LITTLE CASTLE STUDIO, 802-349-1280  ,littlecastlestudio@yahoo.com ,littlecastle.com ,"Horace Williams, Jr. ",,,,,please call for info,,,,
216,CUE RECORDING STUDIOS," 109 Park Ave., Ste. E  Falls Church, VA 22046  703-532-9033  ",info@cuerecording.com ,cuerecording.com ,,,,,,please call for info,,,,
217,WASHBURN MASTERING," P.O. Box 8217  Norfolk, VA 23503  757-524-1364  ",,washburnmastering.com ,Todd Washburn ,,,,,please call for info,,,,
218,JP MASTERS," Seattle, WA  206-714-7227  ",dave@jpmasters.com ,jpmasters.com ,Dave Locke ,,,,,please refer to web,,,,
219,PERFECHTER PRODUCTIONS, 509-242-8907  ,info@perfechterproductions.com ,perfechterproductions.com ,,,,,,please email for info,,,,
220,SYNERGY PRODUCTIONS," 958 N. 127th St., Ste. B  Seattle, WA 98133  206-364-1070  ",jason@synergynw.com,,,,,,,,,,,
221,BLUE ALLEY STUDIOS," 347 Dunkard Ave  Westover, WV. 26501  304-598-2583  ",jswiger@bluesalleymusic.com ,bluesalleymusic.com,,,,,,,,,,
222,SUNNY DAY SOUND," Charleston, WV  304-881-4110  ",sunnydaysound@gmail.com ,sunnydaysound.com,,,,,,,,,,
223,ZONE 8 RECORDING," 1973 Main Street  Granville, WV. 26534  304-599-7332  ",zone8recording@yahoo.com ,zone8recording.com ,Mark Poole ,,,,,please call for info,,,,
224,FRESH COAST," 818 N. 109th St.  Milwaukee, WI 53226  414-771-9999  ",,freshcoast.com ,,,,,,please call for info,,,,
225,ULTIMATE AUDIO MASTERING," 35 W. Liberty  Evansville, WI 53536  608-695-3284  ",uamaster@sbcglobal.net ,facebook.com/ultimateaudiomastering ,Tom Blain ,,,,,call for price quote,,,,
