,Name,Address/Phone,Phone,Web,Email,Fax,Mail,Contact,Specialty,Additional locations,Practice Areas
108,"FISH & RICHARDSON, PC"," 222 Delaware Ave., 17th Fl.  P.O. Box 1114  Wilmington, DE 19899-1114  302-652-5070  ",,fr.com ,,,,,Intellectual Property,,
109,ALLEN L. JACOBI," 11077 Biscayne Blvd., Ste. 200  Miami, FL 33161  305-893-2007  ",,allenjacobilaw.com ,,,,,All entertainment-related services,,
110,GRIMES LLC," 8890 Terrene Court Unit 102  Bonita Springs, FL 34145  239-330-9000  ",,gandb.com ,,,,,"Entertainment, branding, trademarks, copy- rights, licensing, and litigation ",,
111,"PROSKAUER, ROSE, LLP"," 2255 Glades Rd., Ste. 421 Atrium  Boca Raton, FL 33431-7360  561-241-7400, 561-995-4777  ",,proskauer.com ,dpratt@proskauer.com ,,,David Pratt ,practice limited to litigation of commercial and entertainment related disputes  *No unsolicited material ,,
112,"PRYOR CASHMAN, LLP"," 255 Alhambra Circle  8th Floor  Miami, FL 33134  786-582-3003 Fax 786-582-3004  ",,pryorcashman.com ,jsammataro@pryorcashman.com ,,,James G. Sammataro ,"Entertainment Law, Music Law, Intellectual Property, Litigation ",,
114,"TALENTED TENTH CONSULTING & LEGAL SERVICES, PLLC"," 1415 W. Cypress Creek Road  Suite 300  Fort Lauderdale, FL  33309  754-800-5291 Fax 754-999-2140  ",,talentedtenthlaw.com ,adumas@talentedtenthlaw.com ,,,"Antoine Dumas, Esq. ","Contract drafting, dispute and negotiation, trademarks, copyright, publishing, licensing, business  consulting, touring, recording, royalties calculations, Film  and TV law, full-service litigation. ",,
115,"ALAN S. CLARKE, LAW OFFICES OF"," 1230 Peachtree Street NE  Suite 1900  Atlanta, GA 30309  404-816-9800 Fax 404-816-0555  ",,gmlaw.com/attorneys/alan-s-clarke ,alan.clarke@gmlaw.com ,,,Alan Clarke ,Intellectual Property,,
116,"FREED HOWARD, LLC"," 101 Marietta St.  Ste. 3600  Atlanta, GA 30303  470-839-9300  ",,freedgrant.com ,info@freedgrant.com ,,,,"Entertainment Law, Music Law, Film/TV Law, Copyrights ",,
117,HOLLAND & KNIGHT," 1180 W. Peachtree St., Ste. 1800  Atlanta, GA 30309  404-817-8500, 404-817-8585  ",,hklaw.com ,allen.maines@hklaw.com ,,,J. Allen Allen Maines ,"Entertainment Law, Contract Law",,
118,MINTER & ASSOCIATES," 5398 E. Mountain St.  Stone Mountain, GA 30083  770-879-7400 Fax 770-879-5695  ",,kendallminteresq.com ,kamlaw@aol.com ,,,Kendall Minter ,"Entertainment Law, Intellectual Property",,
119,BAKER HOSTETLER," 1170 Peachtree St., N.E., Ste. 2400  Atlanta, GA 30309-7676  404-459-0050  ",,bakerlaw.com ,jjones@bakerlaw.com ,,,Joann Gallagher Jones ,Intellectual Property,,
120,"YEMANE CLARKE, ATTORNEY"," 5863 Redan Rd.  Stone Mountain, GA 30088  770-450-8003  ",,clarkelegal.com ,,,,Yemane Clarke ,Intellectual Property,,
121,"HAWLEY, TROXELL, ENNIS & HAWLEY, LLP"," 877 Main St., Ste. 200  Boise, ID 83702  208-344-6000  ",,hawleytroxell.com ,info@hawleytroxell.com ,,,,Intellectual Property ," P.O. Box 3804  Coeur dAlene, ID 83816  208-667-1300  333 S. Main Street, Suite 200  Pocatello, ID 83204  208-233-2001  2010 Jennie Lee Dr.  Idaho Falls, ID 83404  208-529-3005 ",
122,"PEDERSEN AND COMPANY, PLLC"," 1410 N. 28th St.  Boise, ID 83703  208-343-6355  ",,patentattorneyidaho.com ,ip@pedersenco.com ,,,Ken J. Pedersen or Barbara S. Pedersen ,Intellectual Property,,
123,PERKINS COIE," 1111 W. Jefferson St., Ste. 500  Boise, ID 83702-5391  208-343-3434 Fax 208-343-3232  ",,perkinscoie.com ,RMaynard@perkinscoie.com ,,,Robert A. Maynard ,"Trademark Law, Intellectual Property",,
124,"PARSONS, BEHLE & LATIMER"," 800 W. Main St., #1300  Boise, ID 83706  208-562-4900 Fax 208-562-4901  ",,parsonsbehle.com ,rjohnson@personsbehle.com ,,,Rexford A. Johnson ,"Intellectual Property Litigation, Patents, Trade- marks and Copyrights ",,
125,"BRIAN A. ROSENBLATT, ATTORNEY AT LAW  BRYCE DOWNEY & LENKOV LLC  ","30 N. Lasalle St., Ste. 3600  312-377-1501, 312-327-0056  Chicago, IL 60601  ",,bdlfirm.com ,brosenblatt@bdlfirm.com ,,,,"Entertainment Law, Intellectual Property, Litigation ",,
126,HUSCH BLACKWELL," 120 S. Riverside Plaza, Ste. 2200  Chicago, IL 60606  312-655-1500, 312-526-1643  ",,huschblackwell.com ,daan.erikson@huschblackwell.com ,,,Daan G. Erikson ,"Entertainment and Media, Intellectual Property",,
127,"JAY B. ROSS & ASSOCIATES, PC"," 842 W. Grand Ave.  Chicago, IL 60642-6565  312-633-9000  ",,jaybross.com ,music_law@msn.com ,,,Jay B. Ross ,Entertainment Law,,
128,"KATTEN, MUCHIN & ROSENMAN"," 525 W. Monroe St.  Chicago, IL 60661  312-902-5200, 312-902-5296  ",,kattenlaw.com ,Kristin.achterhof@kattenlaw.com ,,,Kristin J. Achterhof ,"Trademark, Copyright, Entertainment Litigation",,
129,"LOEB & LOEB, LLP"," 321 N. Clark, Ste. 2300  Chicago, IL 60654  312-464-3144  ",,loeb.com ,dmasters@loeb.com ,,,Douglas N. Masters ,all areas,,
130,"MANDELL MENKES, LLC"," 333 W. Wacker Drive  Suite 450  Chicago, IL 60606  312-251-1000, 312-251-1016  ",,mandellmenkes.com ,pstrand@mandellmenkes.com ,,,Peter Strand ,"Media, Entertainment and First Amendment Intellectual Property ",,
131,PERKINS COIE," 110 North Wacker Drive  34th Floor  Chicago, IL 60606  312-324-8400  ",,perkinscoie.com ,CWilson@perkinscoie.com ,,,Christopher (Chris) B. Wilson ,"Trademark Law, Intellectual Property",,
132,"SMITH AMUNDSEN, LLC"," 150 N. Michigan Ave., Ste. 3300  Chicago, IL 60601  312-894-3200  ",,salawus.com ,lschechtman@salawus.com ,,,"Larry A. Schechtman, Partner, Brian Rosenblatt ","Ent., Media, Privacy, and Intellectual Property",,
133,"BARNES & THORNBURG, LLP"," 11 S. Meridian St.  Indianapolis, IN 46204-3535  317-231-7313  ",,btlaw.com ,shawn.bauer@btlaw.com ,,,Shawn D. Bauer ,Intellectual Property,,
134,"LEWIS & KAPPES, PC"," One American Sq., Ste. 2500  Indianapolis, IN 46282-0003  317-639-1210  ",,lewis-kappes.com ,trichardson@lewis-kappes.com ,,,Todd Richardson ,Intellectual Property,,
135,"MCKEE, VOORHEES & SEASE, PLC"," 801 Grand Ave., Ste. 3200  Des Moines, IA 50309-2721  515-288-3667 Ext. 5961  ",,ipmvs.com ,,,,Brandon W. Clark ,"Entertainment Law, Trademarks, Copyrights",,
136,"ZARLEY LAW FIRM, PLC"," Capital Sq.  580 MARKET STREET, SUITE 101  WEST DES MOINES, IOWA 50266  515-558-0200  ",,zarleylaw.com ,info@zarleylaw.com ,,,,Intellectual Property,,
137,"FLEESON, GOOING  ATTORNEYS AT LAW  ","1900 Epic Center  301 N. Main St.  Wichita, KS 67202  316-267-7361  ",,fleeson.com ,kmeyerhoff@fleeson.com ,,,Kent A. Meyerhoff ,Intellectual Property,,
138,"FOULSTON SIEFKIN, LLP"," 1551 N. Waterfront Pkwy., Ste. 100  Wichita, KS 67206-4466  316-267-6371  ",,foulston.com ,bmatthews@foulston.com ,,,"William (Bill) P. Matthews, Partner ",Intellectual Property ," 822 S. Kansas Ave., Ste. 200  Topeka, KS 66612  785-233-3600 Fax 785-233-1610  7500 College Boulevard, Sute 1400  Overland Park, KS 66210  913-498-2100 Fax 913-498-2101 ",
139,"LYNCH, COX, GILMAN & GOODMAN"," 500 W. Jefferson St., Ste. 2100  Louisville, KY 40202  502-589-4215  ",,lynchcoxlaw.com ,atty@lcgandm.com ,,,,Intellectual Property,,
140,"ADAMS AND REESE, LLP"," One Shell Sq.  701 Poydras St., Ste. 4500  New Orleans, LA 70139  504.581.3234  ",,adamsandreese.com ,willliam.shea@arlaw.com ,,,William D. Shea,"Entertainment Law, Music Law, Intellectual Property  "," 450 Laurel St., Ste. 1900  Baton Rouge, LA 70801  225-378-3244  ",
141,"EATON PEABODY, PA"," 80 Exchange St.  Bangor, ME 04401  207-947-0111 Fax 207-942-3040  ",,eatonpeabody.com ,,,,,Intellectual Property ," 77 Sewall St., Ste. 3000  Augusta, ME 04330  207-622-3747 Fax 207-622-9732  167 Park Row  P.O. Box 9  Brunswick, ME 04011  207-729-1144 Fax 207-729-1140  204 Main St.  Ellsworth, ME 04605  207-664-2900  100 Middle St.  P.O. Box 15235  Portland, ME 04112  207-274-5266 ",
142,"RUDMAN & WINCHELL, LLC"," 84 Harlow St.  P.O. Box 1401  Bangor, ME 04402-1401  207-947-4501, 207-992-2412  ",,rudmanwinchell.com ,apellegrini@rudmanwinchell.com ,,,Anthony D. Pellegrini ,Intellectual Property & Copyright Law ,,
143,LARRY J. GUFFEY," 502 Washington Ave., Ste. 605  Towson, MD 21204  410-659-9550  ",,guffeylaw.com/index.htm ,larry@GuffeyLaw.com ,,,,"Intellectual Property, Trademark and Patents "," 94 Narod Blvd.  Water Mill, NY 11976  631-237-4891 ",
144,VENABLE LLP," 750 East Pratt Street  Suite 900  Baltimore, MD 21202  410-244-7400, 410-244-7859  ",,venable.com,ajlynn@Venable.com ,,,Ashleigh J. F. Lynn ,,,
145,MARYLAND VOLUNTEER LAWYERS SERVICE," 201 N. Charles St., Ste. 1400  Baltimore, MD 21201  410-539-6800, 800-510-0050  ",,mvlslaw.org,info@mvlslaw.org ,,,,,,
146,"VENABLE, LLP"," 750 E. Pratt St., Ste. 900  Baltimore, MD 21202  410-244-7400 Fax 410-244-7742  ",,venable.com ,,,,,Intellectual Property ," 210 West Pennsylvania Ave, Ste. 500  Towson, MD 21204  410-494-6200 ",
147,"BURNS & LEVINSON, LLP"," 125 Summer St.  Boston, MA 02110  617-345-3000 Fax 617-345-3299  ",,burnslev.com ,,,,,"Music Law, Litigation "," 600 Cordwainer Drive  Suite 201  Norwell, MA. 02061  617-345-3000  69 Park St.  Andover, MA 018110  978-474-4700  93 Worcester Street  Wellesley, MA 02481  617-345-3000 ",
148,"CESARI & MCKENNA, LLP"," One Liberty Square, Suite 310  Boston, MA 022109  617-951-2500  ",,c-m.com ,,,,,Intellectual Property,,
149,PATTI JONES ATTORNEY AT LAW," 20 Park Plaza  Boston, MA 02116  617-948-2193  ",,pattijones.com ,patti@pattijones.com ,,,Patti Jones ,"music, literary publishing, media and independent film ",,
150,"PROSKAUER, ROSE, LLP"," One International Pl., 14th Fl.  Boston, MA 02110-2600  617-526-9600, 617-526-9851  ",,proskauer.com ,janderson@proskauer.com ,,,James Anderson ,practice limited to litigation of commercial and entertainment related disputes  *No unsolicited material ,,
151,"WOLF, GREENFIELD & SACKS, PC"," 600 Atlantic Ave. 23rd Fl.  Boston, MA 02210-2206  617-646-8000 Fax 617-646-8646  ",,wolfgreenfield.com ,,,,,"Trademark, Copyright",,
152,"FOLEY & LARDER, LLP"," One Detroit Center  500 Woodward Ave., Ste. 2700  Detroit, MI 48226-3489  313-234-7100 Fax 313-234-2800  ",,foley.com ,,,,,Intellectual Property,,
153,HERTZ SCHRAM," 1760 S. Telegraph Rd., Ste. 300  Bloomfield Hills, MI 48302  248-609-3146, 866-775-5987  ",,hertzschram.com ,,,,Howard Hertz ,"Entertainment Law, Contracts, Litigation "," Chrysler House  645 Griswold  Suite 2200  Detroit, MI 48226  313-960-8237, 866-775-5987 ",
154,"HONIGMAN MILLER SCHWARTZ & COHN, LLP"," 315 E. Eisenhower Pkwy., Ste. 100  Ann Arbor, MI 48108  734-418-4264  ",,honigman.com ,jobrien@honigman.com ,,,"Jonathan P. OBrien, Ph.D., Partner 2290 First National Building  660 Woodward Ave.  Detroit, MI 48226  313-465-7000  39400 Woodward Ave., Suite 101  Bloomfield Hills, MI 48304  248-566-8300  650 Trade Centre Way, Suite 200  Kalamazoo, MI 49002  269-337-7700  200 Ottawa Ave., NW, Suite 700  Grand Rapids, MI 49503  616-649-1900  222 N. Washington Sq, Suite 400  Lansing, MI 48933  517-484-8282 ",Intellectual Property Litigation ," 350 E. Michigan Ave., Ste. 300  Kalamazoo, MI 49007  269-337-7704 Fax 269-337-7705  ",
155,"JAFFE, RAITT, HEUER & WEISS"," 28 W. Adams Ave., Ste. 1500  Detroit, MI 48226  313-800-6500  ",,jaffelaw.com ,,,,,Intellectual Property ," 27777 Franklin Rd., Ste. 2500  Southfield, MI 48034  248-351-3000 ",
156,"REISING, ETHINGTON, PC"," 755 W. Big Beaver Rd., Ste. 1850  Troy, MI 48084  248-689-3500 Fax 248-689-4071  ",,reising.com ,,,,,Intellectual Property Law,,
157,"DORSEY & WHITNEY, LLP"," 50 S. 6th St., Ste. 1500  Minneapolis, MN 55402-1498  612-340-5681 Fax 952-516-5585  ",,dorsey.com ,rosenbaum.robert@dorsey.com ,,,Robert A. Rosenbaum ,Intellectual Property,,
158,"KENNETH ABDO, PARTNER"," Entertainment Law and More  Fox Rothschild LLP  City Center  33 S. Sixth Street, Suite 3600  Minneapolis, MN 55402  612-607-7063  Direct  ",,foxrothschild.com,kabdo@foxrothschild.com ,,,,,,
159,LOMMEN ABDO," 1000 International Centre  920 2nd Ave. S.1000  Minneapolis, MN 55402  800-752-4297, 612-339-8131  ",,lommen.com ,,612-339-8064 ,,,"Music Law, Entertainment Law",,
160,"PATTERSON THUENTE, IP"," 4800 IDS Center  80 S. 8th St.  Minneapolis, MN 55402-2100  612-361-0309, 612-349-3010  ",,ptslaw.com ,biasco@ptslaw.com ,,,Tye Biasco ,Entertainment Law,,
161,"BRUNINI, GRANTHAM, GROWER & HEWES, PLLC"," The Pinnacle Building, Ste. 100  190 E. Capitol St.  Jackson, MS 39201  601-948-3101, 601-960-6890  ",,Brunini.com ,scarmody@brunini.com ,,,Stephen J. Carmody ,"Intellectual Property, Litigation, Media and Advertising ",,
162,"SPENCER, FANE, BRITT & BROWNE"," 1000 Walnut St., Ste. 1400  Kansas City, MO 64106  816-292-8150, 816-474-8100  ",,spencerfane.com ,kelliott@spencerfane.com ,,,Kyle L. Elliott ,"Entertainment Law, Intellectual Property",,
163,"ANTOINETTE M. TEASE, PLLC"," 175 N. 27th St., Ste. 1902  Billings, MT 59101  406-294-9000, 406-591-3689  ",,teaselaw.com ,toni@teaselaw.com ,,,Antoinette M. Tease ,Intellectual Property and Technology Law,,
164,"CROWLEY, FLECK, LLP"," 490 N. 31st St., Ste. 500  Billings, MT 59101  406-252-3441  ",,crowleyfleck.com ,rgriffin@crowleyfleck.com ,,,Bob Griffin,,,
165,"DORSEY & WHITNEY, LLP"," 125 Bank St., Ste. 600  Missoula, MT 59802-4407  406-721-6025  ",,dorsey.com ,bell.steve@dorsey.com ,,,Steve D. Bell ,Intellectual Property,,
166,"WORDEN THANE, PC"," 321 W Broadway  Suite 300  Missoula MT 59802  866-758-3444, 406-721-3400  ",,wordenthane.com ,,,,,"Copyright, Trademarks",,
167,"ABRAHAMS, KASLOW  & CASSMAN, LLP  8712 W. ","Dodge Rd., Ste. 300  Omaha, NE 68114  402-392-1250 Fax 402-392-0816  ",,akclaw.com ,,,,,Intellectual Property,,
168,"CLINE, WILLIAMS, WRIGHT, JOHNSON &  OLDFATHER, LLP  ","12910 Pierce St., Ste. 200  Omaha, NE 68144  402-474-6900, 402-397-1700  ",,clinewilliams.com ,jmiles@clinewilliams.com ,,,John C. Miles ,Intellectual Property & Technology Law  ," 233 S. 13th St., Ste. 1900  Lincoln, NE 68508  402-474-6900  1207 M Street  PO Box 510  Aurora, NE 68818  402-694-6314 ",
169,"HOUGHTON BRADFORD  WHITTED PC, LLO "," 6457 Frances Street, Suite 100  Omaha, NE  68106  402-344-4000, 402-930-1009  ",,houghtonbradford.com ,,,,David A. Houghton ,Intellectual Property,,
170,"KUTAK ROCK, LLP"," The Omaha Building  1650 Farnam St.  Omaha, NE 68102-2186  402-346-6000 Fax 402-346-1148  ",,kutakrock.com ,,,,,Intellectual Property,,
171,"BROWNSTEIN, HYATT, FARBER, SCHRECK"," 100 N. City Pkwy., Ste. 1600  Las Vegas, NV 89106  702-382-2101  ",,bhfs.com ,,,,,Intellectual Property ," 5520 Kietzke Lane,  Suite 110  Reno, NV 89511  775-324-4100  206 S. Carson Street  Carson City, NV 89701  775-398-3838 ",
172,"MARIO F. GONZALEZ, ESQ."," 2780 So. Jones Blvd. #200-3383,  Las Vegas NV 89146  818-707-3894, 818-383-9359  ",,mgonzalezlaw.com ,mario@mgonzalezlaw.com ,,,,music attorney,,
173,"GREENBERG, TRAURIG"," 10845 Griffith Peak Drive  Las Vegas, NV 89135  702-792-3773  ",,gtlaw.com ,,,,,Entertainment and intellectual properties,,
174,"PARSONS, BEHLE & LATIMER"," 50 W. Liberty St., Ste. 750  Reno, NV  89501  775-323-1601  ",,parsonsbehle.com ,,,,,"Intellectual Property Litigation, Patents, Trademarks and Copyrights ",,
175,SNELL & WILMER," 3883 Howard Hughes Pkwy., Ste. 1100  Las Vegas, NV 89169-5958  702-784-5200  ",,swlaw.com ,,,,,Intellectual Property ," 50 W. Liberty St., Ste. 510  Reno, NV 89511  775-785-5440 ",
176,"WEIDE & MILLER, LTD"," 10655 Park Run Drive  Suite 100  Las Vegas, NV 89144  702-382-4804 Fax 702-382-4805  ",,weidemiller.com ,mail@weidemiller.com ,,,,Intellectual property and technology law,,
177,"GALLAGHER, CALLAHAN & GARTRELL, PC"," 214 N. Main St.  Concord, NH 03302-1415  603-228-1181, 800-528-1181  ",,gcglaw.com ,cline@gcglaw.com ,,,Peter Cline ,"Intellectual property, Entertainment Law",,
178,"MAINE, CERNOTA & RARDIN"," 547 Amherst St., 3rd Fl.  Nashua, NH 03063-4000  603-886-6100  ",,mcr-ip.com ,info@mcr-ip.com ,,,,Intellectual property,,
179,"SHAHEEN & GORDON, PA"," 180 Bridge Street  Manchester, NH 031014  603-635-4099  ",,shaheengordon.com ,,,,,"Trademark, Copyrights "," 107 Storrs St.  Concord, NH 03302  603-819-4231  191 Main Street  Nashua, NH 03060  603-605-8144  353 Central Avenue  Suite 200  Dover, NH 03820  603-871-4144 ",
180,JEKIELKE & JANIS LLP," 26 Park St.  Suite 2045  Montclair, NJ 07042  212-686-7008  ",,jj-lawyers.com ,jon@jj.lawyers.com ,,,Jon Jekielek ,Entertainment Law,,
181,"MCCARTER & ENGLISH, LLP"," 100 Mulberry St.  Newark, NJ 07102  973-622-4444 Fax 973-624-7070  ",,mccarter.com ,info@mccarter.com ,,,,"Litigation, Intellectual Property, Trademark, Copyright, Contracts ",,
182,PAUL B. UNGAR," 90 Washington Valley Road  Bedminster, NJ 07921  732-692-4286  ",,paulbungar.com ,paul@paulbungar.com ,,,Paul Ungar ,"Entertainment Law, Intellectual Property, Trademark, Copyright ",,
183,PEACOCK LAW," 201 Third Street, NW  Suite 1340  Albuquerque, NM 87102  ",,"peacocklaw.com 877-998-1506, 505-998-1500 ",,,,,,,
184,ASSOCIATION OF THE BAR OF THE CITY OF N.Y.," 42 W. 44th St.  New York, NY 10036  212-626-7373, 800-342-3661  ",,nycbar.org,,,,,,,
185,"BELDOCK, LEVINE & HOFFMAN"," 99 Park Ave., 26th Fl.  New York, NY 10016  212-490-0400  ",,blhny.com ,pmatorin@blhny.com ,,,Peter Matorin ,"Entertainment Law, Intellectual Property",,
186,"CHRISTOPHER HOYT, ESQ."," The Hoyt Law Group, LLC  30 Wall St., 8th Fl.  New York, NY 10005  212-268-3414  ",,cwhesq.com ,info@cwhesq.com ,,,,Entertainment and Business Law *No unsolicited material ,,
187,"CODISPOTI & MANCINELLI, LAW OFFICES OF"," 111 John St., Ste. 800  New York, NY 10038  212-791-9453  ",,codispotilaw.com ,bruno@codispotilaw.com ,,,Bruno Codispoti ,Entertainment Law ," 81 Court Street  5th Floor  Brooklyn, NY 11201  212-791-9453, 212-962-6525 ",
188,"WALLACE E. J. COLLINS III, ESQ"," 250 E. 39th St., Ste. 9K  New York, NY 10016  212-661-3656  ",,wallacecollins.com ,wallace@wallacecollins.com ,,,Wallace Collins ,Entertainment and Intellectual Property,,
189,"COWAN, DEBAETS, ABRAHAMS & SHEPPARD, LLP"," 41 Madison Ave., 38th Fl.  New York, NY 10010  212-974-7474 Fax 212-974-8474  ",,cdas.com ,info@cdas.com ,,,,Entertainment Law ," 9454 Wilshire Blvd., Ste. 901  Beverly Hills, CA 90212  310-340-6334 ",
190,"DAVIS, SHAPIRO, LEWIT, GRABEL, LEVIN,"," GRANDERSON & BLAKE  414 W. 14th St., 5th Fl.  New York, NY 10014  212-230-5500  ",,davisshapiro.com ,info@davisshapiro.com ,,,,Entertainment Law,,
191,"DAVIS WRIGHT TREMAINE, LLP"," 1251 Ave. of the Americas, 21st Fl.  New York, NY 10020-1104  212-489-8230, 212-603-6433  ",,dwt.com ,allienicholson@dwt.com ,,,"Alexandra Nicholson, Partner ",Entertainment Law,,
192,"DORSEY & WHITNEY, LLP"," 51 W. 52nd St.  New York, NY 10019-6119  212-415-9200, 212-415-9269  ",,dorsey.com ,Edelman.sandra@dorsey.com ,,,Sandra Edelman ,Intellectual Property,,
193,FOSTER GARVEY PC," 100 Wall St., 20th Fl.  New York, NY 10005-3708  212-431-8700  ",,foster.com ,,,,,Entertainment Law,,
194,"GEORGE T. GILBERT, ATTORNEY AT LAW"," 74 W. 68th St., Ste. 9B  New York, NY 10023  212-677-2001, 917-817-4819  ",,linkedin.com/in/georgegilbert ,,,,,"Intellectual Property, Entertainment law with focus on the music industry, literary, television and film.  Trademark and Copyright ",,
195,"GEORGE STEIN, LAW OFFICES OF"," 270 Madison Ave., Ste. 1410  New York, NY 10016  212-683-5320 Fax 212-686-2182  ",,georgesteinlaw.com ,georgestein@earthlink.net ,,,George Stein ,"Entertainment Law, Music Law, Copyrights",,
196,"GOTTLIEB, RACKMAN & REISMAN"," 270 Madison Ave., 8th Fl.  New York, NY 10016  212-684-3900 Fax 212-684-3999  ",,grr.com ,arubenstein@grr.com ,,,Allen I. Rubenstein ,Entertainment Law,,
197,GREENBERG TRAURIG," One Vanderbilt Avenue  New York, NY 10017  212-801-9200 212-801-6781  ",,gtlaw.com ,Kanusherl@gtlaw.com ,,,Laurence A. Kanusher ,Music Law & Entertainment Law,,
198,HEYMAN LAW," 355 8th Avenue, Suite 5H  New York, NY 10001  212-414-9522  ",,heylaw.com ,info@heylaw.com ,,,,"Entertainment Law, Copyright, Trademark, New Media ",,
199,"JEFFREY GANDEL,  LAW OFFICES OF  ","1623 3rd Ave., Ste. 22A  New York, NY 10128  212-289-0709 Fax 212-289-0686  ",,gandellaw.com ,jeff@gandellaw.com ,,,Jeffrey Gandel ,"Music Law, Film Law, Litigation",,
200,"THE JACOBSON FIRM, P.C."," 347 5th Ave., Ste. #810  New York, NY 10016  212-683-2001  ",,jacobsonfirm.com,info@jacobsonfirm.com ,,,,,,
201,JOEL BROOKS & ASSOCIATES PC," 25 S. Service Rd., Ste. 240  Jericho, NY 11753  516-338-0533  ",,,,,,Joel Brooks ,Music Law,,
202,"KATTEN, MUCHIN & ROSENMAN, LLP"," 50 Rockefeller Plaza  New York, NY 10020  212-940-8800, 212-940-8776  ",,katten.com ,karen.ash@katten.com ,,,Karen Artz Ash ,Intellectual Property,,
203,KIA LAW FIRM," 149 Madison Ave., Ste. #1105  New York, NY 10016  212-679-4200 Fax 212-679-4155  ",,kialawfirm.com ,info@kialawfirm.com ,,,,Entertainment Law,,
204,"LEVINSOHN ASSOCIATES, P.C.333"," 333 Westchester Avenue  Suite E1101  White Plains, NY 10604  212-262-1000  ",,entlawfirm.com ,assistant@entlawfirm.com ,,,,I.P. and Copyright,,
205,"LOEB & LOEB, LLP"," 345 Park Ave.  New York, NY 10154-1895  212-407-4000, 212-407-4990  ",,loeb.com ,lruckel@loeb.com ,,,Laurie S. Ruckel ,all areas,,
206,"MANATT, PHELPS & PHILLIPS"," 7 Times Sq.  New York, NY 10036  212-790-4500 Fax 212-790-4545  ",,manatt.com ,,,,,all areas ," 136 State St., Ste. 300  Albany, NY 12207  518-431-6700 Fax 518-431-6767 ",
207,MARIA SCHEURING," 34 E. Main Street, Ste. 196  Smithtown, NY 11787  631-360-0226  ",,mselawyer.com ,MariaS@mselawyer.com ,,,"Maria Scheuring, Owner ","Music Law, Negotiation, Contracts, Band Agreements, Music Publishing and Licensing. Litigation for  Musicians, Music Merchants, Promoters and Venues ",,
208,"MARVIN KATZ, LAW OFFICES OF"," 1325 Avenue of the Americas  27th Floor  New York, NY 10022  212-486-6001 Fax 212-486-4608  ",,mkatzlaw.net ,marvin@mkatzlaw.net ,,,Marvin Katz ,"Contracts, Mergers, Acquisitions, Music Publishing ",,
209,MATTHEW L. KLETTER," Law Office of Matthew L. Kletter, PLLC  Tarrytown, NY  914-681-5191, 914-844-5766  ",,linkedin.com/in/mkletter ,mkletter@msn.com ,,,Matthew Kletter ,Entertainment Law,,
210,"ROBERT S. MELONI, P.C."," 3 Columbus Cir., 15th Fl.  New York, NY 10019  212-520-6090  ",,m2lawgroup.com ,rmeloni@m2lawgroup.com ,,,Robert S. Meloni ,Entertainment and I.P. Litigation,,
211,"PELOSI, WOLF, SPATES, LLP"," 50 Broad Street, Suite 1609  New York, NY 10279  212-334-4801 212-334-3599  ",,pwes.com ,,,,John Pelosi ,"Entertainment, Music Law, Intellectual Property",,
212,PERKINS COIE," 1155 Avenue of the Americas  22nd Floor  New York, NY 10036-2711  212-262-6900  ",,perkinscoie.com ,,,,,"Trademark Law, Intellectual Property",,
213,"PROSKAUER, ROSE, LLP"," Eleven Times Square  (8th Ave. & 41st St.)  New York, NY 10036-8299  212-969-3000  ",,proskauer.com ,,,,,practice limited to litigation of commercial and entertainment related disputes  *No unsolicited material ,,
214,"PRYOR CASHMAN, LLP"," 7 Times Square  40th Floor  New York, NY 10036  212-421-4100 Fax 212-326-0806  ",,pryorcashman.com ,"fscibilia@pryorcashman.com, bsemel@pryorcashman.com  ",,,"Frank P. Scibilia, Benjamin K. Semel ","Entertainment Law, Music Law, Intellectual Property, Litigation ",,
215,"RENZULLI LAW FIRM, LLP"," One North Broad, Suite 1005  White Plains, NY 10601  914-285-0790  ",,renzullilaw.com,jrenzulli@renzullilaw.com ,,,John F. Renzulli ,,,
216,"RITHOLZ LEVY SANDERS CHIDEKEL & FIELDS, LLP"," 235 Park Ave. S., 3rd Fl.  New York, NY 10003  212-448-1800  ",,rlscf.com ,hello@rlscf.com ,,,,Entertainment Law ," 10940 Wilshire Blvd., Ste. 1600  Los Angeles, CA 90024  310-443-4176  131 South 11th Street  Nashville, TN 37206  615-250-3939 ",
217,"ROBERT A. CELESTIN, ESQ."," 1650 Broadway, #505  New York, NY 10019  212-262-1103  ",,raclawfirm.com ,,,,Robert A. Celestin ,Entertainment Law,,
218,ROBINSON BROG LEINWAND GREENE GENOVESE," AND GLUCK, PC  875 3rd Ave. 9th Fl.  New York, NY 10022  212-603-6300  ",,robinsonbrog.com ,info@robinsonbrog.com ,,,,"Entertainment Law, Music Law, Indie Label Consulting, Contracts ",,
219,"RUBIN & BAILIN, LLP"," Marc Bailin, Esq  501 Madison Avenue  New York, NY 10022  212-829-8920  ",,,,,,,Music Law,,
220,"SENDROFF & BARUCH, LLP"," 1500 Broadway, Ste. 2201  New York, NY 10036  212-840-6400 Fax 212-840-6401  ",,sendroffbaruch.com ,msendroff@sendroff.com ,,,Mark Sendroff ,Entertainment Law,,
