,Name,Address/Phone,Phone,Email,Web,Clients,Contact,Services,Styles/Specialties,Distribution,How to Submit,Additional locations
107,PRAVDA RECORDS," 4245 N Knox, Suite 7  Chicago, IL 60641  773-763-7509  ",,kenn@pravdamusic.com ,pravdamusic.com ,,,,"rockabilly, pop, blues ",ADA,,
108,PRIMARILY A CAPPELLA," P.O. Box D  San Anselmo, CA 94979  415-419-5509  ",,harmony@singers.com ,singers.com ,,,,a cappella *Unsolicited material accepted ,,,
109,PUTUMAYO WORLD MUSIC," Attn: A&R  413 Carpenter Rd.  Charlotte, VT 05445  212-625-1400 800-995-9588  ",,info@putumayo.com ,putumayo.com *Accepts unsolicited materials. ,,,,,,,
110,RAMP RECORDS," Santa Barbara, CA  ",,info@ramprecords.com ,ramprecords.com ,"Michael McDonald, Jeff Bridges *No unsolicited material ",,,eclectic ,,,
111,RCA RECORDS," 6363 Sunset Blvd  Los Angeles, CA 90028  ",,,sonymusic.co.uk,,,,,,," 25 Madison Ave.  New York, NY 10010  "
112,RED BULL RECORDS," 9044 Melrose Ave.  Hollywood, CA 90069  323-606-7680  ",,customercare@redbullrecords.com ,redbullrecords.com *Demo submission accepted  ,,,,,,," 1740 Stewart Street  Santa Monica, CA 90404  310-393-4647 "
113,RED HOUSE RECORDS," 916 19th Avenue South  Nashville, TN 37212  800-757-2277, 615-320-7672  ",,,redhouserecords.com,,,,,,,
114,RELAPSE RECORDS," 8701 W Chester Pike  Upper Darby, PA 19082  610-734-1000  ",,brian@relapse.com ,relapse.com ,,,,"metal, rock Rennie Jaffe, VP, A&R ",,,
115,REPUBLIC RECORDS," 1755 Broadway, 8th Fl.  New York, NY 10019-3743  212-333-8000  ",,ben.adelson@umusic.com ,"republicrecords.com Ben Adelson, SVP, A&R ",,,,,,," 2220 Colorado Ave. 3rd Fl  Santa Monica, CA 90404-3506  310-865-8470  "
116,REVELATION RECORDS," P.O. Box 5232  Huntington Beach, CA 92615  714-842-7584  ",,webmaster@revhq.com ,revhq.com ,,,,"hardcore, punk, emo *Unsolicited material accepted ",,,
117,RHYMESAYERS ENTERTAINMENT," 2409 Hennepin Ave., S  Minneapolis, MN 55405  612-977-9870  ",,info@rhymesayers.com ,rhymesayers.com facebook.com/Rhymesayers  ,,,,"hip-hop/rap Brent Sayers, CEO ",,,
118,RISE RECORDS," 15455 N.W. Greenbrier Pkwy, Ste. 115  Beaverton, OR 97006  ",,,riserecords.com *Accept unsolicited material ,,,,,,,
119,ROADRUNNER RECORDS," Warner Bros. Group  1633 Broadway  New York, NY 10019  ",,publicity@roadrunnerrecords.com ,elektramusicgroup.com/roadrunnerrecords,,,,,,,
120,ROCKZION RECORDS," 673 Valley Dr.  Hermosa Beach, CA 90254  310-379-6477 Fax 310-379-6477  ",,accounts@roir-usa.com ,roir-usa.com ,,,,"punk, reggae, rock *Unsolicited material accepted, but look at our website so  you know who we are. ",,,
121,ROUNDER RECORDS," Nashville, TN  629-401-3901  ",,info@rounder.com ,rounder.com *No unsolicited material  ,,,,roots music,,,
122,ROUND HILL MUSIC," 650 Fifth Ave., Suite 1420  New York, NY 10019  212-380-0080  ",,info@roundhillmusic.com ,"roundhillmusic.com Jonnie Davis, SVP, A&R  ",,,,,,," Los Angeles, CA  +1 (615) 695-7705  Nashville, TN  818 18th Ave. S, Suite 940  Nashville, TN 37203  +1 (615) 695-7705  Josh Saxe, Associate Director, A&R "
123,"ROYNET, THE ROYALTY NETWORK, INC."," 224 W. 30th St., Ste. 1007  New York, NY 10001-1077  212-967-4300  ",,drew@roynet.com ,"krianmusicgroup.com Drew Witte, A&R ",,,,,,,
124,SADDLE CREEK RECORDS," P.O. Box 8554  Omaha, NE 68108  402-558-8208  ",,info@saddle-creek.com ,saddle-creek.com ,,,,"rock, electronica, country rock *Accepts unsolicited material  Amber Carew, A&R ",,,
125,SHANGRI-LA PROJECTS," P.O. Box 40106  Memphis, TN 38174  901-359-3102  ",,sherman@shangrilaprojects.com ,shangrilaprojects.com ,,,,"alternative rock Sherman Willmott, A&R ",,,
126,SIX DEGREES RECORDS," P.O. Box 411347  San Francisco, CA 94141  415-626-6334  ",,publicity@sixdegreesrecords.com ,sixdegreesrecords.com ,,,,"world music, ambient, folk, contempo- rary classical and intelligent pop music  *No unsolicited material ",,,
127,SKAGGS FAMILY RECORDS," P.O. Box 2478  Hendersonville, TN  37077  615-264-8877 Fax 615-264-8899  ",,Somuchhnoise@gmail.com 323-577-7677  ,skaggsfamilyrecords.com ,,"Ricky Skaggs, Charlotte Scott SO MUCHH NOISE URBAN (SMN)  Atlantic Records  212-707-2000  ",,Rap/Hip-Hop/ Pop/ Country/ R&B/ Dance- hall/ Kids Bop/ Gospel and ALL  ,,"Accepts all Demos, Unsolicited for all genres Chris Jones, Vice President of A&R ",
128,SONIC SAFARI MUSIC / JONKEY ENTERPRISES," 663 W. California Ave.  Glendale, CA 91203  818-242-4034  ",,chuck@sonicsafarimusic.com ,sonicsafarimusic.com ,,,,"environmental, world, traditional, ethnic ","Indies Chuck Jonkey, A&R ",,
129,SST," P. O. Box 1  Taylor, TX 76574  206-309-5331  ",,,sstsuperstore.com ,,,,"rock, jazz, punk progressive rock *Unsolicited material accepted ",,,
130,STEF ANGEL MUSIC GROUP, 310-388-5880  ,,info@stefangelmusic.com musicsubmission@stefangelmusic.com,stefangelmusic.com ,,"Stefaniah McGowan, Exec. Music Producer, A&R Accepts unsolicited material  ",,,,,
131,SUB POP RECORDS," 2013 4th Ave., 3rd Fl.  Seattle, WA, 98121  206-441-8441  ",,info@subpop.com ,"subpop.com *Accepts unsolicited materials  Tony Kiewel, Head, A&R ",,,,,,,
132,SUMERIAN RECORDS," 3330 Cahuenga Blvd. W. #500  Los Angeles, CA 90068  424-832-7275  ",,info@sumerianrecords.com ,"facebook.com/SumerianRecords Ash Avildsen, President ",,,,,,,
133,SURFDOG RECORDS," 1126 S. Coast Hwy. 101  Encinitas, CA 92024  760-944-8000 Fax 760-944-7808  ",,demo@surfdog.com ,surfdog.com ,"Brian Setzer, Stray Cats, Richard Cheese, Gary Hoey, Rusty Anderson, Slightly Stoopid, Dan Hicks, Butthole  Surfers, Gibby Haynes, Dylan Donkin, Dave Stewart, the  Wylde Bunch, Burning of Rome  *Unsolicited material accepted  Scott Seine, A&R ",,,rock ,,,
134,THIRD MAN RECORDS," 623 7th Ave. S.  Nashville, TN 37203-4601  615-891-4393  ",,Nashvillestore@thirdmanrecords.com ,thirdmanrecords.com ,"Jack White, the Dead Weather, Olivia Jean, the Raconteurs, the White Stripes, Wanda Jackson, Wolf Eyes,  Karen Elson  Jack White, Founder  Ben Swank, Co-Founder ",,,"Various genres, specialize in vinyl records pressing  ",,,
135,THUMP RECORDS," P.O. Box 9605  Brea, CA 92822  909-595-2144  ",,customersupport@thumprecords.com ,thumprecords.com ,,,,"Latin rap, old skool, rap, R&B, Latin, oldies, disco  *Unsolicited material accepted ",,,
136,TOOTH & NAIL," P.O. Box 12698  Seattle, WA 98111-4698  ",,,toothandnail.com,,,,,,,
137,TRIPLE CROWN RECORDS," P. O. Box 222132  Great Neck, NY 11022  ",,info@triplecrownrecords.com ,"triplecrownrecords.com Fred Feldman, President ",,,,,,,
138,UNIVERSAL MUSIC GROUP," 2220 Colorado Ave., 3rd Fl.  Santa Monica, CA 90404  310-865-4500  ",,,universalmusic.com,,,,,,,
139,URBAN & LAZAR, ,,"contact@vervemusicgroup.com, ververecords@ umgstores.com  ",ververecords.com universalmusic.com  ,,,,"jazz, adult contemporary, classical *No unsolicited material ",,,
140,VICTORY RECORDS," 346 N. Justine St., 5th Fl.  Chicago, IL 60607  312-666-8661  ",,contact@anothervictory.com ,victoryrecords.com ,,,,"rock, punk, metal Tony Brummel, Founder  *Accepts unsolicited demos ",,,
141,VIRGIN RECORDS, (see Capitol Music Group) ,,,,,,,,,,
142,WARNER BROS. NASHVILLE," 20 Music Sq. E.  Nashville, TN 37203  615-748-8000  ",,nashville.ar@wbr.com ,warnermusicnashville.com ,,"*No unsolicited material  Scott Hendricks, Exec. VP, A&R  Cris Lacy, Exec. VP, A&R ",,,,,
143,WARNER RECORDS," 777 S Santa Fe Ave  Los Angeles, CA 90021  818-846-9090  ",,,warnerbrosrecords.com ,,"*No unsolicited material  Karen Kwak, EVP Head of A&R  Ericka Coulter SVP, A&R ",,,,,
144,WARNER MUSIC GROUP," 1633 Broadway  New York, NY 10019  212-275-2000 ",,,wmg.com,," *No unsolicited material  Mike Caren, President Worldwide, A&R ",,,,,
146,WARNER MUSIC LATINA," 555 Washington Ave., 4th Fl.  Miami Beach, FL 33319  305-702-2200 Fax 305-266-8771  ",,gabriella.martinez@wmg.com ,facebook.com/warnermusiclat ,,"*No unsolicited material  Gabriella Martinez, VP Marketing ",,,,,
147,WICKED COOL RECORDS," 434 6th Ave., Ste. 6R  New York, NY 10011  347-229-2960  ",,info@wickedcoolrecords.com scott@wickedcoolrecords.com  ,wickedcoolrecords.com ,,,,garage rock,,,
148,WILD RECORDS, ,,,wildrecordsusa.com ,,,,"rockabilly, blues, surf, garage and soul. Reb Kennedy, President, Founder ",,,
