,Name,Role,Address/Phone,Email,Fax,Web,Styles,Additional location,Contact,Clients,Services,How to Submit,A&R/Manager,Booking Agent,Notes
83,PERSISTENT MANAGEMENT,Manager," P.O. Box 88456  Los Angeles, CA 90009  ",pm@persistentmanagement.com ,,persistentmanagement.com ,All ,,Eric Knight ,"Disciples of BabylonEric Knight, Blake Nix, Keith Shaw  ","Personal Management *We Do Not Accept Unsolicited material,  email links only, see website for info ",,,,
84,PETER KIMMELS MUSIC CATALOG,Manager," P.O. Box 55252  Sherman Oaks, CA 91413-0252  818-980-1039 Cell/Text 818-903-6518  ",peter.kimmel@sbcglobal.net ,,linkedin.com/in/peterkimmel ,All ,,Peter Kimmel ,,Music Sync Licensing Publishing. *Call for approval before sending material ,,,,
85,PINNACLE MANAGEMENT,Manager," MARKETING & PROMOTION  785 Quintana Road #174  Morro Bay, CA 93442  ",pinnaclemanagement212@gmail. com  ,,,"Top 40/Hot AC, AC & Rock ",,Debbie Rosen ,,Promotion &Management,,,,
86,PLATINUM STAR MANAGEMENT,Manager," 9663 Santa Monica Blvd. #320  Dept MC  Beverly Hills, CA 90210  ",jen@platinumstarmgmt.com ,,platinumstarmgmt.com ,,,Jennifer Yeko ,"Specializing in film/TV placement, radio promotion, music publicity and  managing pop/rock/singer-songwriters  *Accepts unsolicited material ",,,,,
87,PRIMARY WAVE MUSIC,Manager," 116 E. 16th St. #9  New York, NY 10003  212-661-6990  ",sgreener@primarywave.com ,,Primarywave.com ,," 10850 Wilshire Blvd, Suite #600  Los Angeles, CA 90024  424-239-1200 ",Steven Greener ,"Cee Lo Green, Fantasia, Melissa Etheridge, Brandy, Cypress Hill, Eric Benet,  Toots & The Maytals.  ",,,,,
88,Q PRIME MANAGEMENT,Manager," New York, London, Nashville  212-302-9790  ","newyork@qprime.com (NY), nashville@qprime.com (Nashville),  london@qprime.com (London)  ",,qprime.com ,"rock, Pop ",,,"Bear Hands, Silversun Pickups, Red Hot Chili Peppers, Eric Church, Brothers  Osborne  *No unsolicited material ",,,,,
89,RAINMAKER ARTISTS,Manager," 1000 Westbank Dr.  Suite 5B  Austin, TX 78746  512-229-7799, 214-744-0290  ",paul@rainmakerartists.com ,,rainmakerartists.com ,"rock, pop ",,Paul Nugent ,"Blue October, Bowling For Soup, IAMDYNAMITE, Danny Malone  *Accepts unsolicited material ",,,,,
90,RAM TALENT GROUP,Manager," Fort Lee, NJ 07024  201-363-1461 Ext. 201  ",ruben@ rubenrodriguezentertainment.net  ,,RAMTalentGroup.com ,"urban, gospel, urban AC, Latin music ",,Ruben Rodriguez ,,,,,,
91,RED LIGHT MANAGEMENT,Manager," 5800 Bristol Pwky, Suite 400  Culver City, CA 90230  310-273-2266  ",info@redlightmanagement.com ,,redlightmanagement.com ,All styles , Virginia  New York  Nashville  London  Atlanta  Seattle  Charlottesville ,,"Phish, Luke Bryan, Alabama Shakes, Lady Antebellum and many more.  *Accepts unsolicited material  ",,,,,
92,REGIME MANAGEMENT,Manager," Agoura Hills, CA  ",info@regimeinc.com ,,regime72.com ,,,,"The REGIME client base ranges from Athletes, Artists, Musicians &  Producers - From Hip Hop to Latin Jazz to  Funk & Reggae. From legendary Graffiti  Artist Risk, Hip Hop pioneers Everlast,  House Of Pain, DJ Muggs & Dilated Peoples  to Poncho Sanchez, Lettuce, Lucky Chops,  Common Kings, Amigo The Devil - & many,  many more. ",,,,,
93,RIGHTTRACK MANAGEMENT,Manager," (Chaser Music Group- Ascap, Bmi,  Universal music)  (Artist direction, Record Production, and  Music Publishing)  ",ryan@ronrainey.com ,,ronrainey.com ,"rock, classic rock, hard rock, stoner rock, metal  *We can accept unsolicited material ",,Ryan Jones ,"John Kay and Steppenwolf, ANGEL ",management ,,,,
94,RPM MUSIC PRODUCTIONS,Manager," 420 W. 14th St., Ste. 6NW  New York, NY 10014  212-246-8126  ",info@rpm-productions.com ,,,"rock, pop, jazz ",,Danny Bennett ,Tony Bennett *No unsolicited material ,,,,,
95,RPS RECORDING AND,Manager," ENTERTAINMENT GROUP  4212 E. Los Angeles Ave.  Simi Valley, CA 93063  805-551-2342  ",rps.entertainment.group@gmail.com ,,,Various genres along with Gospel and Christian  *No unsolicited material please ,,Gary Bright ,,,,,,
96,RUSSELL CARTER ARTIST MANAGEMENT,Manager," 567 Ralph McGill Blvd.  Atlanta, GA 30312  404-377-9900  ",info@rcam.com ,,,"singer-songwriter, alt., Americana, pop, rock  ",,Russell Carter ,"Indigo Girls, Matthew Sweet, Susanna Hoff, Shawn Mullins, Chely Wright,  the Shadowboxers, Sarah Lee Guthrie, Abe  Partridge ",,,,,
97,SAM,Manager," Silva Artist Management  722 Seward St.  Los Angeles, CA 90038  323-856-8222  ",info@sammusicbiz.com ,,sammusicbiz.com ,"alt., rock *No unsolicited material ",,John Silva ,"Foo Fighters, Band of Horses, Ryan Adams, Jimmy Eat World, Beastie Boys,    ",,,,,
98,SEMAPHORE MGMT AND CONSULTING,Manager," 748 E. 9th St.  New York, NY 10009  773-733-1838  ",info@semaphoremgmt.com ,,semaphoremgmt.com ,"alternative - electronic, experimental, punk,rap, club  ",,"Taylor Brode, Lauren Davis ","Debby Friday,Kamixlo, Provoker, Katie Gately, Meth Math, Evanora:Unlimited ","General Management, Project Based Short Term Consultancy  ",,,,
99,SHERROD ARTIST MANAGEMENT,Manager, Music Entertainment Manager/A&R  252-241-6362  ,infosherrodartistmanagement@ mail.com  ,,sherrodartistmanagement.com,,,Sean Sherrod ,,,,,,
100,SKH MUSIC,Manager," 540 President St.  Brooklyn, NY 11215  ","skaras@skhmusic.com, khagan@skhmusic.com  ",,skhmusic.com ,,,"Steve Karas, Keith Hagan ","The Afghan Whigs, Arthur Buck, Joseph Arthur, Davina and the Vagabonds,  Greg Dulli, Robert Finley, The Gutter Twins,  Jonny Lang, Lily & Madeleine, The Magpie  Salute, Squirrel Nut Zippers, TOTO, The  Twilight Singers ",,,,,
101,SOUNDTRACK MUSIC ASSOCIATES,Manager," 1601 N. Sepulveda Blvd. #579  Manhattan Beach, CA. 90266  310-260-1023  ",info@soundtrk.com ,,soundtrk.com ,"All Styles, Underscores Clients :Composers: see website for roster  *No unsolicited material ",,"John Tempereau, Isabel Pappani, Koyo Sonae  ",,,,,,
102,SOUNDTRACK MUSIC ASSOCIATES,Manager," 4133 Redwood Ave., Ste. 3030  Los Angeles, CA 90066  310-260-1023  ",info@soundtrk.com ,,soundtrk.com ,All Styles ,,John Tempereau ,"Composers: Cliff Martinez, Rod Abernethey, Evan Lurie, (see roster on site)  *No unsolicited material ",,,,,
103,SO WHAT MEDIA & MANAGEMENT,Manager," 890 W. End Ave., Ste. 1-A  New York, NY 10025  212-877-9631  ",sowhatasst@me.com ,,,"rock, pop ",,Lisa Barbaris ,"Cyndi Lauper, Billy Porter, Amanda Shires, Liv Warfield  *No unsolicited material accepted ",,,,,
104,"SPARKS ENTERTAINMENT, LLC",Manager," 420 W. Huron St., Ste. 110  Chicago, IL 60654  844-566-3799  ",spark@djdjones.com ,,sparkentertainmentgroup.com ,"ALL, hip-hop, R&B, country, rock, acting, modeling  ",,,"Gary, Lyrix ","Talent Management, Career, Development, Booking, Promoting ",,,,
105,SPINNING PLATES MGMT,Manager," 49 Music Square West #503  Nashville, TN 37203  615-482-6995  ",kirt@spinningplatesmgmt.com ,,spinningplatesmgmt.com ,"country, rock, tributes, corporate branding  ",,Kirt Webster ,,"specializes in legendary musicians, corporate branding, and lifestyle  marketing  *No unsolicited material ",,,,
106,STARKRAVIN MANAGEMENT,Manager," McLane & Wong  11135 Weddington St., Ste. 424  North Hollywood, CA 91601  818-587-6801 Fax 818-587-6802  ",bcmclane@aol.com ,,benmclane.com ,"pop, rock, alt. ",,"Ben McLane, Esq. ",,"Personal management, legal *Accepts unsolicited material ",,,,
107,STEVEN SCHARF ENTERTAINMENT,Manager," 126 E. 38th St.  New York, NY 10016  212-779-7977  ",,,stevenscharf.com ,"rock, alt., singer-songwriter, hip- hop, world, producers, film & TV composers  ",,Steven Scharf ,"Mackenzie, The Kickback, Leah Siegel, Liquid, Mike-E  *No unsolicited material ",,,,,
108,STEVE STEWART MANAGEMENT,Manager," 12400 Ventura Blvd., #900  Studio City, CA 91604  ",stevestewart@stevestewart.com ,,stevestewart.com ,"rock, pop ",,Arnold Stiefel ,Rod Stewart ,personal management *No unsolicited material ,,,,
109,SUNCOAST MUSIC MANAGEMENT,Manager," 212 Otter Ridge Dr  Brandenburg, Ky 40108  888-727-1698, 727-237-7971,  (Ohio)330-730-1615  ",suncoastbooking@aol.com ,,suncoastentertainment.biz ,"rock, classic rock, metal, variety ",,Al Spohn ,"Nightrain International (Guns n Roses Tribute), Hells/Bells (AC/DC Tribute),  Battery (Metallica), Madmans Diary (Ozzy),  Kiss Army (Kiss), LedSmith (Led Zeppelin  & Aerosmith)  *Accepts unsolicited material ",,,,,
110,SURFDOG/DAVE KAPLAN MANAGEMENT,Manager," 1126 S. Coast Hwy. 101  Encinitas, CA 92024  760-944-8800  ",lauren@surfdog.com ,,surfdog.com ,Rock / Reggae / Soul / Americana ,,Lauren Fricke ,"Brian Setzer, Stray Cats, Dave Stewart, Sublime ",,,,,
111,TAC MUSIC MANAGEMENT,Manager," 9971 E. Ida Pl.  Greenwood Village, CO 80111  720-431-2604  ",tracey@tacmusicmanagement.com ,,tacmusicmanagement.com ,"blues, southern rock, hard rock, country, bluegrass  ",,Tracey Chirhart ,see website ,"personal & business management, promotion, marketing  *Accepts unsolicited material ",,,,
112,"TAKEOUT MANAGEMENT, INC",Manager," 785 Quintana Road #174  Morro Bay, CA 93442  805-382-2200  ",howie@howiewood.com ,,howiewood.com ,"CHR/Top 40, AC, Hot AC, AAA, Alternative Specialty, Mainstream Rock,  Modern AC, Country, College for artists of  all label sizes including independent.  ",,Howard Rosen ,,"Personal management, shop for distribution and record deals. Production  and remix with major producers. ",,,,
113,TED KURLAND ASSOCIATES,Manager," 173 Brighton Ave.  Boston, MA 02134  617-254-0007 Fax 617-782-3577  ",agents@tedkurland.com ,,tedkurland.com ,"jazz, blues, vocals ",,Ted Kurland ,"Pat Metheny, Wynton Marsalis, Bill Charlap, John Pizzarelli, Lisa Fischer, Bobby  McFerrin, Bobby Rush, Chris Botti, Sonny  Rollns, Taylor Rae and more  *No unsolicited material ",,,,,
114,TENTH STREET ENTERTAINMENT,Manager," 1115 Broadway, 12  New York, NY 10010  212-334-3160  ",info@10thst.com ,,10thst.com ,All ," 113 North San Vicente Blvd.  2  Beverly Hills, CA 90211  310-385-4700 ",,"Motley Crue, Nikki Sixx, Sixx:AM, Papa Roach, Blondie, Oh No After Midtown,  Bad Wolves, Bailey Zimmerman, Bleeker,  Dorothy, Fire From the Gods,  Five Finger  Death Punch, Hollywood Undead, Ice Nine  Kills, In Flames, Saul, Solence  ",personal management *No unsolicited material  ,,,,
115,THATS ENTERTAINMENT,Manager," INTERNATIONAL, INC. (T.E.I.)  3820 E. La Palma Ave.  Anaheim, CA 92807  714-693-9300  ",jmcentee@teientertainment.com ,,teientertainment.com ,All ,,John McEntee ,,"Entertainment broker for corporate/concert events, personal  management  *No unsolicited material ",,,,
116,THREEE,Manager," Erik Eger Entertainment, Inc.  918 N. Western Ave., Ste. A  Los Angeles, CA 90029  213-381-5100 Fax 213-381-5115  ",info@threee.com ,,threee.com ,All styles ,,Erik Eger ,"Dan Carey, Stuart Matthewman, John Hill, Johnny McDaid, Jordan Palmer,  Mark Rankin, Stint, Jordan Palmer, Daniel  Ledinsky, Blanda  *We do not accept unsolicited material ",,,,,
117,TKO ARTIST MANAGEMENT,Manager," Nashville, TN  615-383-5017  ",,,facebook.com/TKOArtistMgmt ,Country ,,T.K. Kimbrell ,"The Bacon Brothers, Toby Keith, Ashley Campbell, Colt Ford, Krystal Keith,  *No unsolicited material ",,,,,
118,TOM CALLAHAN & ASSOCIATES,Manager," Boulder, CO  310-418-1384  ",tc@tomcallahan.com ,,tomcallahan.com ,,,Tom Callahan ,,"full-service consulting company, including record promotion, legal services,  Internet marketing, web design, retail  promotion and publicity.  *No unsolicited material ",,,,
119,VARRASSO MANAGEMENT,Manager," 103 Main St.  Copperopolis, CA 95228  510-792-8910  ",richard@varrasso.com ,,varrasso.com ,"rock, covers, country *Accepts unsolicited material ",,Richard Varrasso ,,,,,,
120,VECTOR MANAGEMENT,Manager," P.O. Box 120479  Nashville, TN 37212  615-269-6600  ",info@velvethammer.net ,,velvethammer.net ,"country, pop, singer-songwriter *No unsolicited material  "," 430 W. 15  New York, NY 10011  VELVET HAMMER MANAGEMENT  9014 Melrose Ave., W.  Hollywood, CA 90069  310-657-6161  ",Ken Levitan ,"System of a Down, Alice in Chains, the Deftones, Code of Orange, Night Riots  ",All *Accepts unsolicited material ,,,,
121,WANTED MANAGEMENT,Manager, ,wantedgregg@gmail.com ,,facebook.com/WantedMgmt ,"rock, blues, pop, punk, soul ",,,"Jane Lee Hooker, Echo Del Tusker *No unsolicited material ",personal management ,,,,
122,WHIPLASH PR & MANAGEMENT,Manager," 398 Columbus Ave  PMB #183  Boston, MA 02116  781-545-1301  ",info@wolfsonent.com ,,wolfsonent.com ,All ,,"Jonathan Wolfson, Dillon Barbosa, Sammy Wolfson, Tom Burger  ","Daryl Hall and John Oates, Loverboy, Huey Lewis & The News, Live  From Daryls House, The Tubes, Down North  ",Personal management. Also offers full-service social media and media  relations for clients. ,,,,
123,25 LIVE,Booking Agent," 25 Music Sq. W.  Nashville, TN 37203  615-777-2227  ",david@25ent.com ,,25ccm.com ,Christian *No unsolicited material ,,David Breen ,,,,,,
124,ACA MUSIC & ENTERTAINMENT,Booking Agent," 705 Larry Ct.  Waukesha, WI 53186  800-279-7909, 262-790-0060  Fax: 262-790-9149  ",,,acaentertainment.com ,"variety, bluegrass, bands, lounge acts, nostalgia, DJs, club, festival bands,  ceremony, dinner hour, cocktail  ",,Louie Higgins ,,"Represents nightclub and acts for private functions, not currently seeking  new clients  *Accepts unsolicited material ",,,,
125,AGENCY FOR THE PERFORMING,Booking Agent," ARTS (APA)  10585 Santa Monica Blvd  Los Angeles, CA 90025  310-888-4200  ",,,apa-agency.com ,All *Call before submitting material  ," 3 Columbus Circle  23rd Floor  New York, NY 10019  212-205-4320  150 Fourth Ave. North, PH  Nashville, TN 37203  615-297-0100  3060 Peachtree Rd. NW, Ste. 1480  Atlanta, GA 30305  404-254-5876  129 John Street  Toronto, Ontario, Canada M5V2E2  416-646-7373  53 Palace Gardens Terrace  Suite 2  London, W8 4SB UK  +44-20-3871-0520 ",,,,,,,
126,AMW GROUP,Booking Agent," 8605 Santa Monica Blvd.  West Hollywood, CA 90069  323-455-2881  ",,,amworldgroup.com ,All Styles ," New York City  228 Park Ave., S.  New York, NY 10003  212-461-4796  382 NE 191  Miami, FL. 33179 ",,info upon request *No unsolicited material  ,,,,,
127,ARTIST REPRESENTATION &,Booking Agent," MANAGEMENT  1257 Arcade St.  St. Paul, MN 55106  651-483-8754  ",molly@armentertainment.com ,,armentertainment.com ,"specializes in 80s-early 90s rock, country, blues, metal  ",,John Domagall ,info upon request *No unsolicited material ,,,,,
128,BBA MANAGEMENT & BOOKING,Booking Agent," Austin, TX  512-477-7777  ",info@bbabooking.com ,,bbabooking.com ,"jazz, Latin, rock, classical singer- songwriter  *No unsolicited material ",,,,,,,,
129,BIG BEAT,Booking Agent," 1515 University Dr., Ste. 102  Coral Springs, FL 33071  954-755-7759  ",talent@bigbeatproductions.com ,,bigbeatproductions.com ,all styles ,,Richard Lloyd ,info upon request *Accepts unsolicited material ,,,,,
130,BOOKING ENTERTAINMENT,Booking Agent," Two Park Avenue, 20th Floor  New York, NY 10016  1-800-4ENTERTAINMENT,  800-436-8378  212-645-0555  ",agents@bookingentertainment.com ,,bookingentertainment.com ,"rock, pop, jazz, adult contemporary, pop, R&B  ",,Steve Einzig ,info on website. *No unsolicited material ,,,,,
131,CANTALOUPE MUSIC PRODUCTIONS,Booking Agent," 157 W. 79th St., Ste. 4A  New York, NY 10024  212-724-2400  ",ellenazorin@gmail.com ,,cantaloupeproductions.com ,"Booking agent specializing in Brazilian, Argentine, Cuban and other Latin  music, as well as other world music and top  level jazz ensembles.  *Does not accept unsolicited material ",,"Ellen Azorin, President ",see website ,,,,,
132,CELEBRITY TALENT AGENCY INC.,Booking Agent," 111 E. 14th St., Ste. 249  New York, NY 10003  212-539-6039, 201-837-9000  ",markg@celebritytalentagency.com ,,celebritytalentagency.com ,"jazz, R&B, hip-hop, comedians, gospel  ",,Mark Green ,info upon request *No unsolicited material ,,,,,
133,"BRUCE COLFIN LAW, PC",Booking Agent," 99 Lexington Ave., Suite 5032  New York, NY 10006  212-691-5630, 516-830-1951  ",thefirm@thefirm.com ,,thefirm.com ,"rock, blues, world, reggae       *Accepts unsolicited material  Submit material with a S.A.S.E. and proper  postage for return ",,Bruce E. Colfin ,,,,,,
134,CLOSED SESSIONS LIVE,Booking Agent, 516-449-1931  ,matthew.classens@gmail.com ,,closedsessions.live We do all genreconcerts.  ,,,,"Juice wrld, Kaytranada, Sublime, Dark Star Orchestra, CamRon, Lil  Peep, Snakehips, Jai Wolf, MGMT, and more. ",,,,,
135,COLLIN ARTISTS,Booking Agent," Pasadena, CA 91104  323-556-1046  ",collinartists@gmail.com ,,collinartists.com ,"jazz, blues, world, Latin, R&B, doo wop/classics and beyond  ",,"Barbara Collin, Robert Sax, Goh Kurosawa  ","Mary Stallings, Jeri Brown, Kevin Mahogany, Andy Bey, Alan Paul, Latin Jazz  Masters, Bobbi Humphrey, Kathy Kosins  ","management, promotion, consulting, booking, workshops  *No unsolicited material ",,,,
136,"CONCERTED EFFORTS, INC.",Booking Agent," P.O. Box 440326  Somerville, MA 02144  617-969-0810 Fax 617-209-1300  ",concerted@concertedefforts.com ,,concertedefforts.com ,"blues, soul, jazz, gospel, zydeco, Cajun, folk, singer-songwriter, rock, world  ",,Paul Kahn ,info upon request *No unsolicited material ,,,,,
137,CREATIVE ARTISTS AGENCY,Booking Agent," 2000 Ave. of the Stars  Los Angeles, CA 90067  424-288-2000 Fax 424-288-2900  ",,,caatouring.com ,All *No unsolicited material - No phone calls  ," 10250 Constellation Blvd.  Los Angeles, CA 90067  405 Lexington Ave., 19th Fl.  New York, NY 10174  212-277-9000  65 E. 55  New York, NY 10022  401 Commerce St., Penthouse  Nashville, TN  37219  615-383-8787  6075 Poplar Ave, Suite 410  Memphis, TN. 38119  1500 K Street NW  Washington DC, 20005  771-444-5301  3560 Lenox Road, Suite 1525  Atlanta, GA 30326  404-816-2722  1688 Meridian Ave., Suite 340  Miami Beach, FL. 33139  444 N. Michigan Ave, Suite 3540  Chicago, IL. 60611  312-242-2700 ",,,,,,,
138,CAA ICON,Booking Agent," 5075 S. Syracuse Street  Suite 700  Denver, CO. 80237  303-557-3700  3652 South Third St., Suite 200  Jacksonville Beach, FL  32250  904-339-0435  London  12 Hammersmith Grove  Hammersmith, London W6 7AP  U.K.  Additional International offices in Geneva,  Munich, Stockholm, Singapore, Shanghai,  Beijing ",,,,,,,,,,,,
139,CUMBERLAND MUSIC COLLECTIVE,Booking Agent," 529 Snyder Ave  Nashville, TN 37209  615-627-2243  ",lee@cmcartist.com ,,cmcartists.com/artists ,"bluegrass, roots, folk, singer- songwriter  ",,,info upon request *No unsolicited material ,,,,,
140,EAST COAST ENTERTAINMENT,Booking Agent, 855-323-4386  ,info@bookece.com ,,bookece.com ,"rock, acoustic, classical, latin, jazz, pop, R&B, funk  *No unsolicited material  **See website for additional locations ",,,,,,,,
141,ELECTRIC EVENTS CORPORATION,Booking Agent," P.O. Box 280848  Lakewood, CO 80228  303-989-0001  ",info2@electricevents.com ,,electricevents.com ,pop cover bands only ,,Michael A. Tolerico ,info upon request *No unsolicited material ,,,,,
142,ENTERTAINMENT SERVICES,Booking Agent," INTERNATIONAL  1819 S. Harlan Cir.  Lakewood, CO 80232  303-727-1111  ",randy@esientertainment.com ,,esientertainment.com ,mostly classic rock ,,Randy Erwin ,info upon request *No unsolicited material ,,,,,
143,ENTOURAGE TALENT ASSOCIATES,Booking Agent," 150 W. 28th St., Ste. 1503  New York, NY 10001  212-633-2600  ",info@entouragetalent.com ,,entouragetalent.com ,"rock, pop, singer-songwriter, jazz ",,Wayne Forte ,info upon request *No unsolicited material ,,,,,
144,FAT CITY ARTISTS,Booking Agent," 1906 Chet Atkins Pl., Ste. 502  Nashville, TN 37212  615-320-7678 Fax 615-321-5382  ",,,fatcityartists.com ,"nostalgia, country, big band, bluegrass, blues, R&B, Cajun, world, folk,  funk, gospel, jazz *No rap or opera  ",,,info upon request *No unsolicited material ,,,,,
145,"FLEMING ARTISTS, INC.",Booking Agent," PO Box 1568  Ann Arbor, MI 48104  734-995-9066  ",jim@flemingartists.com ,,flemingartists.com ,"rock, pop, singer-songwriter, contemporary roots rock, folk, bluegrass,  improv comedy  ",,Jim Fleming ,"Jeff Daniels, Judy Collins, the Kruger Brothers, Shane Koyczan, Ariel  Horowitz, Holly Near ",,,,,
146,GIGSALAD,Booking Agent," 2733 E. Battlefield Rd.  Box 105  Springfield, MO 65804  866-788-GIGS  ",,,gigsalad.com ,," 225 S. Water St.  Chandlers Wharf  Wilmington, NC  312 E. Olive St.  Springfield, MO ","Mark Steiner, Steve Tetrault ",,"A marketplace for booking bands, musicians, entertainers, speakers  and services for parties, productions and  events.  ",,,,
147,GORFAINE-SCHWARTZ AGENCY,Booking Agent," 4111 W. Alameda Ave., Ste. 509  Burbank, CA 91505  818-260-8500  ",,,gsamusic.com ,,,,see our website for client list *No unsolicited material ,,,,,
148,GREAT AMERICAN TALENT,Booking Agent," P.O. Box 2476  Hendersonville, TN 37077  615-368-7433, 615-957-3444  ",info@eddyraven.com ,,eddyraven.com ,"country, Cajun ",,,info upon request *No unsolicited material ,,,,,
149,HARMONY ARTISTS INC.,Booking Agent," 20501 Ventura Blvd, Suite 289  Woodland Hills, CA 91364  323-655-5007  ",acrane-ross@harmonyartists.com ,,harmonyartists.com ,"tribute, nostalgia, R&B, Latin, blues, bluegrass, jazz, swing  *No unsolicited material ",,Adrienne Crane-Ross ,,,,,,
150,HELLO! BOOKING,Booking Agent," P.O. Box 18717  Minneapolis, MN 55418  651-647-4464  ",,,hellobooking.com ,"bluegrass, country, rock, folk, pop, jazz, indie, hip-hop, acoustic, rockabilly  ",,Eric Roberts ,info upon request *Accepts unsolicited material ,,,,,
151,INA DITTKE & ASSOCIATES,Booking Agent," 770 NE 69  Miami, FL 33138  305-762-4309  ",ina@inadittke.com ,,inadittke.com ,"jazz, Latin, world ",,Ina Dittke ,info upon request,,,,,
152,INDIE MUSIC CONSULTING GROUP,Booking Agent," Indie Artist & Label Publicity, Marketing &  Consulting  888-253-4464  ",,,indiemusicconsultant.com Voting Member the Recording Academy ,,,,,,,,,
153,IN TOUCH ENTERTAINMENT,Booking Agent," 309 West 55  New York, NY 10019  212-235-7015  ",info@intouchent.com ,,intouchent.com ,All Styles ,,Charles Carlini ,"Irene Cara, Michael Carvin, David Chesky,  Eumir Deodato, Michael Sembello,  Ron Sunshine, Tito Rodriguez, jr., George  Mraz, Airto Moreira, Kenia, Tony Middleton,  Elisha Abas, Sarah Hayes, Guinga, Brian  Auger, Mamma Freedom, Eddie Jobson  *Accepts unsolicited material - via  SonicBids only ",,,,,
154,JAZZ HANDS FOR AUTISM,Booking Agent, ,esbeth@jazzhandsforautism.org ,,jazzhandsforautism.org ,,,,,,,George Earth ,"Esbeth Heredia, Job Placement Coordinator  ",JHFA works with neurodivergent artists who are developed and coached to  prepare them going into the music industry. 
155,JEFF ROBERTS & ASSOCIATES,Booking Agent," 174 Saundersville Rd., Ste. 702  Hendersonville, TN 37075  615-859-7040  ",,,jeffroberts.com ,,,Jeff Roberts ,info upon request *No unsolicited material ,,,,,
156,LIVE NATION,Booking Agent," Beverly Hills, CA  800-653-8000  ",,,livenation.com ,All Styles ,,,,"producing, marketing and selling live concerts for artists ",,,,
157,MARSJAZZ BOOKING AGENCY,Booking Agent," 1006 Ashby Pl.  Charlottesville, VA 22901  434-979-6374  ",reggie@marsjazz.com ,,marsjazz.com ,jazz ,,Reggie Marshall ,info upon request *No unsolicited material ,,,,,
158,MAURICE MONTOYA MUSIC AGENCY,Booking Agent," Culver City, CA. 90232  305-763-8961, 212-229-9160  ",Maurice@mmmusicagency.com ,,mmmusicagency.com ,"jazz, Afro-Cuban, Brazilian, contemporary/pop  ",,Maurice Orlando Montoya ,info upon request *No unsolicited material ,,,,,
159,M.O.B. AGENCY,Booking Agent," 6404 Wilshire Blvd., Ste. 505  Los Angeles, CA 90048  323-653-0427  ",mitch@mobagency.com ,,mobagency.com ,"rock, alt. ",,Mitch Okmin ,info upon request *No unsolicited material ,,,,,
160,MONQUI EVENTS,Booking Agent," P.O. Box 5908  Portland, OR 97228  503-223-5960  ",web@monqui.com ,,monqui.com ,"alt., rock, indie rock, pop, country *No unsolicited material ",,,,,,,,
161,MUSIC CITY ARTISTS,Booking Agent," 7104 Peach Ct.  Brentwood, TN  37027  615-915-2641  ",cray@musiccityartists.com ,,musiccityartists.com ,,,"Charles Ray, President/Agent Styles: AC, country, oldies, musicals, tribute,  comedy, music  ",info upon request *No unsolicited material ,,,,,
162,"MUSIC GROUP ENTERTAINMENT, LLC",Booking Agent," Las Vegas, NV  Celebrity Booking Agency  300 Available Acts  404-822-4138, 877-472-4399  ",Mya@musicgroupworldwide.com ,,facebook.com/musicgroupworldwide ,"neo soul, R&B, pop, rock, country, jazz, alt, dance, reggae, calypso, dance hall,  comedy actors  *No unsolicited material, not accepting  hip-hop demos ",,Mya Richardson ,,,,,,
163,MUSICIANS CONTACT,Booking Agent," 29684 Masters Dr.  Murrieta, CA 92563  818-888-7879  ",info@musicianscontact.com ,,musicianscontact.com ,"All, originals or covers ",,Sterling Howard ,,Established 40 years of referral services for musicians and employers ,,,,
164,NIGHTSIDE ENTERTAINMENT,Booking Agent," 10 Crabapple Ln.  Greenville, RI 02828  401-949-2004  ",nightsideentertainment@gmail.com ,,facebook.com/ nightsideentertainment  ,All Styles ,,Al Salzillo ,info upon request *No unsolicited material ,,,,,
165,PACIFIC TALENT,Booking Agent," P.O. Box 19145  Portland, OR 97280  503-228-3620  ",andy@pacifictalent.com ,,pacifictalent.com ,"jazz, blues, R&B, rock, funk, disco, everything  ",,Andy Gilbert ,info upon request *Accepts unsolicited material ,,,,,
166,PARADIGM TALENT AGENCY,Booking Agent," 700 N. San Vicente Blvd  Suite G820  West Hollywood, CA 90069  310-288-8000  ",info@amonly.com ,,paradigmagency.com ,"rock, hip-hop, electronica, industrial "," 810 Seventh Ave  Suite 205  New York, NY 10019  212-897-6400 ",Paul Morris ,info upon request *No unsolicited material  ,,,,,
167,PARADISE ARTISTS,Booking Agent," 108 E. Matilija St.  Ojai, CA 93023  805-646-8433  ",,,paradiseartists.com ,"rock, pop, alt., legends "," 5 Penn Plaza. #2382  New York, NY 10001  646-378-2204 ",Howie Silverman ,info upon request *No unsolicited material  ,,,,,
168,PROGRESSIVE GLOBAL AGENCY,Booking Agent," P.O. Box 50294  Nashville, TN 37205  615-354-9100  ",info@pgamusic.com ,,pgamusic.com ,"rock, pop, world ",,Jennifer Fowler ,info upon request *No unsolicited material ,,,,,
169,PYRAMID ENTERTAINMENT GROUP,Booking Agent," 377 Rector Pl., Ste. 21-A  New York, NY 10280  212-242-7274  ",smichaels@pyramid-ent.com ,,pyramid-ent.com ,"urban, jazz, gospel, classic and contemporary R&B, funk, hip-hop  ",,Sal Michaels ,info upon request *No unsolicited material ,,,,,
