,Name,Address/Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location
129,PHAT PLANET RECORDING STUDIOS,"3473 Parkway Center Ct.   Orlando, FL 32808 407-295-7270 ",info@phatplanetstudios.com,phatplanetstudios.com,"$110/hr. Studio A, $70/hr. Studio B ","Pro Tools HD, Analog 2-inch etc.",Ed Krout,,,
130,LILY PAD RECORDING,"226 King Street ,  Suite 150  Cocoa, FL 32922 321-305-6085 ",mark@lilypadrecording.com,lilypadrecording.com,$35/hr/$50 (2hr min) ,,,,,
131,MIAMI BEACH RECORDING STUDIOS,"14889 NE 20th Ave.  North Miami, FL  33181 305-956-3939 ",Pablo@mbrs.us,studio.mbrs.us ,,,,,,
132,NOISEMATCH STUDIOS,"4306 NW 2nd Ave.  Miami, FL  33127 786-334-5382 ",info@noisematch.com,noisematchstudios.com,"$135/hr/$1500(12 hrs), 1/2 day/$780 ",,,,,
133,SONIC RECORDING,"Cape Coral  Fort Meyers, FL 239-898-1339 ",bo@sonicrecording.net,sonicrecording.net,$75/hr ,,Bo Davis,,,
134,TWENTY-FIRST CENTURY STUDIOS,"1736-2 Landon Ave.   Jacksonville, FL 32207 904-346-3452 ",21centurystudios@gmail.com,twentyfirstcenturystudios.com.facebook.com/21stCenturyStudios ,call for rates ,,,,,
135,VELVET BASEMENT RECORDING STUDIO,"1958 N.E. 147th Terrace  Miami, FL 33181 786-252-2924 ",info@11thstreetstudios.com,11thstreetstudios.com ,"call for info 11th STREET STUDIOS 699 11th Street, NW Atlanta, GA 30318 404-249-8511 ",see website for equipment list,,,,
136,THE BLUE ROOM RECORDING,"500 Bishop St., Ste. 7  Atlanta, GA 30318 678-249-0729 ",theblueroommusic@gmail.com,theblueroomrecording.com ,,,,,,
137,GROOVE TUNES STUDIOS,"340 Rossiter Ridge  Alpharetta, GA 30022 770-842-5511 ",eatunison@bellsouth.net,groovetunes.com,$75/hr. ,Pro Tools HD/3 v. 8.0,Eric Tunison,,,
138,LOUDHOUSE STUDIOS,"2115 Liddell Dr. NE  Atlanta, GA 30324 404-963-7374 ",info@loudhousestudios.com,loudhousestudios.com ,,,,,,
139,PARHELION RECORDING STUDIOS,"684 Antone St. S.E., Ste. 110  Atlanta, GA 30318 678-949-9119 ",mail@parhelionrecordingstudios.com,parhelionrecordingstudios.com,$100/$75/hr ,see website for equipment list,,,,
140,TREE SOUND STUDIOS,"4610 Peach Tree Industrial Blvd.  Norcross, GA 30071 770-242-8944 ",info@treesoundstudios.com,treesoundstudios.com,please call for info ,,,,,
141,ISLAND SOUND STUDIOS,"377 Keahole St., Ste. D-03  Honolulu, HI 96825 808-200-1822 ",aloha@islandsoundstudios.com,islandsoundstudios.com,,"2 SSL9000J, Digital/Analog  ",Kyle Spicer,,,
142,"TONIC ROOM, THE","1509 Roberts St., Ste. 103   Boise, ID 83705 208-338-8433 ",info@tonicroomstudios.com,tonicroomstudios.com,"$55\hr(8-12hrs), $65/hr(1hr), $550 Daily rate  ",Pro Tools HD/Neve,Jason or Chris,,,
143,CLASSICK STUDIOS,"2950 W. Chicago Ave.  Chicago, IL 60622 773-217-0513 ",Book@classickstudios.com,classickstudios.com,$45/75 Hr (3hr min) ,,,,,
144,ELECTRICAL AUDIO,"2621 W. Belmont Ave.  Chicago, IL 60618 773-539-2555 ",info@electricalaudio.com,electricalaudio.com,$400/$600 per day ,,"Steve Albini, Owner and Recording Engineer",,,
145,HANDWRITTEN RECORDING,"1346 W. Belmont  Chicago, IL 60657 773-472-7132 ",Rick@handwrittenrecording.com,handwrittenrecording.com,$395 day (10hr) / $45/hr ,digital and analog,,,,
146,PRESSURE POINT RECORDING STUDIOS,"2239 S. Michigan Ave.  Chicago, IL 60616 312-842-8099 ",wolfdog@pprecs.com,pprecs.com,please call ,Digital/Analog,,,,
147,STONECUTTER RECORDING STUDIO,"1719 S. Clinton, Floor Zero  Chicago, IL 60616 312-698-9977 ",info@stonecutterstudios.com,stonecutterstudios.com ,,,,,,
148,STUDIO VMR,"5818 S. Archer Rd.  Summit, IL   60501 708-267-2198, 312-286-5018 ",don@studiovmr.com,studiovmr.com,Call for prices ,"Pro Tools HD3 Accel, also Hard DiskRecorders/72 Tracks ",,,,
149,TREE HOUSE RECORDS,"4808 W. Wrightwood Ave.  Chicago, IL 60639 847-302-6105 ",mg@treehouserecordschicago.com,treehouserecordschicago.com,$40.hr ,,Matt Geiser,,,
150,AIRE BORN STUDIOS,"4700 Northwest Plaza W. Dr.  Zionsville, IN 46077 317-876-1556 ",,aireborn.com,call or email for info ,see website for equipment list,Mike Wilson,,,
151,"LODGE STUDIOS, THE","3550 Roosevelt Ave.  Indianapolis, IN 46218 317-568-0000 ",info@thelodgestudios.com,thelodgestudios.com,please call for info ,,Michael Graham,,,
152,"CATAMOUNT RECORDING, INC.","5737 Westminster Dr.  Cedar Falls, IA 50613 319-268-1011 ",catamount@cfu.net,catamountrecording.com,,"Pro Tools HD3, Otari 2-inch analog, SSL ",,,,
153,"TRIAD PRODUCTIONS, INC.","2120 Rittenhouse St., Suite C  Des Moines, IA 50309 515-243-2125 ",sales-studio@triadav.com,triadav.com,please call for info  ,,,,,
154,DOWNTOWN RECORDING,"515 S. 4th St.  Louisville, KY 40202 502-583-9966 ",nick@downtownrecording.com,downtownrecording.com,please call for info ,"Pro Tools HDX, 24 Track 2-inch analog",Nick Stevens,,,
155,THE LODGE,"231 6th Ave.  Dayton, KY 41074 513-476-9115 ",,thelodgeky.com ,,,,,,
156,DOCKSIDE STUDIO,"4755 Woodlawn Rd.   Maurice, LA 70555 337-893-7880 ",docksidestudio@gmail.com,facebook.com/Dockside-Studio,please call for info ,"Tracking, Mixing, Lodging",Steve and Cezanne (Wish) Nails,,,
157,MARIGNY RECORDING STUDIOS,"535 Marigny St.  New Orleans, LA 70117 504-475-4535 ",info@marignystudios.com,marignystudios.com,call or email for info ,see website for equipment list,Rick Nelson,,,
158,BAKED BEANS RECORDING,"75 Weston Farm Rd.  Harrison, ME 04040 207-615-1717, 207-583-4312 ",beans@megalink.net,bakedbeansrecording.com,$45/hour ,Pro Tools Ultimate,Alan Bean,,,
159,MY THRILL STUDIO,"46 Blueberry Hill Rd.  Winterport, ME 04496 207-223-5082 ",mfrancis@mythrillstudio.com,mythrillstudio.com,please call for info ,,,,,
160,CLEANCUTS MUSIC,"2901 Chestnut Ave.  Baltimore, MD 21211 410-467-4231 ",tetiana@cleancuts.com ,cleancuts.com,please call for info,,,,,"4100 Wisconsin Ave., N.W. Washington, D.C. 20016 202-237-8884 "
161,NIGHTSKY STUDIOS,"3432 Rockefeller Ct.,   Waldorf, MD 20602 301-910-6163, 301-374-9450 ",aurora4dth@aol.com,facebook.com/nightskystudios,call for current rates ,Pro Tools HD,Ron,,,
162,"BLINK MUSIC, INC.","129 Franklin St.  Cambridge, MA 02139 617-225-0044 ",info@blinkmusic.com,blinkmusic.com,call for info ,,,,,
163,CYBER SOUND RECORDING STUDIOS,"349 Newbury St., Ste. 201  Boston, MA 617-424-1062 ",cyber.sound@verizon.net,cybersoundmusic.com,$125 per hour with Engineer ,"Pro Tools HD, Digital/Analog",,,,
164,MIXED EMOTIONS MUSIC,"11 Pine Ave  Middleton, MA 01949 978-774-7413 ",mixedemt@aol.com,mixedemotionsmusic.com ,,,"Kenny Lewis, Engineer/Producer",,,
165,NORTHFIRE RECORDING,"15a Grove St.  Amherst, MA 01002 413-256-0404 ",northfirerecordingstudio@gmail.com,northfirerecording.com,"$60/70/hr, $550/10hr. ",see website for equipment list,,,,
166,Q DIVISION STUDIOS,"North Cambridge, MA  617-623-3500 ",,qdivisionstudios.com,Call for rate ,,,,,
167,SUREFIRE CREATIVE STUDIOS,"Lowell, MA 01852  978-441-0975 ",SurefireCreativeStudios@gmail.com,surefirecreativestudios.com,call for rates  ,,,,,
168,METRO 37 RECORDING STUDIO,"1948 Star Batt Dr.  Rochester, MI 48309 586-549-2879 ",metro37studio@gmail.com,metro37.com,please call for info ,see website for equipment list,Kevin Sharpe,,,
169,RUSTBELT STUDIOS,"118 E. 7th Street  Royal Oak, MI 48067 248-541-7296 ",info@rustbeltstudios.com,rustbeltstudios.com ,,,,,,
170,WATERFALL STUDIOS,"11389 S. Forrest Sideroad   Dafter, MI 49724 313-570-6780 ",waterfall@waterfallrecordings.com,waterfallrecordings.com,please call for info  ,digital,Kenneth Sutton,,,
171,BABBLE-ON RECORDING STUDIOS,"5120 27th Ave. S.  Minneapolis, MN 55417 612-375-0533 ",andre@babble-on-recording.com,babble-on-recording.com,$100/200 hr. ,"digital and analog, Pro Tools HD2",Andre Bergeron,,,
172,THE HIDEAWAY,"77 13th Ave., N.E.   Minneapolis, MN 55413 ",joe@thehideawaympls.com,thehideawaympls.com,email for rates ,see website for equipment list,,,,
173,SKYLAND STUDIOS,"7452 236 th  Street E  Lakeville, MN ",,skylandstudiocom ,,,,,,
174,THE TERRARIUM,"607 Central Ave., S.E.  Minneapolis, MN 55414 612-338-5702 ",jasonorris@mac.com,the-terrarium.com,call for rates  ,Pro Tools HD3,Jason Orris,,,
175,ENDEAVOR STUDIO,"211 South College St  Arcadia, MO 573-944-4440 ",greggill45@gmail.com,"facebook.com/endeavorstudioAV,endeavorav.com  ",,,,,,
176,MANSION SOUND RECORDING STUDIO,"189 Expressway Lane  Branson, MO 65616 417-337-7851 ",info@MansionSound.com,mansionsound.com ,,,,,,
177,"JERECO STUDIOS, INC.","627 E. Peach St., Ste. E  Bozeman, MT 59715 406-586-526 ",jeremiah@jerecostudios.com,jerecostudios.com,call for rates  ,digital,Jeremiah,,,
178,JOEAUDIO PRODUCTIONS,"10850 John Galt Blvd.  Omaha, NE 68137  ",,,,,,,,
179,MAKE BELIEVE STUDIOS,"825 S. 20th St.  Omaha, NE 68108 402-972-6387 ",your_friends@makebelievestudio.com,makebelievestudio.com ,,,,,,
180,STUDIO 24,"8601 N. 30th St.  Omaha, NE 68112 402-342-9090 ",rcb@studio24omaha.com,studio24omaha.com,$60/HR  ,digital,Chuck Beckler,,,
181,THE HIDEOUT RECORDING STUDIO,"14 Sunset Way  Henderson, NV 89014 702-445-7705, 702-318-6001 ",,hideoutlv.com,"Hourly and Block, call for quotes ",Analog and Digital,,,,
182,JAGUAR RECORDING STUDIO,"Las Vegas, NV   702-808-4400 ",thad@jaguarstudio.com,thaddeuscorea.com,Call for rates. ,Logic Pro,Thaddeus Corea,,,
183,"TONE FACTORY, THE","5329 S. Cameron  Las Vegas, NV 89120 702-301-6964 ",info@thetonefactory.com,"thetonefactory.com, vinniecastaldo.com",,,Vinnie Castaldo ,,,
184,"UNIVERSITY OF NEVADA, LAS VEGAS","4505 S. Maryland Pkwy.  Las Vegas, NV 89154 702-895-3332 ",,unlv.edu/music/beam/studio,,,"Music Department, Recording Studio  ",,,
185,MOJO MUSIC STUDIO,"P.O. Box 536  Franconia, NH 603-348-5249 ",mojomusicstudio@gmail.com,mojorecordingstudio.com,call for rates  ,Pro Tools 10,Tony or Joe,,,
186,KALEIDOSCOPE SOUND,"514 Monastery Pl  Union City, NJ 07087 201-223-2868 ",info@kaleidoscopesound.com,kaleidoscopesound.com  ,,,,,,
187,SOUND ON SOUND STUDIOS,"1 Greenwood Avenue  Suite 210 Montclair, NJ 07042 212-944-5770 ",info@soundonsoundstudios.com,soundonsoundstudios.com ,,,,,,
188,170 U.S. 9,"Englishtown, NJ 07726  732-617-6530 ",info@stosp.net,studiotostageproductions.com/recording-studio ,,,,,,
189,"JOHN WAGNER RECORDING STUDIOS, INC.","8601 Lomas N.E.  Albuquerque, NM 87112 505-296-2766, 505-296-2919 ",info@johnwagnerstudios.com,johnwagnerstudios.com ,,,,,,
190,STEPBRIDGE STUDIOS,"528 Jose St.  Santa Fe, NM 87501 505-988-7051 ",stepbridge@gmail.com,stepbridge.com,please call for info  ,"Pro Tools HD, Music production, audioservices for film and authors. ",Edgard Rivera,,,
191,(STUDIO & PRODUCTION COMPANY),"8225 5 th  Avenue  Suite 335 Brooklyn, NY 11209 347-240-5417 ",mattyamendola@825records.com,825records.com,,Semi-private project studio,Matty Amendola,Mixing & full service production ,,
192,321 W 44 th  Street,"Suite 1001  New York, NY  10036 212-833-7373 ",donna.kloepfer@batterystudios.com,batterystudios.com ,,,,,,
193,THE BREWERY RECORDING STUDIO,"910 Grand St.  Brooklyn, NY 844-717-2739 ",booking@breweryrecording.com,breweryrecording.com,$95/hr ,,Nick DAlessandro,,,
194,CORNER STORE STUDIO, ,,,,,,,,
195,"CUTTING ROOM RECORDING STUDIOS, THE","14 E. 4th St., Ste. 602  New York, NY 10012 212-260-0905 ",bookings@thecuttingroom.com,thecuttingroom.com,call for rates ,Pro Tools HDX system and SSL DualityConsole ,,,,
196,DUBWAY STUDIOS,"14 East 4th St. Suite 602  New York, NY 10012 212-352-3070 ",info@dubway.comWeb  dubwaymusic.com ,,please call for info ,"Pro Tools, full-service, music, live bandtracking, mixing. ",Al Houghton,,,
197,ELECTRIC KINGDOM STUDIOS,"6 Richard Terrace  Hartsdale, NY 10530 800-933-1305 ",info@electrickingdom.com,electrickingdom.com ,,,,,,
198,ENGINE ROOM AUDIO,"42 Broadway, 22nd Fl.  New York, NY 10004 212-625-3467 ",info@engineroomaudio.com,engineroomaudio.com,Contact us for details ,"Tracking, Mixing, Mastering and Manufacturing",,,,
199,FLUX STUDIOS,"154 E. 2nd St., Ste. #4A  New York, NY 10009 917-512-3489 ",info@fluxstudios.net,fluxstudios.net,Call for rates ,"Vintage Heart, Modern Mind",,,,
200,GERMANO STUDIOS,"676 Broadway, 3rd Fl.  New York, NY 10012 917-685-`395 ",troy@thehitfactory.com,germanostudios.com,please call for info ,SSL Duality SE 48 input analog with TotalRecall ,Troy Germano,,,
201,THE ICE PLANT,"Long Island City, NY  ",booking@theiceplant.com,theiceplant.com,email for rates,,Wayne Silver,"API Console, lots of analog outboard,Studer, Pro Tools HDX, live room, iso room, lounge with full kitchen and daylight, and a lot of musical instruments.  ",,
202,LOUNGE STUDIOS,"315 W 39th St.  New York, NY 212-268-8522 ",frontdesk@loungestudiosnyc.com,loungestudiosnyc.com ,,,Walter Randall,,,
203,METROSONIC RECORDING,"143 Roebling St., 3rd Fl.  Brooklyn, NY 11211 718-782-1872 ",manager@metrosonic.net,metrosonic.net,Call for information ,all analog and digital formats,,,,
204,MONO LISA STUDIOS,"43-01 21st St., Ste. 212B  Long Island City, NY  11101 212-920-0192 ",MONOLisaNYC@gmail.com,monolisanyc.com,Available upon request ,ProTools HD10,,,,
205,PENTHOUSE STUDIOS,"723 7th Ave, PH   New York, NY 10019 212-869-0320 ",bookings@penthousestudiosnyc.com ,penthousestudiosnyc.com/contact,,,,,,
206,PYRAMID RECORDING,"12 E. 32nd St., 3rd Fl  New York, NY 10016 212-686-8687 ",pyramidrec@gmail.com,facebook.com/pyramidrecordingnyc ,,,"Todd Hemleb, Founder",,,
207,ROUND HILL MUSIC,"650 Fifth Ave., Suite 1420  New York, NY 10019 212-380-0080 ",info@roundhillmusic.com,roundhillmusic.com,please call ,Digital and analog,,,,
208,SEAR SOUND,"353 W. 48th St., 6th Fl.  New York, NY 10036 212-582-5380 ",waltersear@aol.com,searsound.com,call for rates ,"Analog and Digital, Studio A, Recording/mixNeve 8038, Studio C, Large Recording/mix, Studio D, pre/post room/vacuum tube console & Moog ","Roberta Findlay, Studio Manager",,,
209,STRANGE WEATHER,"New York, NY  347-422-6419 ",booking@strangeweatherbrooklyn.com,strangeweatherbrooklyn.com,call for info ,see website for equipment list,,,,
210,STUDIO G BROOKLYN,"44 Dobbin St.  New York, NY 11222 347-281-1226 ",booking@studiogbrooklyn.com,studiogbrooklyn.com/studio ,,,Tony Maimone,,,
211,VALHALLA STUDIOS NEW YORK,"89 Letchworth Street   Auburn, NY 13021 315-255-0370 ",contact@valhallastudiosny.com,valhallastudiosny.com ,,,,,,
212,WATCHMEN STUDIOS,"5996 Snyder Dr.  Lockport, NY 14094 716-439-6146 ",watchmens@aol.com,"watchmenstudios.com, facebook.com/watchmenstudios ","$35/hr, $280/8hr  ",Pro Tools L.E.,,,,
213,DEEP RIVER SOUND STUDIO,"6173 Deep River Rd.  Sanford, NC 27330 919-718-0076 ",deepriverstudios@gmail.com,deepriverstudios.com ,,,,,,
214,EARTHTONE RECORDING,"8-d Wendy Ct.  Greensboro, NC 27409 336-210-7107 ",earthtonesrecording@gmail.com,earthtonesrecording.com,"$50hr, two-hour minimum, $325 per day ",,Benjy Johnson,,,
215,GAT3 PRODUCTIONS,"655 Presley Rd., Suite E  Charlotte, NC  28217 704-525-5552 ",info@gat3.com,gat3.com,,,Susan Tabor ,,,
216,RADHAUS STUDIOS,"12 Old Charlotte Highway, Suite 10   Asheville, NC 28815 828-484-4408 ",studio@radhaus.us,rad.haus,varies based on requirements. ,MOBILE VIDEO AND AUDIO RECORDING --,Rebekkah Hilgraves,,,
217,SALOON STUDIOS LIVE,"313 Old West Road   West Jefferson, NC 28964 ",info@saloonstudioslive.com,saloonstudioslive.com/recording-studio ,,,Laura Jones336-877-2374 ,,,
218,SOUND TEMPLE RECORDING,"Asheville, NC  828-633-2149 ",Robert@soundtemplestudios.com,soundtemplestudios.com,,Pro Tools 12.5 ,,,,
219,STUDIO WARMWOOD,"Asheville, NC  860-230-1176 ",studiowarmwood@gmail.com,studiowormwood.com  ,,,Dave Kaminsky,,,
220,BAD RACKET RECORDING STUDIOS,"2220 Superior Avenue  Cleveland, OH 216-309-2882 ",play@badracket.com,badracket.com ,,,,,,
221,W eb:  lavaroomrecording.com, ,,,,,,,,
222,STAR SOUND STUDIOS,"10200 Royalton Road  Ste. 3 North Royalton, OH 216-374-8458 ",starstoundstudioscleveland@gmail.com,starsoundstudios.com ,,,,,,
223,"BENSON SOUND, INC.","5717 S.E. 74th St., Ste. F  Oklahoma City, OK 73135 405-610-7455 ",info@bensonsound.com,bensonsound.com,please call for info ,digital,,,,
224,CORNERSTONE RECORDING CO.,"1315 Locust Ln.  Edmond, OK 73013 405-848-8400 ",info@cornerstonerecording.com,cornerstonerecording.com,please call for info ,Digital and Analog,Ken Sarkey,,,
225,BIG RED STUDIO,"P.O.Box 66  Corbett, OR 97019 503-695-3420 ",billyo@bigredstudio.com,bigredstudio.com,Please call for rates ,"2-inch analog, vintage Trident Console, ProTools HD2 ",Billy Oskay,,,
226,JACKPOT! RECORDING STUDIO,"2420 S.E. 50th  Portland, OR 97206 503-239-5389 ",info@jackpotrecording.com,jackpotrecording.com,$50/hr ,see website for equipment list,Larry Crane,,,
227,SPROUT CITY STUDIOS,"Eugene, OR  97402  541-687-0947 ",giddy@sproutcity.com,sproutcity.com,please call for info  ,digital,,,,
228,CAMBRIDGE SOUND STUDIOS,"2003 West Moyamensing Ave.  Philadelphia, PA 19145 215-465-7500 ",jscambridge@verizon.net,cambridgesoundstudios.com ,,,,,,
229,API 1608,,,,"$95/hr, $400/1/2 day, $800/day ",,,,,
230,MINER STREET BOOKING,"128 Krams Ave.  Philadelphia, PA 19127 ",minerstreetbooking@gmail.com,minerstreet.com ,,,Brian McTear,,,
231,RIGHT COAST RECORDING,"Columbia, PA  717-681-9801 ",studio@rightcoastrecording.com,rightcoastrecording.com,call for rates ,"2-inch 16 + 24 track analog, 48 track 192kdigital performer, automated Neotek elite console ",,,,
232,SPICE HOUSE SOUND,"1514 E. Wilt St.  Philadelphia, PA  19125 203-644-2129 ",booking@spicehousesound.com,spicehousesound.com,$80/hr/$320/half day/$600 daily ,,,,,
233,THIRD STORY,"5120 Walnut St.  Philadelphia, PA 19139 215-747-1200 ",tsr2@verizon.net,thirdstoryrecording.com,please call for rate ,"Pro Tools, Digital/Analog",,,,
234,STATIC PRODUCTIONS,"North Kingstown, RI  401-267-8236 ",record@staticproductions.com,staticproductions.com,see website  ,,Peter LaGrasse,,,
235,THE JAM ROOM,"201 S. Prospect St.   Columbia, SC 29205 803-787-6908 ",jamroomstudio@gmail.com,jamroomstudio.com,please call for rates ,Pro Tools HDX,Jay Matheson,,,
236,STRAWBERRY SKYS RECORDING STUDIOS,"1706 Platt Springs Rd.   West Columbia, SC 29169 803-794-9300 ",info@strawberryskys.com,strawberryskys.com,call for pricing ,Radar24 and Pro Tools,Gary Bolton,,,
237,ALL POETIC AUDIO,"Scotland, SD  605-660-6741 ",all.poetic.audio@gmail.com,allpoeticaudio.com ,,,,,,
238,4U RECORDING,"400 Union Avenue  Memphis, TN  38103 901-779-2044 ",info@4urecording.com,4urecording.com,,,,,,"1376 Chattahoochee Ave. NW Atlanta, GA 30318 470-541-2445  "
239,ARDENT STUDIOS,"2000 Madison Ave.  Memphis, TN 38104 901-725-0855 ",info@ardentstudios.com,ardentstudios.com,please call for info ,"Pro Tools 9.0.1 and analog 24, 16, 8 and 2 trk1/2-inch and 1/4-inch ",,,,
240,BLACKBIRD STUDIO,"2806 Azalea Pl.  Nashville, TN 37204 615-467-4487, 615-487-2509 ",info@blackbirdstudio.com,blackbirdstudio.com,please call ,Digital/analog,"John McBride, Studio Owner;Rolff Zwiep, Studio Mgr. ",,,
241,"CAVE STUDIOS, THE","5853 Davis Hollow Rd.   Franklin, TN 37064 615-790-7578 ",thecaverecordingstudios@gmail.com,thecavestudios.net,call for rates ,Pro Tools HD3,Andrew Hooker,,,
242,EAST IRIS STUDIO,"518 E. Iris Dr.  Nashville, TN 37204 615-777-9090 ",info@eastirisstudios.com,eastirisstudios.com ,,,,,,
243,FUNHOUSE STUDIOS,"802 18th Avenue South  Nashville, TN  37203 615-242-7949 ",funhousestudios@yahoo.com,facebook.com/FunhouseStudios,"$40/50/hr, 3 hr block, $350/450/day,12 hr day  ",,,,,
244,HOUSE OF DAVID STUDIO,"1205 16th Ave. S  Nashville, TN  37212 615-320-7323 ",houseofdavidstudio@gmail.com,houseofdavidnashville.com ,,,,,,
245,HILLTOP STUDIO,"902 Due West Ave.  Nashville, TN 37115  ",,,,,,,,
246,IN CIITE STUDIOS,"320 Billingsly Ct.  Franklin, TN  37067 615-553-3240 ",info@inciite.com,inciite.com ,,,,,,
247,JAMES LUGOS VOCAL ASYLUM,"Nashville, TN  615-540-9108 ",james@jameslugo.com,jameslugomusic.com/about,call for rates ,digital and analog,James Lugo,,,
248,MASTER GROOVE STUDIOS / RADD SOUND,"Northridge, CA  Nashville, TN 818-830-3822, 615-562-5329 ",davejavu@att.net,mastergroovestudios.com,please call for rates ,"digital, unlimited tracks",David Morse,,,
249,OCEAN WAY NASHVILLE,"1200 17th Ave., S.  Nashville, TN 37212 615-320-3900 ",pmcmakin@oceanwaynashville.com,oceanwaynashville.com,please call ,digital and analog,,,,
250,PALETTE MUSIC,"2491 N. Mt. Juliet Rd., #1934  Mount Juliet, TN 37121 615-681-4061 ",,palettemusic.net,Call for info ,,Jeff Silverman,,,
251,PARLOR PRODUCTIONS,"1317 16th Ave., South  Nashville, TN 37212 615-385-4466 ",studio@parlorproductions.com,parlorproductions.com ,,,,,,
252,PRIME CUT STUDIO,"Nashville, TN  615-582-7307 ",,primecutstudio.com,call for rates ,,,,,
253,ROUND HILL MUSIC,"818 18 th  Ave. S Suite 940  Nashville, TN 37203 615-695-7705 ",info@roundhillmusic.com,roundhillmusic.com,please call,Digital and analog,,,,New York 212-380-0080 London +44 (0) 207-734 3251  
254,THE RUKKUS ROOM RECORDING,"2741 Larmon Dr.  Nashville, TN 37204 615-385-4007 ",booking@rukkusroom.com,rukkusroom.com,Call or email for rates ,,,,,
255,SIENNA STUDIOS NASHVILLE,"1802 Grand Ave.  Nashville, TN 37212 615-762-4094 ",,siennastudiosnashville.com/about,please call ,Digital and analog,,,,
256,SOUND EMPORIUM STUDIOS,"3100 Belmont Blvd.  Nashville, TN 37212 615-383-1982 ",,soundemporiumstudios.com,call or email for rates ,,,,,
257,SOUTH BY SEA STUDIOS,"1313 Jewel Street  Nashville, TN 37207 ",,southxseastudios.com ,,,,,,
258,SOUND STAGE STUDIOS LIVE,"10 Music Circles  Nashville, TN 37203 615-873-1501 ",,facebook.com/soundstagestudios,call for rates ,,Nick Autry,,,
259,STATION WEST,"616 W Iris Drive  Nashville, TN 37204 615-463-9118 ",stationwest@gmail.com,stationwest.com ,,,"Rafaela Marone, Manager",,,
260,STONEBRIDGE MASTERING STUDIO,"140 Jefferson Ave.  Memphis, TN 38103 901-654-6491 ",,stonebridgemastering.com,"$75/single, $50/song for 2 or more songs ",see website for equipment list,Gebre Waddell,,,
261,SUN STUDIO,"706 Union Ave.  Memphis, TN 800-441-6249, 901-521-0664 ",nina@sunstudio.com,sunstudio.com ,,,,,,
262,TOMMYS TRACKS MASTERING,"Nashville, TN  615-522-4344 ",tommy@tommystracks.com,tommystracks.com/mastering,$125/song ,"Analog mastering for todays digital, CD, vinyland streaming platforms ",Tommy Wiggins,,,
263,UNDERGROUND TREEHOUSE STUDIOS,"3145 Stafford Dr.  Nashville, TN 37214 615-497-5048 ",undergroundtreehouse@gmail.com,undergroundtreehouse.com,"$40/hr w/eng., $400/song, demoservice/Arrangements  ",,,,,
264,VERGE RECORDING,"1218 5th Ave. North  Nashville, TN 37208 615-320-5576 ",,vergerecording.com ,,,Brian Exkert,,,
265,WILDWOOD RECORDING,"2201 N. Berrys Chapel Rd.  Franklin, TN 37069 615-708-6944 ",booking@wildwoodrecording.com,wildwoodrecording.com,Call for Information ,"Digidesign Pro Tools HD3 wit Pro Control,Otari 2-inch 24 Track ",Brendan Harkan,,,
266,ARLYN STUDIOS,"200 Academy Dr., Ste. 140  Austin, TX 78704 512-447-2337 ",booking@arlynstudios.com,arlynstudios.com,call or email ,,,,,
267,AUSTIN SIGNAL,"10208 Birdlip Circle  Austin, TX 78733 512-656-4039 ",Jon@austinsignal.com,austinsignal.com,,"Pro Tools 10, Analog ",,,,
268,CACOPHONY RECORDERS,"Austin, TX   512-771-9863 ",cacophonyrecorders@gmail.com,cacophonyrecorders.com ,,,,,,
269,CRYSTAL CLEAR SOUND,"4902 Don Dr.  Dallas, TX 75247 214-630-2957 ",kent@crystalclearsound.net,crystalclearsound.net,"$70/hr, $500 for 8-hour block ","analog, digital, mastering",,,,
270,EMPIRE SOUND RECORDING STUDIO,"1500 Crescent Drive  Carrollton, TX 75006 214-289-3786 ",info@empiresoundstudios.com,empiresoundstudio.com ,,,,,,
271,FIREFLY SOUND STUDIO,"3711 Farm to Market Rd., 484   Fischer, TX 78133 830-935-2069 ",,sffirefly.com,call or email for info ,see website for equipment list,Steve Hennig,,,
272,JOMUSIK,"Sunnyvale, TX 75182  972-226-1265 ",info@jomusik.com,jomusik.com,"$60/hr, productions by mail ","digital and analog, lots of tracks",Joe Milton,,,
273,LUMINOUS SOUND,"17120 Dallas Pkwy., Ste. 100  Dallas, TX 75248 972-331-7040 ",info@luminoussound.com,luminoussound.com,please call for info ,,,,,
274,NEXUS RECORDING STUDIOS,"8535 Fair Haven  San Antonio, TX 78229 210-639-5266 ",Jason@nexusrecordingstudios.com,nexusrecordingstudios.com,,,Jason Hatch ,,,
275,PLANET DALLAS,"P.O. Box 110995  Carrollton, TX 75011 214-893-1130 ",info@planetdallas.com,planetdallas.com,call for pricing ,please see website,Rick Rooney,,,
276,RECORD WITH BARRON,"1701 Detering St.  Houston, TX. 77007 713-225-1846 ",barron@recordwithbarron.com,recordwithbarron.com,"1 hr/$80, 4 hr/$280 ",,,,,
277,SOUND ARTS RECORDING,"8377 Westview Drive  Houston, TX 77055 713-464-4653 ",brianbaker@soundartsrecording.com,soundartsrecording.com ,,,,,,
278,STUDIO HILL,"Austin, TX  737-202-4557 ",studiohillaustin@gmail.com,studiohillaustin.com ,,,,,,
279,STUDIO713,"848 Richey St.  Houston, TX 77002 713-640-5428 ",info@713mediagroup.com,713mediagroup.com ,,,,,,
